"","CSF1","CSF2","CSF3","CSM1","CSM2","CSM3","WRF1","WRF2","WRF3","WRM1","WRM2","WRM3"
"128up",495,491,418,686,716,667,455,464,600,615,687,570
"14-3-3epsilon",48,32,49,55,48,54,54,46,54,89,72,64
"14-3-3zeta",5,1,0,8,1,1,0,2,6,1,4,3
"140up",0,0,1,0,0,0,0,0,0,0,0,0
"18SrRNA:CR41548",0,0,0,0,0,0,0,0,0,0,0,0
"18SrRNA:CR45838",0,0,0,0,0,0,0,0,0,0,0,0
"18SrRNA:CR45841",0,0,0,0,0,0,0,0,0,0,0,0
"18w",476,521,506,329,435,538,527,427,417,475,511,385
"28SrRNA:CR45837",0,0,0,0,0,0,0,0,0,0,0,0
"28SrRNA:CR45844",0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45836",0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45840",0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45843",0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45864",0,0,0,0,0,0,0,0,0,0,0,0
"2mit",0,0,0,0,0,0,0,0,0,0,0,0
"4E-T",1,0,0,0,0,2,1,0,0,0,0,0
"5-HT1A",0,0,0,0,0,0,0,0,0,0,0,0
"5-HT1B",0,0,0,0,0,0,0,0,0,0,0,0
"5-HT2A",15,19,33,12,10,8,25,25,9,26,4,19
"5-HT2B",24,18,34,31,24,41,43,27,15,38,40,31
"5-HT7",20,7,15,25,18,26,31,15,19,41,20,30
"5.8SrRNA:CR40454",0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR45839",0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR45842",0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR45852",0,0,0,0,0,0,0,0,0,0,0,0
"5PtaseI",119,125,79,62,90,115,90,89,88,98,110,92
"5SrRNA:CR33353",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33354",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33355",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33357",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33358",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33359",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33360",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33361",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33362",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33364",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33365",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33366",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33367",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33368",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33369",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33370",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33372",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33373",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33374",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33375",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33376",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33377",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33378",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33379",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33380",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33381",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33382",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33383",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33384",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33385",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33386",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33387",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33388",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33389",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33390",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33391",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33392",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33393",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33394",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33395",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33396",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33397",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33398",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33399",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33400",0,0,0,0,0,0,0,0,0,0,0,0
