"Package","Version","Built"
"abind","1.4-8","4.4.1"
"AnnotationDbi","1.66.0","4.4.0"
"ape","5.8-1","4.4.1"
"apeglm","1.26.1","4.4.0"
"aplot","0.2.9","4.4.1"
"askpass","1.2.1","4.4.1"
"backports","1.5.0","4.4.1"
"base","4.4.1","4.4.1"
"base64enc","0.1-6","4.4.3"
"base64url","1.4","4.4.0"
"bbmle","1.0.25.1","4.4.0"
"bdsmatrix","1.3-7","4.4.1"
"behavr","0.3.3","4.4.1"
"BH","1.90.0-1","4.4.3"
"Biobase","2.64.0","4.4.0"
"BiocGenerics","0.50.0","4.4.0"
"BiocManager","1.30.27","4.4.3"
"BiocParallel","1.38.0","4.4.0"
"BiocVersion","3.19.1","4.4.0"
"Biostrings","2.72.1","4.4.0"
"bit","4.6.0","4.4.1"
"bit64","4.6.0-1","4.4.1"
"bitops","1.0-9","4.4.1"
"blob","1.3.0","4.4.3"
"boot","1.3-32","4.4.1"
"broom","1.0.12","4.4.3"
"bslib","0.10.0","4.4.3"
"cachem","1.1.0","4.4.0"
"callr","3.7.6","4.4.0"
"car","3.1-5","4.4.3"
"carData","3.0-6","4.4.3"
"caTools","1.18.3","4.4.1"
"cellranger","1.1.0","4.4.0"
"chron","2.3-62","4.4.1"
"circlize","0.4.17","4.4.3"
"class","7.3-23","4.4.1"
"cli","3.6.5","4.4.1"
"clipr","0.8.0","4.4.1"
"clue","0.3-67","4.4.3"
"cluster","2.1.8.2","4.4.3"
"clusterProfiler","4.12.6","4.4.1"
"coda","0.19-4.1","4.4.1"
"codetools","0.2-20","4.4.1"
"colorspace","2.1-2","4.4.1"
"commonmark","2.0.0","4.4.1"
"compiler","4.4.1","4.4.1"
"ComplexHeatmap","2.20.0","4.4.0"
"conflicted","1.2.0","4.4.0"
"corrplot","0.95","4.4.1"
"cowplot","1.2.0","4.4.1"
"cpp11","0.5.3","4.4.3"
"crayon","1.5.3","4.4.0"
"curl","7.0.0","4.4.1"
"damr","0.3.8","4.4.1"
"data.table","1.18.2.1","4.4.3"
"datasets","4.4.1","4.4.1"
"DBI","1.3.0","4.4.3"
"dbplyr","2.5.1","4.4.1"
"DelayedArray","0.30.1","4.4.0"
"deldir","2.0-4","4.4.1"
"Deriv","4.2.0","4.4.1"
"DESeq2","1.44.0","4.4.0"
"digest","0.6.39","4.4.3"
"DNAcopy","1.78.0","4.4.0"
"doBy","4.7.1","4.4.3"
"doParallel","1.0.17","4.4.0"
"DOSE","3.30.5","4.4.1"
"downloader","0.4.1","4.4.1"
"dplyr","1.2.0","4.4.3"
"dqrng","0.4.1","4.4.0"
"dtplyr","1.3.3","4.4.3"
"EBImage","4.46.0","4.4.0"
"emdbook","1.3.14","4.4.1"
"enrichplot","1.24.4","4.4.1"
"evaluate","1.0.5","4.4.1"
"exactRankTests","0.8-36","4.4.3"
"fansi","1.0.7","4.4.3"
"farver","2.1.2","4.4.0"
"fastmap","1.2.0","4.4.0"
"fastmatch","1.1-8","4.4.3"
"fftwtools","0.9-11","4.4.1"
"fgsea","1.30.0","4.4.0"
"FNN","1.1.4.1","4.4.1"
"fontawesome","0.5.3","4.4.1"
"fontBitstreamVera","0.1.1","4.4.1"
"fontLiberation","0.1.0","4.4.1"
"fontquiver","0.2.1","4.4.0"
"forcats","1.0.1","4.4.1"
"foreach","1.5.2","4.4.0"
"forecast","9.0.2","4.4.3"
"foreign","0.8-91","4.4.3"
"formatR","1.14","4.4.0"
"Formula","1.2-5","4.4.1"
"fracdiff","1.5-3","4.4.1"
"fs","1.6.7","4.4.3"
"futile.logger","1.4.9","4.4.3"
"futile.options","1.0.1","4.4.0"
"gargle","1.6.1","4.4.3"
"gdtools","0.5.0","4.4.3"
"generics","0.1.4","4.4.1"
"GenomeInfoDb","1.40.1","4.4.0"
"GenomeInfoDbData","1.2.12","4.4.1"
"GenomicAlignments","1.40.0","4.4.0"
"GenomicRanges","1.56.2","4.4.1"
"geomtextpath","0.2.0","4.4.1"
"GetoptLong","1.1.0","4.4.3"
"ggetho","0.3.7","4.4.0"
"ggforce","0.5.0","4.4.1"
"ggfun","0.2.0","4.4.1"
"ggiraph","0.9.6","4.4.3"
"ggnewscale","0.5.2","4.4.1"
"ggplot2","4.0.3","4.4.1"
"ggplotify","0.1.3","4.4.1"
"ggpubr","0.6.3","4.4.3"
"ggraph","2.2.2","4.4.1"
"ggrepel","0.9.8","4.4.3"
"ggsci","4.2.0","4.4.3"
"ggsignif","0.6.4","4.4.0"
"ggtext","0.1.2","4.4.0"
"ggtree","3.12.0","4.4.0"
"GlobalOptions","0.1.3","4.4.3"
"glue","1.8.0","4.4.1"
"GO.db","3.19.1","4.4.1"
"googledrive","2.1.2","4.4.1"
"googlesheets4","1.1.2","4.4.1"
"GOSemSim","2.30.2","4.4.1"
"gplots","3.3.0","4.4.3"
"graph","1.82.0","4.4.0"
"graphics","4.4.1","4.4.1"
"graphite","1.50.0","4.4.0"
"graphlayouts","1.2.5","4.4.1"
"grDevices","4.4.1","4.4.1"
"grid","4.4.1","4.4.1"
"gridExtra","2.3","4.4.1"
"gridGraphics","0.5-1","4.4.0"
"gridtext","0.1.6","4.4.3"
"gson","0.1.0","4.4.0"
"gsubfn","0.7","4.4.1"
"gtable","0.3.6","4.4.1"
"gtools","3.9.5","4.4.0"
"hash","2.2.6.4","4.4.3"
"haven","2.5.5","4.4.1"
"highr","0.12","4.4.3"
"hms","1.1.4","4.4.1"
"htmltools","0.5.9","4.4.3"
"htmlwidgets","1.6.4","4.4.0"
"httr","1.4.8","4.4.3"
"httr2","1.2.2","4.4.3"
"hwriter","1.3.2.1","4.4.0"
"ids","1.0.1","4.4.0"
"igraph","2.2.2","4.4.3"
"interp","1.1-6","4.4.1"
"IRanges","2.38.1","4.4.1"
"IRdisplay","1.1","4.4.0"
"IRkernel","1.3.2","4.4.0"
"irlba","2.3.7","4.4.3"
"isoband","0.3.0","4.4.3"
"iterators","1.0.14","4.4.1"
"janitor","2.2.1","4.4.1"
"jpeg","0.1-11","4.4.1"
"jquerylib","0.1.4","4.4.0"
"jsonlite","2.0.0","4.4.1"
"KEGGgraph","1.64.0","4.4.0"
"KEGGREST","1.44.1","4.4.0"
"KernSmooth","2.23-26","4.4.1"
"knitr","1.51","4.4.3"
"labeling","0.4.3","4.4.0"
"lambda.r","1.2.4","4.4.0"
"lattice","0.22-9","4.4.3"
"latticeExtra","0.6-31","4.4.1"
"lazyeval","0.2.2","4.4.1"
"lifecycle","1.0.5","4.4.3"
"limma","3.60.6","4.4.1"
"litedown","0.9","4.4.3"
"lme4","2.0-1","4.4.3"
"lmtest","0.9-40","4.4.1"
"locfit","1.5-9.12","4.4.1"
"lubridate","1.9.5","4.4.3"
"maftools","2.20.0","4.4.0"
"magrittr","2.0.4","4.4.1"
"markdown","2.0","4.4.1"
"MASS","7.3-65","4.4.1"
"Matrix","1.7-5","4.4.3"
"MatrixGenerics","1.16.0","4.4.0"
"MatrixModels","0.5-4","4.4.1"
"matrixStats","1.5.0","4.4.1"
"maxstat","0.7-26","4.4.1"
"memoise","2.0.1","4.4.0"
"methods","4.4.1","4.4.1"
"mgcv","1.9-4","4.4.1"
"microbenchmark","1.5.0","4.4.1"
"mime","0.13","4.4.1"
"minqa","1.2.8","4.4.1"
"modelr","0.1.11","4.4.0"
"munsell","0.5.1","4.4.0"
"mvtnorm","1.3-6","4.4.3"
"nlme","3.1-168","4.4.1"
"nloptr","2.2.1","4.4.1"
"nnet","7.3-20","4.4.1"
"numDeriv","2016.8-1.1","4.4.1"
"openssl","2.3.5","4.4.3"
"org.Dm.eg.db","3.19.1","4.4.1"
"org.Hs.eg.db","3.19.1","4.4.1"
"otel","0.2.0","4.4.1"
"parallel","4.4.1","4.4.1"
"patchwork","1.3.2","4.4.1"
