from,to,from_gene,to_gene
7227.FBpp0075203,7227.FBpp0084775,ATPsynbetaL,Cyt-c1L
7227.FBpp0075203,7227.FBpp0081812,ATPsynbetaL,mAcon2
7227.FBpp0075203,7227.FBpp0075010,ATPsynbetaL,ND-24L
7227.FBpp0075203,7227.FBpp0086012,ATPsynbetaL,ND-51L1
7227.FBpp0075203,7227.FBpp0083183,ATPsynbetaL,Scsalpha2
7227.FBpp0075203,7227.FBpp0075801,ATPsynbetaL,SdhAL
7227.FBpp0075203,7227.FBpp0084648,ATPsynbetaL,UQCR-14L
7227.FBpp0075203,7227.FBpp0080002,ATPsynbetaL,Vha68-3
7227.FBpp0075203,7227.FBpp0080495,ATPsynbetaL,VhaSFD
7227.FBpp0084775,7227.FBpp0081812,Cyt-c1L,mAcon2
7227.FBpp0084775,7227.FBpp0075010,Cyt-c1L,ND-24L
7227.FBpp0084775,7227.FBpp0086012,Cyt-c1L,ND-51L1
7227.FBpp0084775,7227.FBpp0078167,Cyt-c1L,ND-B14.5AL
7227.FBpp0084775,7227.FBpp0083183,Cyt-c1L,Scsalpha2
7227.FBpp0084775,7227.FBpp0075801,Cyt-c1L,SdhAL
7227.FBpp0084775,7227.FBpp0085338,Cyt-c1L,tomboy40
7227.FBpp0084775,7227.FBpp0084648,Cyt-c1L,UQCR-14L
7227.FBpp0083299,7227.FBpp0081812,Dic2,mAcon2
7227.FBpp0083299,7227.FBpp0083183,Dic2,Scsalpha2
7227.FBpp0079554,7227.FBpp0081812,Fum4,mAcon2
7227.FBpp0079554,7227.FBpp0075010,Fum4,ND-24L
7227.FBpp0079554,7227.FBpp0086012,Fum4,ND-51L1
7227.FBpp0079554,7227.FBpp0083183,Fum4,Scsalpha2
7227.FBpp0079554,7227.FBpp0075801,Fum4,SdhAL
7227.FBpp0071884,7227.FBpp0081812,Gpdh2,mAcon2
7227.FBpp0071884,7227.FBpp0083183,Gpdh2,Scsalpha2
7227.FBpp0084383,7227.FBpp0081812,Hex-t2,mAcon2
7227.FBpp0084383,7227.FBpp0082089,Hex-t2,Pglym87
7227.FBpp0081812,7227.FBpp0075010,mAcon2,ND-24L
7227.FBpp0081812,7227.FBpp0086012,mAcon2,ND-51L1
7227.FBpp0081812,7227.FBpp0082089,mAcon2,Pglym87
7227.FBpp0081812,7227.FBpp0083183,mAcon2,Scsalpha2
7227.FBpp0081812,7227.FBpp0075801,mAcon2,SdhAL
7227.FBpp0081812,7227.FBpp0085338,mAcon2,tomboy40
7227.FBpp0081812,7227.FBpp0084648,mAcon2,UQCR-14L
7227.FBpp0081078,7227.FBpp0083183,Mics1,Scsalpha2
7227.FBpp0081078,7227.FBpp0075801,Mics1,SdhAL
7227.FBpp0075010,7227.FBpp0086012,ND-24L,ND-51L1
7227.FBpp0075010,7227.FBpp0078167,ND-24L,ND-B14.5AL
7227.FBpp0075010,7227.FBpp0083183,ND-24L,Scsalpha2
7227.FBpp0075010,7227.FBpp0075801,ND-24L,SdhAL
7227.FBpp0075010,7227.FBpp0084648,ND-24L,UQCR-14L
7227.FBpp0086012,7227.FBpp0078167,ND-51L1,ND-B14.5AL
7227.FBpp0086012,7227.FBpp0083183,ND-51L1,Scsalpha2
7227.FBpp0086012,7227.FBpp0075801,ND-51L1,SdhAL
7227.FBpp0086012,7227.FBpp0077484,ND-51L1,Tengl1
7227.FBpp0086012,7227.FBpp0077486,ND-51L1,Tengl3
7227.FBpp0086012,7227.FBpp0081802,ND-51L1,Tengl4
7227.FBpp0086012,7227.FBpp0084648,ND-51L1,UQCR-14L
7227.FBpp0078167,7227.FBpp0077486,ND-B14.5AL,Tengl3
7227.FBpp0078167,7227.FBpp0084648,ND-B14.5AL,UQCR-14L
7227.FBpp0082089,7227.FBpp0083183,Pglym87,Scsalpha2
7227.FBpp0083183,7227.FBpp0075801,Scsalpha2,SdhAL
7227.FBpp0083183,7227.FBpp0085338,Scsalpha2,tomboy40
7227.FBpp0083183,7227.FBpp0084648,Scsalpha2,UQCR-14L
7227.FBpp0075801,7227.FBpp0085338,SdhAL,tomboy40
7227.FBpp0075801,7227.FBpp0084648,SdhAL,UQCR-14L
7227.FBpp0077484,7227.FBpp0077486,Tengl1,Tengl3
7227.FBpp0085338,7227.FBpp0084648,tomboy40,UQCR-14L
7227.FBpp0085786,7227.FBpp0087108,Vha100-3,Vha36-2
7227.FBpp0085786,7227.FBpp0080002,Vha100-3,Vha68-3
7227.FBpp0085786,7227.FBpp0082809,Vha100-3,VhaM9.7-d
7227.FBpp0085786,7227.FBpp0080495,Vha100-3,VhaSFD
7227.FBpp0087108,7227.FBpp0080002,Vha36-2,Vha68-3
7227.FBpp0087108,7227.FBpp0082809,Vha36-2,VhaM9.7-d
7227.FBpp0087108,7227.FBpp0080495,Vha36-2,VhaSFD
7227.FBpp0080002,7227.FBpp0082809,Vha68-3,VhaM9.7-d
7227.FBpp0080002,7227.FBpp0080495,Vha68-3,VhaSFD
7227.FBpp0082809,7227.FBpp0080495,VhaM9.7-d,VhaSFD
