"gene","stringId","description","module_memberships","membership_count","log2FoldChange","padj","stat","comparison","selection"
"mRRF1","7227.FBpp0076172","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.517912428311284,0.359967290529439,-2.23992362313134,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpL10","7227.FBpp0077783","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.436209414834013,0.158599914682164,-2.73918529515925,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpL11","7227.FBpp0082412","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.796921394240919,0.040934331850868,-3.36967978884238,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpL18","7227.FBpp0086965","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.350097783395671,0.399279800921395,-2.17629983566844,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpL24","7227.FBpp0078694","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.453978252816292,0.35836484956558,-2.24468047875201,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpL32","7227.FBpp0085121","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.670084662655276,0.211274628868251,-2.58563533292966,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpL51","7227.FBpp0079304","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.690060544598892,0.0195679964224091,-3.62604276050777,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpL52","7227.FBpp0088016","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.479065212552488,0.38231402212114,-2.20811905000069,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpL54","7227.FBpp0071462","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.507228064964222,0.301079968443309,-2.36033818375175,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpS11","7227.FBpp0088833","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.594441625858042,0.263258514331803,-2.47281702218903,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpS17","7227.FBpp0072184","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.546988528841578,0.129906485829761,-2.84988503458882,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpS18A","7227.FBpp0081380","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.741081642400638,0.00821619220020974,-3.92728584388914,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpS18C","7227.FBpp0084989","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.775415685265579,0.0185539663636594,-3.64382126835269,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpS28","7227.FBpp0085893","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.476367778893169,0.267105966298488,-2.46033200039591,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"mRpS33","7227.FBpp0082767","mitochondrial translation/ribosome","mitochondrial translation/ribosome",1,-0.750969250758795,0.00317885871874889,-4.20023347655138,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"AttC","7227.FBpp0297062","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-2.20986789650644,0.0228594545861806,-3.57763772049785,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"AttD","7227.FBpp0082908","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-2.76731720174069,4.06647495600457e-06,-5.63715507017396,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"Def","7227.FBpp0087518","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-1.62166081323692,0.014246884814855,-3.72993392357116,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"Drs","7227.FBpp0072935","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-1.17293465003601,0.00474411799090783,-4.08174272714087,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"LysD","7227.FBpp0072530","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-2.0999365645268,3.02810339803147e-07,-6.10256235807117,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"LysE","7227.FBpp0072526","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-2.53471641095591,3.674946672862e-06,-5.6660957087366,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"LysP","7227.FBpp0072529","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-1.88632282676843,6.34717260517523e-09,-6.74487881223575,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"LysX","7227.FBpp0072533","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-7.77200990859047,8.15550597256061e-06,-5.5067756019293,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"NimC1","7227.FBpp0310237","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-0.930760483322617,0.0805766629284055,-3.09025689108405,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"PGRP-SC2","7227.FBpp0087788","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-1.51567003873468,0.00148741359271586,-4.38778961876258,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
