Type,Genotype,Days
WT,432 x 435,7
WT,432 x 435,7
WT,432 x 435,7
WT,432 x 435,7
WT,432 x 435,19
WT,432 x 435,12
WT,432 x 435,6
WT,432 x 435,6
WT,432 x 435,6
WT,433 x 435,6
WT,433 x 435,
WT,435 x 432,9
WT,435 x 432,10
WT,435 x 432,
WT,435 x 432,
WT,435 x 433,
WT,435 x 433,
WT,435 x 433,
WT,435 x 433,13
CS,720 x 432,9
CS,720 x 432,
CS,720 x 432,
CS,720 x 432,
CS,720 x 433,13
CS,720 x 433,11
CS,720 x 433,11
CS,720 x 433,
CS,720 x 433,
CS,720 x 433,
CS,720 x 433,
CS,720 x 433,
CS,720 x 433,
WT,432 x 435,8
WT,432 x 435,6
WT,433 x 435,9
CS,720 x 432,11
CS,721 x 432,11
CS,721 x 432,12
CS,721 x 433,6
CS,720 x 432,10
CS,432 x 721,7
WT,432 x 435,5
WT,432 x 435,7
WT,432 x 435,6
WT,432 x 435,7
WT,433 x 435,8
WT,433 x 435,7
WT,433 x 435,6
CS,432 x 721,3
CS,432 x 721,7
CS,432 x 721,6
CS,720 x 432,8
CS,720 x 433,8
CS,720 x 433,6
CS,720 x 433,6
CS,721 x 432,8
CS,721 x 432,6
CS,721 x 432,8
CS,721 x 432,
CS,721 x 432,8
CS,721 x 433,6
WT,435 x 432,6
CS,720 x 433,3
CS,720 x 433,7
CS,720 x 433,6
CS,721 x 432,5
CS,721 x 432,
CS,721 x 432,6
CS,721 x 433,6
WT,432 x 435,6
CS,432 x 721,6
CS,432 x 721,6
CS,432 x 721,
CS,720 x 432,
CS,720 x 432,5
CS,720 x 432,4
CS,720 x 432,31
CS,720 x 433,6
CS,721 x 432,6
CS,721 x 432,
CS,721 x 432,6
CS,721 x 432,10
WT,435 x 433,9
CS,720 x 433,6
CS,720 x 433,
CS,720 x 433,6
CS,720 x 433,2
CS,720 x 433,7
CS,721 x 432,8
CS,721 x 432,4
CS,720 x 433,
