Condition,Source file,TIFF used for visual QC,Width px,Height px,Mode,Match status,8-bit min,8-bit max,8-bit mean,8-bit SD
CS,CS-Female -5000X -0020.dm3,/Users/picklejuice/Desktop/XinnanLab/Results/MIC60Results/TEM/5.29.24 TEM Data/C&B-edited mitochondria/CS Female 5000x/CS-Female -5000X -0020.tif,4074,4023,P,matched converted TIFF,12,254,205.57936575051824,27.47531329690418
CS,CS-Female -5000X -0022.dm3,/Users/picklejuice/Desktop/XinnanLab/Results/MIC60Results/TEM/5.29.24 TEM Data/C&B-edited mitochondria/CS Female 5000x/CS-Female -5000X -0022.tif,4080,4016,P,matched converted TIFF,41,254,206.4988176582884,27.004268960930844
CS,CS-Female -5000X -0023.dm3,/Users/picklejuice/Desktop/XinnanLab/Results/MIC60Results/TEM/5.29.24 TEM Data/C&B-edited mitochondria/CS Female 5000x/CS-Female -5000X -0023.tif,4081,4017,P,matched converted TIFF,26,254,203.9450410979995,29.137226558785557
CS,CS-Female -5000X -0024.dm3,/Users/picklejuice/Desktop/XinnanLab/Results/MIC60Results/TEM/5.29.24 TEM Data/C&B-edited mitochondria/CS Female 5000x/CS-Female -5000X -0024.tif,4063,4017,P,matched converted TIFF,13,254,209.38914505059134,26.35395964052551
CS,CS-Female -5000X -0025.dm3,/Users/picklejuice/Desktop/XinnanLab/Results/MIC60Results/TEM/5.29.24 TEM Data/C&B-edited mitochondria/CS Female 5000x/CS-Female -5000X -0025.tif,4089,4002,P,matched converted TIFF,35,254,209.31957663867993,26.187933134721277
CS,CS-Female -5000X -0027.dm3,/Users/picklejuice/Desktop/XinnanLab/Results/MIC60Results/TEM/5.29.24 TEM Data/C&B-edited mitochondria/CS Female 5000x/CS-Female -5000X -0027.tif,4058,3985,P,matched converted TIFF,39,254,206.90507057948332,24.365460931045856
CS,CS-Female -5000X -0028.dm3,/Users/picklejuice/Desktop/XinnanLab/Results/MIC60Results/TEM/5.29.24 TEM Data/C&B-edited mitochondria/CS Female 5000x/CS-Female -5000X -0028.tif,4056,3986,P,matched converted TIFF,0,254,220.69103913747426,20.853775550771665
CS,CS-Female -5000X -0029.dm3,/Users/picklejuice/Desktop/XinnanLab/Results/MIC60Results/TEM/5.29.24 TEM Data/C&B-edited mitochondria/CS Female 5000x/CS-Female -5000X -0029.tif,4082,3975,P,matched converted TIFF,6,254,205.5307681214351,26.1508782480303
CS,CS-Female -5000X -0030.dm3,/Users/picklejuice/Desktop/XinnanLab/Results/MIC60Results/TEM/5.29.24 TEM Data/C&B-edited mitochondria/CS Female 5000x/CS-Female -5000X -0030.tif,4088,3990,P,matched converted TIFF,0,254,129.5788696300438,50.13310964463959
CS,CS-Female -5000X -0031.dm3,/Users/picklejuice/Desktop/XinnanLab/Results/MIC60Results/TEM/5.29.24 TEM Data/C&B-edited mitochondria/CS Female 5000x/CS-Female -5000X -0031.tif,4023,4050,P,matched converted TIFF,0,254,216.72079683793496,62.87101324816808
CS,CS-Female -5000X -0032.dm3,/Users/picklejuice/Desktop/XinnanLab/Results/MIC60Results/TEM/5.29.24 TEM Data/C&B-edited mitochondria/CS Female 5000x/CS-Female -5000X -0032.tif,4019,4048,P,matched converted TIFF,0,254,200.4302789270727,71.19239680748561
CS,CS-Female -5000X -0033.dm3,/Users/picklejuice/Desktop/XinnanLab/Results/MIC60Results/TEM/5.29.24 TEM Data/C&B-edited mitochondria/CS Female 5000x/CS-Female -5000X -0033.tif,4016,4049,P,matched converted TIFF,0,254,216.1340120500955,74.64341637754345
