file,relative_path,session,condition,series,settings_group,tmrm_gain,tmrm_offset,mtg_gain,mtg_offset,tmrm_threshold,mtg_threshold,mask_pixels,mask_fraction,tmrm_mean_in_mask,mtg_mean_in_mask,tmrm_integrated_raw,mtg_integrated_raw,tmrm_background_median,mtg_background_median,tmrm_integrated_bg_corrected,mtg_integrated_bg_corrected,tmrm_mtg_ratio_raw,tmrm_mtg_ratio_bg_corrected,tmrm_mtg_highpass_correlation,tmrm_mtg_mask_dice,mtg_enrichment_in_tmrm_mask,estimated_shift_x_px,estimated_shift_y_px,estimated_shift_magnitude_px,tmrm_saturated_fraction,mtg_saturated_fraction,qc_auto_flags,qc_include,settings_has_WR_and_CS,group_WR_mean_ratio,normalized_to_group_WR_mean,primary_analysis_include,primary_exclusion_reason
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series020.tif,1012_-99 1209_-30/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series020.tif,7.10.26 WR,WR,Series020,1012_-99 1209_-30,1012,-99,1209,-30,60,34,136452,0.13013076782226562,107.3422668777299,55.30612962800105,14647067.0,7546632.0,11.0,15.0,13148130.0,5506899.0,1.9408746842299982,2.387574204647661,0.9255046844482422,0.6597699315349815,3.12690845032539,0,0,0.0,6.29425048828125e-05,0.0,,Yes,No,1.9408746842299982,1.0,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series022.tif,1012_-99 1209_-30/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series022.tif,7.10.26 WR,WR,Series022,1012_-99 1209_-30,1012,-99,1209,-30,110,49,187570,0.1788806915283203,196.03686090526205,68.42011515700806,36770634.0,12833561.0,18.0,15.0,33394394.0,10026086.0,2.865193378517467,3.3307508034541096,0.9303416013717651,0.7733416573728361,3.991844868676309,0,0,0.0,0.037899017333984375,0.00021648406982421875,TMRM_saturation,No,No,1.9408746842299982,1.4762382145523079,No,unmatched acquisition setting; TMRM_saturation
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series018.tif,1151_-99 1209_-30/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series018.tif,7.10.26 WR,WR,Series018,1151_-99 1209_-30,1151,-99,1209,-30,146,27,338733,0.3230409622192383,203.88410340887955,32.66264875285254,69062274.0,11063917.0,86.0,11.0,39963448.0,7445618.0,6.242117868382418,5.367378235090761,0.8126118183135986,0.6513558384061982,2.533956254718907,0,0,0.0,0.06595039367675781,0.0,TMRM_saturation,No,No,nan,nan,No,unmatched acquisition setting; TMRM_saturation
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series009.tif,1151_-99 1250_0/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series009.tif,7.10.26 WR,WR,Series009,1151_-99 1250_0,1151,-99,1250,0,37,15,146813,0.14001178741455078,64.076846055867,19.582666385129382,9407314.0,2874990.0,12.0,8.0,7692790.0,1770574.0,3.272120598680343,4.344800047894073,0.8131169676780701,0.42654292865954474,2.0614850259421393,0,0,0.0,8.869171142578125e-05,0.0,,Yes,No,3.3478874769500537,0.9773687500576529,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series014.tif,1151_-99 1250_0/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series014.tif,7.10.26 WR,WR,Series014,1151_-99 1250_0,1151,-99,1250,0,43,16,162409,0.15488529205322266,75.99541281579222,22.197162718814845,12342339.0,3605019.0,9.0,7.0,10905143.0,2512375.0,3.4236543552197642,4.340571371710035,0.8526413440704346,0.493176386840901,2.435683887863701,0,0,0.0,0.0013704299926757812,0.0,,Yes,No,3.3478874769500537,1.022631249942347,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series031.tif,683_-89 880_-100/TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series031.tif,7.13.26 WR,WR,Series031,683_-89 880_-100,683,-89,880,-100,67,28,142167,0.13558101654052734,125.58376416467956,41.76566995153587,17853867.0,5937700.0,1.0,1.0,17711700.0,5795743.0,3.006865789783923,3.0559843664565527,0.899106502532959,0.7282902495066196,9.872486261864205,0,0,0.0,4.00543212890625e-05,0.0,,Yes,No,3.006865789783923,1.0,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series029.tif,683_-89 987_-100/TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series029.tif,7.13.26 WR,WR,Series029,683_-89 987_-100,683,-89,987,-100,65,120,121530,0.11590003967285156,122.92706327655723,214.1787871307496,14939326.0,26029148.0,0.0,79.0,14939326.0,16428278.0,0.57394602389598,0.9093665203376763,0.7314378023147583,0.503922532829556,2.41668891381324,0,0,0.0,8.58306884765625e-06,0.00264739990234375,,Yes,No,0.57394602389598,1.0,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series017.tif,691_-40 995_-99/TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series017.tif,7.13.26 WR,WR,Series017,691_-40 995_-99,691,-40,995,-99,39,29,112117,0.10692310333251953,72.81942970289965,52.32606116824389,8164296.0,5866641.0,2.0,10.0,7940062.0,4753844.0,1.3916474520939666,1.6702403360312201,0.9527303576469421,0.5754129553888071,3.8655557372582403,0,0,0.0,0.0,0.0,,Yes,No,1.4849925528950676,0.9371410310313543,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series019.tif,691_-40 995_-99/TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series019.tif,7.13.26 WR,WR,Series019,691_-40 995_-99,691,-40,995,-99,39,29,130532,0.12448501586914062,72.75206845830907,49.08060858640027,9496473.0,6406590.0,3.0,10.0,9104877.0,5114218.0,1.4822976029369759,1.7803067839501563,0.9540088772773743,0.6006632909893104,3.675259689333509,0,0,0.0,0.0,0.0,,Yes,No,1.4849925528950676,0.9981852097824748,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series021.tif,691_-40 995_-99/TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series021.tif,7.13.26 WR,WR,Series021,691_-40 995_-99,691,-40,995,-99,42,30,150773,0.14378833770751953,76.64408746924184,48.47723398751766,11555859.0,7309058.0,5.0,11.0,10801994.0,5669945.0,1.5810326036542601,1.9051320603639013,0.9554491639137268,0.6179430168144431,3.4129467454519324,0,0,0.0,0.0,0.0,,Yes,No,1.4849925528950676,1.0646737591861708,No,unmatched acquisition setting
