"file","condition","settings_group","tmrm_mtg_ratio_raw","primary_analysis_include","group","image","percent_wr"
"TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series029.tif","WR","905_-99 1143_-51",0.790930442173594,"Yes","WR","TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series029.tif",54.8387258827949
"TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series031.tif","WR","905_-99 1143_-51",1.15500547817118,"Yes","WR","TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series031.tif",80.0816676577664
"TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series033.tif","WR","905_-99 1143_-51",1.14098415524953,"Yes","WR","TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series033.tif",79.1095069680076
"TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series035.tif","WR","905_-99 1143_-51",0.971079467308131,"Yes","WR","TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series035.tif",67.3292591593448
"TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series037.tif","WR","905_-99 1143_-51",2.15334395484815,"Yes","WR","TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series037.tif",149.300915193973
"TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series039.tif","WR","905_-99 1143_-51",1.89866731436427,"Yes","WR","TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series039.tif",131.643050821139
"TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series041.tif","WR","905_-99 1143_-51",1.98598067216611,"Yes","WR","TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series041.tif",137.696874316974
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series001.tif","CS","905_-99 1143_-51",2.23754124070773,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series001.tif",155.138687560706
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series003.tif","CS","905_-99 1143_-51",2.02584409461104,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series003.tif",140.460782721106
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series005.tif","CS","905_-99 1143_-51",1.98594874790915,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series005.tif",137.694660866229
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series008_2.tif","CS","905_-99 1143_-51",1.78624619234618,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series008_2.tif",123.84839434434
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series010_2.tif","CS","905_-99 1143_-51",1.72675625454213,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series010_2.tif",119.723692324962
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series012_2.tif","CS","905_-99 1143_-51",2.5664742854451,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series012_2.tif",177.945078758109
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series014_2.tif","CS","905_-99 1143_-51",2.5851266416177,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series014_2.tif",179.238329583562
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series018.tif","CS","905_-99 1143_-51",1.95736661954857,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series018.tif",135.712934763988
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series020.tif","CS","905_-99 1143_-51",2.38339390116081,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series020.tif",165.251301312027
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series022.tif","CS","905_-99 1143_-51",2.00425744158065,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series022.tif",138.964084041754
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series026_2.tif","CS","905_-99 1143_-51",1.98852013771137,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series026_2.tif",137.872946759631
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series028_2.tif","CS","905_-99 1143_-51",1.79295494420469,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series028_2.tif",124.313541953494
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030.tif","CS","905_-99 1143_-51",1.58642684448439,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030.tif",109.994030092841
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030_2.tif","CS","905_-99 1143_-51",1.90594498832885,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030_2.tif",132.147644330666
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series032.tif","CS","905_-99 1143_-51",2.59335621874897,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series032.tif",179.808922774024
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series034.tif","CS","905_-99 1143_-51",2.71820087346796,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series034.tif",188.464958037064
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series036.tif","CS","905_-99 1143_-51",2.82025463885095,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series036.tif",195.540799560833
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series038.tif","CS","905_-99 1143_-51",2.15147431767193,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series038.tif",149.171284931766
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series040.tif","CS","905_-99 1143_-51",1.95607036028608,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series040.tif",135.623059343119
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series042.tif","CS","905_-99 1143_-51",1.92686611931502,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series042.tif",133.598199406224
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series044.tif","CS","905_-99 1143_-51",2.01531752360139,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series044.tif",139.730928727249
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series048.tif","CS","905_-99 1143_-51",3.6942911873747,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series048.tif",256.141641481036
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series054.tif","CS","905_-99 1143_-51",2.56558424367266,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series054.tif",177.883368202818
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series056.tif","CS","905_-99 1143_-51",2.63750354442884,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series056.tif",182.869853245689
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series059.tif","CS","905_-99 1143_-51",2.9079268136967,"Yes","CSF","TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series059.tif",201.619501438462
