"group","value","observation"
"WT",0.4473389,1
"WT",0.45565189,2
"WT",0.99846407,3
"WT",0.38749664,4
"WT",0.20114778,5
"WT",0.16495405,6
"WT",0.29654247,7
"WT",0.2199158,8
"WT",0.26262401,9
"WT",0.20205214,10
"WT",0.1608873,11
"WT",0.22910678,12
"WT",0.2612368,13
"WT",0.2283014,14
"WT",0.32247744,15
"WT",0.4061772,16
"CS",0.23757649,1
"CS",0.25376107,2
"CS",0.24223687,3
"CS",0.18886326,4
"CS",0.60204206,5
"CS",0.297239,6
"CS",0.36872824,7
"CS",0.52767622,8
"CS",0.8495919,9
"CS",0.58992584,10
"CS",0.40601091,11
"CS",0.89487882,12
"CS",1.08033126,13
"CS",0.53094542,14
"CS",1.14329337,15
"CS",0.70871911,16
"WT +H2O2",0.16248447,1
"WT +H2O2",0.14620943,2
"WT +H2O2",0.25233913,3
"WT +H2O2",0.32012627,4
"WT +H2O2",0.4059782,5
"WT +H2O2",0.25167899,6
"WT +H2O2",0.42788096,7
"WT +H2O2",0.23933347,8
"WT +H2O2",0.72082628,9
"WT +H2O2",0.64102397,10
"WT +H2O2",0.26393971,11
"WT +H2O2",0.27955717,12
"WT +H2O2",0.17988471,13
"WT +H2O2",0.24928765,14
"WT +H2O2",0.15292028,15
"WT +H2O2",0.9560703,16
"CS +H2O2",0.45049808,1
"CS +H2O2",0.778668,2
"CS +H2O2",0.66299081,3
"CS +H2O2",0.89889875,4
"CS +H2O2",0.80554364,5
"CS +H2O2",0.38901083,6
"CS +H2O2",0.79410908,7
"CS +H2O2",0.88849809,8
"CS +H2O2",0.68000869,9
"CS +H2O2",0.26938287,10
"CS +H2O2",0.96526042,11
"CS +H2O2",0.41981026,12
"CS +H2O2",0.37044487,13
"CS +H2O2",0.55980678,14
"CS +H2O2",0.41023498,15
"CS +H2O2",0.40548635,16
