"acquisition","treatment","group","image","cell_index","area","mean_fluorescence","integrated_density","raw_integrated_density","ctcf","percent_wt","coverglass"
"20X NT","Untreated","WT","S029","1",752.111,6.733,5063.597,17518,5063.597,57.6932716015063,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S029","11",1014.28,14.972,15185.298,52535,12783.48296,145.651590050414,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S029","13",1195.515,6.602,7892.25,27304,7864.753155,89.6088965709986,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S029","15",812.523,18.411,14958.971,51752,14958.971,170.43851964958,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S029","17",1440.052,7.561,10887.976,37668,10887.976,124.054690086648,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S029","19",853.279,7.18,6126.437,21195,6080.359934,69.277996868072,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S029","21",1036.826,9.877,10241.079,35430,10234.858044,116.613238560524,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S029","23",646.896,3.026,1957.743,6773,1957.743,22.3060007786851,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S029","3",371.142,13.71,5088.166,17603,5086.31029,57.9520607604646,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S029","5",517.112,12.275,6347.561,21960,6347.561,72.3224144378253,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S029","7",899.238,3.502,3148.922,10894,3148.922,35.8779761102549,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S029","9",957.626,13.53,12956.714,44825,11617.952852,132.371851342816,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S034","1",835.358,21.388,17866.825,61812,17866.825,203.569831363275,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S034","11",929.299,7.859,7303.453,25267,7303.453,83.2135925425811,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S034","13",941.439,6.854,6452.487,22323,6452.487,73.5179132534024,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S034","15",507.574,5.738,2912.479,10076,2881.516986,32.8312348114694,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S034","17",557.58,12.713,7088.688,24524,7079.20914,80.6586179030215,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S034","19",638.514,6.498,4148.75,14353,4126.40201,47.0151222342401,"20X NT | WT | coverglass 1"
