experiment,dose_mM,genotype,well,normalized_pct
7.28.26,0,WT,1,96.59628139084458
7.28.26,0,WT,2,107.24866281292383
7.28.26,0,WT,3,103.08855724651586
7.28.26,0,WT,4,92.07374839754596
7.28.26,0,WT,5,101.3866971592319
7.28.26,0,WT,6,99.60605299293796
7.28.26,0,CS,1,93.9275668607823
7.28.26,0,CS,2,98.11168770518816
7.28.26,0,CS,3,100.86667233303639
7.28.26,0,CS,4,97.66401142679504
7.28.26,0,CS,5,109.06273004838178
7.28.26,0,CS,6,100.36733162581632
7.28.26,5,WT,1,48.03025478950861
7.28.26,5,WT,2,52.44248255821334
7.28.26,5,WT,3,47.55751744178666
7.28.26,5,WT,4,37.80334308548778
7.28.26,5,WT,5,49.95272532598032
7.28.26,5,WT,6,53.62433297187438
7.28.26,5,CS,1,70.16587062952654
7.28.26,5,CS,2,66.7738042735432
7.28.26,5,CS,3,67.56585876196571
7.28.26,5,CS,4,53.58434461754544
7.28.26,5,CS,5,57.90621674596304
7.28.26,5,CS,6,55.375080520408105
7.28.26,10,WT,1,36.19602765000577
7.28.26,10,WT,2,49.76363132613902
7.28.26,10,WT,3,48.40844748542863
7.28.26,10,WT,4,44.342895963297465
7.28.26,10,WT,5,46.13930070238336
7.28.26,10,WT,6,46.911441970777915
7.28.26,10,CS,1,54.16977731149868
7.28.26,10,CS,2,62.675775415870504
7.28.26,10,CS,3,57.30356257573417
7.28.26,10,CS,4,59.593639185816905
7.28.26,10,CS,5,60.437352971517996
7.28.26,10,CS,6,62.33140233738948
7.28.26,20,WT,1,27.57642668522953
7.28.26,20,WT,2,35.26630883111637
7.28.26,20,WT,3,38.40214153435814
7.28.26,20,WT,4,28.742516526098626
7.28.26,20,WT,5,30.239522040749346
7.28.26,20,WT,6,29.18373742447413
7.28.26,20,CS,1,33.98955288596825
7.28.26,20,CS,2,43.408140418047054
7.28.26,20,CS,3,46.214774080077156
7.28.26,20,CS,4,43.20151349202943
7.28.26,20,CS,5,49.07306703938584
7.28.26,20,CS,6,43.35648112076847
7.28.26,40,WT,1,15.553105545885392
7.28.26,40,WT,2,18.310747901325854
7.28.26,40,WT,3,19.49259361874946
7.28.26,40,WT,4,20.690199908965003
7.28.26,40,WT,5,17.317996183743546
7.28.26,40,WT,6,16.088875792300257
7.28.26,40,CS,1,21.540493552662777
7.28.26,40,CS,2,23.31401054502397
7.28.26,40,CS,3,26.3961442093034
7.28.26,40,CS,4,26.688857990505845
7.28.26,40,CS,5,25.431900615866194
7.28.26,40,CS,6,24.622624651168028
7.15.26,0,WT,1,99.18978277005
7.15.26,0,WT,2,98.04491166234928
7.15.26,0,WT,3,102.7653055676007
7.15.26,0,CS,1,77.08379941130245
7.15.26,0,CS,2,119.9812151765317
7.15.26,0,CS,3,102.93498541216583
7.15.26,20,WT,1,23.170407358618135
7.15.26,20,WT,2,23.170407358618135
7.15.26,20,WT,3,27.855568646059297
7.15.26,20,CS,1,35.47492241267488
7.15.26,20,CS,2,47.98442560308577
7.15.26,20,CS,3,45.24629472452191
7.15.26,40,WT,1,6.701893364547923
7.15.26,40,WT,2,8.656978202733221
7.15.26,40,WT,3,9.960369844589462
7.15.26,40,CS,1,15.019459495860668
7.15.26,40,CS,2,14.29466343987957
7.15.26,40,CS,3,10.992797850960672
