comparison,sex,analysis,direction,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,gene_symbols,significant_BH_0.05
CSF_vs_WRF,Female,GSEA,Higher_in_WR,dme03010,Ribosome,146,-0.5278883545755109,-2.2997309454444683,2.5359566883060552e-9,3.322103261680932e-7,2.9096766213195795e-7,1925,"tags=42%, list=15%, signal=36%",36851/40091/41293/34070/36466/44783/31106/43594/37235/38796/32446/8674052/41141/47218/32375/117414/40261/40656/41028/31145/44326/32523/38230/39809/318977/33629/41364/31398/36570/41859/42290/251466/42671/36688/49425/39477/32395/59151/42870/50381/4379878/40001/33182/36406/38345/33688/37136/35145/35711/42588/42061/33703/41757/43698/37389/37872/40395/326141/43609/34186/41991,RpS15/mRpL21/mRpL37/Rack1/CG4679/RpL37A/sta/RpS7/RpL11/mRpL50/RpL37-1/CG42633/mRpL47/RpS14a/mRpL38/mRpS14/mRpL15/mRpL44/mRpL19/CG14817/mRpL12/mRpL3/mRpL46/mRpS34/mRpS23/RpL40/mRpL40/mRpL30/mRpS16/mRpL9/mRpL55/RpL41/mRpL45/mRpL41/mRpL4/mRpL20/mRpS25/mRpL36/mRpS24/mRpL33/mRpL34/mRpS26/mRpL10/mRpL18/mRpS35/mRpS2/mRpS28/mRpL13/mRpL52/mRpL35/mRpS11/mRpL24/mRpL11/mRpL32/mRpL54/mRpS17/CRIF/mRpS18A/mRpS18C/mRpL51/mRpS33,TRUE
CSF_vs_WRF,Female,GSEA,Higher_in_CS,dme00020,Citrate cycle (TCA cycle),34,0.6801021423639957,2.054286393938755,8.385981473981554e-6,5.492817865457917e-4,4.810905161389418e-4,1657,"tags=53%, list=13%, signal=46%",317829/41326/318995/42185/42326/31605/41468/37900/39470/41324/39469/39348/37130/31407/36760/42689/41360/41269,CG32026/mAcon2/Fum4/Mdh2/Scsalpha2/Fum1/CG14740/CG3483/CG10749/SdhCL/CG10748/SdhAL/Pepck2/CG7024/ATPCL/Irp-1A/CG5214/Irp-1B,TRUE
CSF_vs_WRF,Female,GSEA,Higher_in_CS,dme01230,Biosynthesis of amino acids,59,0.5744800641655137,1.9428810989032295,4.1341883954159784e-5,0.0014929075545282381,0.001307568689783672,2331,"tags=46%, list=19%, signal=37%",2768965/32297/317829/41326/46246/40012/39945/36904/42621/33475/41787/41468/37900/48552/42689/34554/40443/37804/42731/32292/41269/40409/31524/33461/46391/33172/33373,AsnS/Bcat/CG32026/mAcon2/Pglym87/CG5103/CG12229/CG9010/CG7069/CG2964/CG7362/CG14740/CG3483/Sam-S/Irp-1A/CG6287/P5CS/Taldo/CG6733/CG1640/Irp-1B/CG11249/Shmt/Pgk/CG11899/Gs1/Got2,TRUE
CSF_vs_WRF,Female,GSEA,Higher_in_CS,dme01200,Carbon metabolism,102,0.5081243526119006,1.8949470869293379,4.558496349704544e-5,0.0014929075545282381,0.001307568689783672,2338,"tags=40%, list=19%, signal=33%",317829/41326/43191/46246/318995/42185/42326/36839/40012/40445/31605/39945/36904/42621/33475/42756/41787/41468/37900/39470/41324/39469/39348/43936/31407/37541/40349/42689/41360/34554/38358/37804/32292/41269/40409/32974/31524/33461/46391/33373/47173,CG32026/mAcon2/Hex-t2/Pglym87/Fum4/Mdh2/Scsalpha2/CG7848/CG5103/CG7140/Fum1/CG12229/CG9010/CG7069/CG2964/bb8/CG7362/CG14740/CG3483/CG10749/SdhCL/CG10748/SdhAL/Men-b/CG7024/CG11291/ppl/Irp-1A/CG5214/CG6287/CG32487/Taldo/CG1640/Irp-1B/CG11249/Zw/Shmt/Pgk/CG11899/Got2/Men,TRUE
CSF_vs_WRF,Female,GSEA,Higher_in_WR,dme04624,Toll and Imd signaling pathway,77,-0.4986378885871475,-1.9552382950639526,2.556987960082926e-4,0.005592145042226252,0.004897901242287357,1216,"tags=29%, list=10%, signal=26%",50209/32832/41379/50206/44801/34969/43599/45908/317955/2768679/39064/37184/38858/49802/43598/36047/37100/318725/35862/38613/38419/37183,BomS3/psh/PGRP-LB/BomS6/bsk/cact/CecC/nec/Drsl3/p38c/PGRP-LF/DptB/PGRP-SD/BomS2/CecB/Def/BomS1/Takl1/PGRP-SC2/Uev1A/Drs/DptA,TRUE
CSF_vs_WRF,Female,GSEA,Higher_in_CS,dme00620,Pyruvate metabolism,43,0.5955530001458316,1.9099463907245386,2.56128780559981e-4,0.005592145042226252,0.004897901242287357,1269,"tags=42%, list=10%, signal=38%",318995/42185/36839/31605/39945/42621/33475/41787/39470/40708/39469/43936/37130/40946/31407/45880/39490/3771877,Fum4/Mdh2/CG7848/Fum1/CG12229/CG7069/CG2964/CG7362/CG10749/CG1236/CG10748/Men-b/Pepck2/CG2767/CG7024/Ldh/CG11251/Adh,TRUE
CSF_vs_WRF,Female,GSEA,Higher_in_CS,dme00330,Arginine and proline metabolism,41,0.5911577307694487,1.8820580071415454,3.563693083735816e-4,0.0066691970567055985,0.005841241295145925,1487,"tags=32%, list=12%, signal=28%",38986/326188/326209/43624/41922/326111/36844/36515/39040/43640/43625/43620/40443,S-Lap1/S-Lap4/S-Lap2/PH4alphaMP/CG4546/CG31013/S-Lap8/S-Lap5/Argk2/PH4alphaPV/PH4alphaNE1/PH4alphaEFB/P5CS,TRUE
CSF_vs_WRF,Female,GSEA,Higher_in_CS,dme00981,Insect hormone biosynthesis,23,0.7013395700567296,1.9515769552386943,4.2372722366516597e-4,0.006938533287517093,0.00607714044467146,655,"tags=26%, list=5%, signal=25%",32128/31824/32147/3355165/5740359/45282,CG9360/CG10962/CG10352/CG40485/spok/dib,TRUE
CSF_vs_WRF,Female,GSEA,Higher_in_WR,dme04145,Phagocytosis,150,-0.37255102592079486,-1.6314814461555054,0.0018792848853945985,0.027354035554076932,0.02395813479625863,1025,"tags=16%, list=8%, signal=15%",35411/40679/38146/37141/36080/42214/5740248/59177/42341/31803/38144/246490/59178/44702/31342/46080/317987/36963/36731/38128/38127/44307/38122/38129,Lamp1/Vha26/Rac1/Atg7/Syb/Vha100-4/robls54B/Tsp42Eb/Vha13/Rubicon/Rabex-5/CG30160/Tsp42Ea/Vha36-1/VhaAC39-1/Sec61beta/Vps11/robl/Vha14-1/LysE/LysD/Vha16-1/LysX/LysP,TRUE
CSF_vs_WRF,Female,GSEA,Higher_in_WR,dme03020,RNA polymerase,25,-0.6346220485451979,-1.953591053592582,0.0025286749390558668,0.03137280395469019,0.027477988196554694,2244,"tags=52%, list=18%, signal=43%",33712/261631/41741/40002/33210/39941/34796/42563/48312/40415/33963/5740790/42942,Polr1C/Polr2G/Polr2I/Polr3D/Polr1B/Polr3G/Polr2C/Polr1H/Polr2F/Polr2H/Polr1F/Polr2K/Polr2L,TRUE
