"group","experiment","series","efficiency"
"WT","Experiment 1",47,41.37931
"WT","Experiment 1",36,42.10526
"WT","Experiment 1",31,72.22222
"WT","Experiment 1",15,71.42857
"WT","Experiment 1",10,50
"WT","Experiment 2",8,57.28155
"WT","Experiment 2",17,62.1118
"WT","Experiment 2",21,93.33333
"WT","Experiment 2",26,84.29752
"WT","Experiment 2",30,57.69231
"CS","Experiment 1",73,61.53846
"CS","Experiment 1",66,70
"CS","Experiment 1",60,75
"CS","Experiment 1",56,50
"CS","Experiment 1",52,58.33333
"CS","Experiment 2",35,64.51613
"CS","Experiment 2",39,50.41322
"CS","Experiment 2",42,67
"CS","Experiment 2",46,56.55172
"CS","Experiment 2",50,47.5
