"file","condition","objects_n","image_mean_object_ratio","image_median_object_ratio","image_ratio_of_integrated_sums","image_mean_percent_of_WT","image_median_percent_of_WT","integrated_ratio_percent_of_WT","Group"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series001.tif","CS",493,1.44033699419231,1.41416416416416,2.01084185242841,208.710484543948,204.917938730651,291.378878036058,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series003.tif","CS",154,0.89449982955038,0.805820002498046,1.63737857572837,129.616536687394,116.766481632226,237.262583201081,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series005.tif","CS",222,0.543603025511862,0.432706294960445,1.356827327908,78.7702123264277,62.7008407411307,196.609606079685,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series008_2.tif","CS",166,0.608629083838291,0.478049214491391,1.26631547987701,88.192743439643,69.2712077761369,183.494083993058,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series010_2.tif","CS",194,0.503938979073266,0.4161279512992,1.25317235489415,73.0227362950873,60.2985736658378,181.589593589316,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series012_2.tif","CS",115,1.63147590561768,1.62203389830508,2.38284158049448,236.407263130935,235.039079206462,345.283098928769,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series014_2.tif","CS",112,1.49755597741521,1.43089652855212,2.32841511125424,217.001739827757,207.342524013857,337.396489883143,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series018.tif","CS",1243,0.452232725661548,0.285714285714286,1.4048195999066,65.5302972013019,41.4011215798813,203.563874687367,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series020.tif","CS",333,1.00236985349935,0.895287958115183,2.01874674198984,145.24732660457,129.730739610256,292.524327564387,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series022.tif","CS",525,0.752201869515958,0.632107023411371,1.65006320438529,108.997003683555,91.5947890471287,239.100635687354,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series026_2.tif","CS",99,0.989515710040892,0.84367816091954,1.70757443585921,143.384710758119,122.252277400822,247.434238889965,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series028_2.tif","CS",127,0.943182543687278,0.842720191731576,1.54087784313047,136.670853071265,122.113463904949,223.279248231165,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030.tif","CS",43,0.844339334690607,0.859924249538298,1.16750002845121,122.348084075707,124.606399416181,169.175337178482,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030_2.tif","CS",18,1.28667999958691,1.28835617828658,1.67723115961077,186.444982840547,186.687867714019,243.037379048138,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series032.tif","CS",2852,0.652706679588416,0.493103120243531,1.60194562375653,94.5797600917423,71.4525778141744,232.12820936726,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series034.tif","CS",3392,0.672519703664695,0.522372372372372,1.66456235019454,97.4507450570073,75.6938073449586,241.20161883194,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series036.tif","CS",3405,0.6781035206754,0.534574468085106,1.69717445981586,98.2598620612972,77.4619389134215,245.927241535871,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series038.tif","CS",136,0.706092105481024,0.592530210983207,1.49272679951286,102.31551786965,85.8599535663397,216.301972992627,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series040.tif","CS",56,0.87965824644119,0.776202732108312,1.37850079083212,127.465933033799,112.474822889283,199.75017593721,"CS"
"TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series042.tif","CS",59,0.723469793976191,0.669538389894639,1.35194224459535,104.83361314923,97.0187409884907,195.901738331144,"CS"
