group,value,source_sheet,source_cell
WT,0.4473389,Sheet1,A2
WT,0.45565189,Sheet1,A4
WT,0.99846407,Sheet1,A6
WT,0.38749664,Sheet1,A8
WT,0.20114778,Sheet1,A10
WT,0.16495405,Sheet1,A12
WT,0.29654247,Sheet1,A14
WT,0.2199158,Sheet1,A16
WT,0.26262401,Sheet1,A18
WT,0.20205214,Sheet1,A20
WT,0.1608873,Sheet1,A22
WT,0.22910678,Sheet1,A24
WT,0.2612368,Sheet1,A26
WT,0.2283014,Sheet1,A28
WT,0.32247744,Sheet1,A30
WT,0.4061772,Sheet1,A32
CS,0.23757649,Sheet1,B2
CS,0.25376107,Sheet1,B4
CS,0.24223687,Sheet1,B6
CS,0.18886326,Sheet1,B8
CS,0.60204206,Sheet1,B10
CS,0.297239,Sheet1,B12
CS,0.36872824,Sheet1,B14
CS,0.52767622,Sheet1,B16
CS,0.8495919,Sheet1,B18
CS,0.58992584,Sheet1,B20
CS,0.40601091,Sheet1,B22
CS,0.89487882,Sheet1,B24
CS,1.08033126,Sheet1,B26
CS,0.53094542,Sheet1,B28
CS,1.14329337,Sheet1,B30
CS,0.70871911,Sheet1,B32
WT +H2O2,0.16248447,Sheet1,C2
WT +H2O2,0.14620943,Sheet1,C4
WT +H2O2,0.25233913,Sheet1,C6
WT +H2O2,0.32012627,Sheet1,C8
WT +H2O2,0.4059782,Sheet1,C10
WT +H2O2,0.25167899,Sheet1,C12
WT +H2O2,0.42788096,Sheet1,C14
WT +H2O2,0.23933347,Sheet1,C16
WT +H2O2,0.72082628,Sheet1,C18
WT +H2O2,0.64102397,Sheet1,C20
WT +H2O2,0.26393971,Sheet1,C22
WT +H2O2,0.27955717,Sheet1,C24
WT +H2O2,0.17988471,Sheet1,C26
WT +H2O2,0.24928765,Sheet1,C28
WT +H2O2,0.15292028,Sheet1,C30
WT +H2O2,0.9560703,Sheet1,C32
CS +H2O2,0.45049808,Sheet1,D2
CS +H2O2,0.778668,Sheet1,D4
CS +H2O2,0.66299081,Sheet1,D6
CS +H2O2,0.89889875,Sheet1,D8
CS +H2O2,0.80554364,Sheet1,D10
CS +H2O2,0.38901083,Sheet1,D12
CS +H2O2,0.79410908,Sheet1,D14
CS +H2O2,0.88849809,Sheet1,D16
CS +H2O2,0.68000869,Sheet1,D18
CS +H2O2,0.26938287,Sheet1,D20
CS +H2O2,0.96526042,Sheet1,D22
CS +H2O2,0.41981026,Sheet1,D24
CS +H2O2,0.37044487,Sheet1,D26
CS +H2O2,0.55980678,Sheet1,D28
CS +H2O2,0.41023498,Sheet1,D30
CS +H2O2,0.40548635,Sheet1,D32
