"experiment","dose_mM","genotype","experiment_mean","technical_sd","technical_n"
"1",0,"WT",100,2.46228930569998,3
"2",0,"WT",100,5.26443133741872,6
"2",5,"WT",48.2351093621418,5.6394816921974,6
"2",10,"WT",45.2936241830053,4.83085371461071,6
"1",20,"WT",24.7321277877652,2.70497913050097,3
"2",20,"WT",31.568442173671,4.28365623398032,6
"1",40,"WT",8.4397471372902,1.64006379284194,3
"2",40,"WT",17.9089198251616,1.98073821298196,6
"1",0,"CS",100,21.5987887243927,3
"2",0,"CS",100,5.0777187703371,6
"2",5,"CS",61.8951959248253,7.0972587064545,6
"2",10,"CS",59.4185849663046,3.23065406380863,6
"1",20,"CS",42.9018809134275,6.5760265058744,3
"2",20,"CS",43.2072548393794,5.06915398291815,6
"1",40,"CS",13.4356402622336,2.14637872134134,3
"2",40,"CS",24.6656719274217,1.96318638961934,6
