cohort_start,genotype,phase,activity
2026-05-11 22:00:00,WR,Day,0.36506752137384
2026-05-11 22:00:00,WR,Night,0.220265010108554
2026-05-11 22:00:00,CS,Day,0.351885659136916
2026-05-11 22:00:00,CS,Night,0.180337476994365
2026-05-16 22:00:00,WR,Day,0.29537037037037
2026-05-16 22:00:00,WR,Night,0.374993420227629
2026-05-16 22:00:00,CS,Day,0.349564651985636
2026-05-16 22:00:00,CS,Night,0.181500609476087
2026-05-21 22:00:00,WR,Day,0.199720102218555
2026-05-21 22:00:00,WR,Night,0.272561937778648
2026-05-21 22:00:00,CS,Day,0.375172075758227
2026-05-21 22:00:00,CS,Night,0.213810854427393
2026-05-31 22:00:00,WR,Day,0.362059451500531
2026-05-31 22:00:00,WR,Night,0.359079741114325
2026-05-31 22:00:00,CS,Day,0.329774680892566
2026-05-31 22:00:00,CS,Night,0.272888990433347
