cohort_start,genotype,phase,percent_asleep
2026-05-11 22:00:00,WR,Day,57.1145815365509
2026-05-11 22:00:00,WR,Night,79.4492082580089
2026-05-11 22:00:00,CS,Day,64.8068806811143
2026-05-11 22:00:00,CS,Night,86.4557128434187
2026-05-16 22:00:00,WR,Day,82.5231481481482
2026-05-16 22:00:00,WR,Night,73.8633689025029
2026-05-16 22:00:00,CS,Day,56.6369613434727
2026-05-16 22:00:00,CS,Night,83.7783186172772
2026-05-21 22:00:00,WR,Day,84.8913386709041
2026-05-21 22:00:00,WR,Night,81.1112838438866
2026-05-21 22:00:00,CS,Day,67.6368195886368
2026-05-21 22:00:00,CS,Night,86.6295279368283
2026-05-31 22:00:00,WR,Day,77.7628246488379
2026-05-31 22:00:00,WR,Night,72.2782293002983
2026-05-31 22:00:00,CS,Day,72.0252510497623
2026-05-31 22:00:00,CS,Night,81.7392345217175
