"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","sex","direction"
"BP","GO:0044419","biological process involved in interspecies interaction between organisms","30/88","333/5982",0.0900900900900901,6.12407862407862,11.7564252231258,1.02734314587362e-16,6.9859333919406e-14,6.65069510223447e-14,"TotZ/LysP/LysX/AttD/sau/TotA/LysD/CG12780/LysE/Nazo/DptA/CG14499/TotX/Sting/Drs/Spn88Eb/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/IBIN/BomS1/BomBc1/CRIF/Tep2/AttC",30,"female","down"
"BP","GO:0009607","response to biotic stimulus","28/88","302/5982",0.0927152317880795,6.30252859723058,11.5540833067827,6.77752103090247e-16,1.15217857525342e-13,1.09688827210658e-13,"TotZ/LysP/LysX/AttD/TotA/LysD/CG12780/LysE/Nazo/DptA/TotX/Sting/Drs/Spn88Eb/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/IBIN/BomS1/BomBc1/CRIF/Tep2/AttC",28,"female","down"
"BP","GO:0043207","response to external biotic stimulus","28/88","302/5982",0.0927152317880795,6.30252859723058,11.5540833067827,6.77752103090247e-16,1.15217857525342e-13,1.09688827210658e-13,"TotZ/LysP/LysX/AttD/TotA/LysD/CG12780/LysE/Nazo/DptA/TotX/Sting/Drs/Spn88Eb/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/IBIN/BomS1/BomBc1/CRIF/Tep2/AttC",28,"female","down"
"BP","GO:0051707","response to other organism","28/88","302/5982",0.0927152317880795,6.30252859723058,11.5540833067827,6.77752103090247e-16,1.15217857525342e-13,1.09688827210658e-13,"TotZ/LysP/LysX/AttD/TotA/LysD/CG12780/LysE/Nazo/DptA/TotX/Sting/Drs/Spn88Eb/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/IBIN/BomS1/BomBc1/CRIF/Tep2/AttC",28,"female","down"
"BP","GO:0009617","response to bacterium","21/88","176/5982",0.119318181818182,8.11092458677686,11.699493555759,3.81761370248529e-14,5.19195463537999e-12,4.94280510953358e-12,"TotZ/LysP/LysX/AttD/TotA/LysD/LysE/DptA/TotX/Sting/Drs/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/BomS1/BomBc1/Tep2/AttC",21,"female","down"
"BP","GO:0098542","defense response to other organism","22/88","274/5982",0.0802919708029197,5.45802919708029,9.22995065473542,2.99213209615853e-11,3.391083042313e-09,3.22835305111842e-09,"LysP/LysX/AttD/LysD/CG12780/LysE/Nazo/DptA/Sting/Drs/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/Mtk/BomS1/BomBc1/CRIF/Tep2/AttC",22,"female","down"
"BP","GO:0006952","defense response","22/88","281/5982",0.0782918149466192,5.3220640569395,9.06759282626079,4.93261019886758e-11,4.79167847889993e-09,4.5617372515843e-09,"LysP/LysX/AttD/LysD/CG12780/LysE/Nazo/DptA/Sting/Drs/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/Mtk/BomS1/BomBc1/CRIF/Tep2/AttC",22,"female","down"
"BP","GO:0042742","defense response to bacterium","16/88","157/5982",0.101910828025478,6.92762015055009,9.19613628059772,6.6919319359195e-10,5.68814214553157e-08,5.41518176393486e-08,"LysP/LysX/AttD/LysD/LysE/DptA/Sting/Drs/edin/PPO1/Uev1A/PGRP-SC2/Mtk/BomBc1/Tep2/AttC",16,"female","down"
"BP","GO:0002376","immune system process","20/88","266/5982",0.075187969924812,5.11107313738893,8.38056083265586,9.07547770950136e-10,6.85702760273436e-08,6.52797519455361e-08,"TotZ/TotA/LysE/DptA/TotX/Sting/Drs/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/BomS1/BomBc1/CRIF/Tep2/AttC/CG13559",20,"female","down"
"BP","GO:0140546","defense response to symbiont","17/88","203/5982",0.083743842364532,5.69267801164353,8.31123571174304,3.94222896299139e-09,2.68071569483414e-07,2.55207453919969e-07,"CG12780/LysE/Nazo/DptA/Sting/Drs/Srg2/Tep1/PPO1/Uev1A/PGRP-SC2/Mtk/BomS1/BomBc1/CRIF/Tep2/AttC",17,"female","down"
"BP","GO:0050829","defense response to Gram-negative bacterium","10/88","74/5982",0.135135135135135,9.18611793611794,8.65758542061318,9.39626509628723e-08,5.8086002413412e-06,5.52985936288674e-06,"LysP/LysX/LysD/LysE/DptA/Drs/edin/PGRP-SC2/Mtk/Tep2",10,"female","down"
"BP","GO:0006959","humoral immune response","10/88","75/5982",0.133333333333333,9.06363636363636,8.58620498411198,1.07127311886018e-07,6.07054767354101e-06,5.77923656227202e-06,"DptA/Sting/Drs/edin/PPO1/PGRP-SC2/Mtk/BomS1/BomBc1/AttC",10,"female","down"
"BP","GO:0006955","immune response","15/88","207/5982",0.072463768115942,4.92588932806324,7.02377195327884,2.50277463453454e-07,1.3091436549873e-05,1.24632097185323e-05,"LysE/DptA/Sting/Drs/Tep1/edin/PPO1/Uev1A/PGRP-SC2/Mtk/BomS1/BomBc1/CRIF/Tep2/AttC",15,"female","down"
"BP","GO:0050830","defense response to Gram-positive bacterium","6/88","31/5982",0.193548387096774,13.1568914956012,8.29147095603286,4.67781991399642e-06,0.000227208395822683,0.000216305206549459,"AttD/edin/PPO1/Mtk/BomBc1/AttC",6,"female","down"
"BP","GO:0019730","antimicrobial humoral response","8/88","67/5982",0.119402985074627,8.11668928086839,7.15749746805436,5.11061591459457e-06,0.000231681254794954,0.000220563423682502,"DptA/Sting/Drs/PGRP-SC2/Mtk/BomS1/BomBc1/AttC",8,"female","down"
"BP","GO:0019731","antibacterial humoral response","6/88","35/5982",0.171428571428571,11.6532467532468,7.72307426141855,9.8371518095092e-06,0.000418078951904141,0.000398016339661063,"DptA/Drs/PGRP-SC2/Mtk/BomBc1/AttC",6,"female","down"
"BP","GO:0034644","cellular response to UV","4/88","11/5982",0.363636363636364,24.7190082644628,9.62038616145329,1.33398431789347e-05,0.000533593727157388,0.000507987836225686,"TotZ/TotA/TotC/ninaD",4,"female","down"
"BP","GO:0034605","cellular response to heat","5/88","23/5982",0.217391304347826,14.7776679841897,8.08865126658543,1.6781376276162e-05,0.000633963103766118,0.000603540725721614,"TotZ/TotA/TotX/Hsp70Ab/TotC",5,"female","down"
"BP","GO:0051607","defense response to virus","5/88","33/5982",0.151515151515152,10.2995867768595,6.54518321980131,0.000105414523153974,0.00377273030235274,0.0035916859689581,"CG12780/Nazo/Sting/Srg2/CRIF",5,"female","down"
"BP","GO:0009615","response to virus","5/88","38/5982",0.131578947368421,8.94437799043062,6.00254561408045,0.000210412979647784,0.00699985087314128,0.00666394471669023,"CG12780/Nazo/Sting/Srg2/CRIF",5,"female","down"
"BP","GO:0009411","response to UV","4/88","21/5982",0.19047619047619,12.9480519480519,6.70147435754538,0.000216171865199951,0.00699985087314128,0.00666394471669023,"TotZ/TotA/TotC/ninaD",4,"female","down"
"BP","GO:0045087","innate immune response","9/88","154/5982",0.0584415584415584,3.97269775678867,4.5664059340771,0.000395533792199264,0.0122255899407045,0.0116389130240453,"LysE/DptA/Sting/Tep1/PPO1/Uev1A/PGRP-SC2/CRIF/Tep2",9,"female","down"
"BP","GO:0009620","response to fungus","5/88","46/5982",0.108695652173913,7.38883399209486,5.31467540175163,0.000523901468396011,0.0154892608047516,0.0147459681035948,"Drs/Spn88Eb/PPO1/Mtk/BomS1",5,"female","down"
"BP","GO:0019732","antifungal humoral response","3/88","12/5982",0.25,16.9943181818182,6.77629587371753,0.000614896556084639,0.0174220690890648,0.0165860255259672,"Drs/Mtk/BomS1",3,"female","down"
"BP","GO:0009408","response to heat","5/88","51/5982",0.0980392156862745,6.6644385026738,4.96365014893919,0.000847504483488583,0.0230521219508895,0.0219459055724412,"TotZ/TotA/TotX/Hsp70Ab/TotC",5,"female","down"
"BP","GO:0071482","cellular response to light stimulus","4/88","35/5982",0.114285714285714,7.76883116883117,4.90706607954571,0.0016164826723215,0.0422772391222547,0.0402484552015273,"TotZ/TotA/TotC/ninaD",4,"female","down"
"BP","GO:0050832","defense response to fungus","4/88","37/5982",0.108108108108108,7.34889434889435,4.73310570993364,0.00199389922917387,0.0502167213273418,0.0478069405825313,"Drs/PPO1/Mtk/BomS1",4,"female","down"
"BP","GO:0034599","cellular response to oxidative stress","3/88","24/5982",0.125,8.49715909090909,4.49650695691246,0.00497982006099217,0.120938487195524,0.115134937500383,"TotZ/TotA/TotX",3,"female","down"
"BP","GO:0071478","cellular response to radiation","4/88","49/5982",0.0816326530612245,5.54916512059369,3.9067510543319,0.00559573275152465,0.131210285208164,0.124913816413345,"TotZ/TotA/TotC/ninaD",4,"female","down"
"BP","GO:0009266","response to temperature stimulus","5/88","80/5982",0.0625,4.24857954545455,3.57406188372231,0.006216689307588,0.137383649359787,0.13079093553602,"TotZ/TotA/TotX/Hsp70Ab/TotC",5,"female","down"
"BP","GO:0062197","cellular response to chemical stress","3/88","26/5982",0.115384615384615,7.84353146853147,4.27280201311353,0.00626307813257853,0.137383649359787,0.13079093553602,"TotZ/TotA/TotX",3,"female","down"
"BP","GO:0071214","cellular response to abiotic stimulus","4/88","53/5982",0.0754716981132075,5.1303602058319,3.69027141339531,0.00739747376906724,0.152432792817143,0.145117906474525,"TotZ/TotA/TotC/ninaD",4,"female","down"
"BP","GO:0104004","cellular response to environmental stimulus","4/88","53/5982",0.0754716981132075,5.1303602058319,3.69027141339531,0.00739747376906724,0.152432792817143,0.145117906474525,"TotZ/TotA/TotC/ninaD",4,"female","down"
"BP","GO:0032543","mitochondrial translation","5/88","85/5982",0.0588235294117647,3.99866310160428,3.40208175760665,0.00801118673653235,0.160223734730647,0.152534979658433,"mRpS33/mRpL51/mRpS18C/mRpS18A/mRpS17",5,"female","down"
"BP","GO:0140053","mitochondrial gene expression","5/88","96/5982",0.0520833333333333,3.54048295454545,3.0659491279433,0.0131684135726865,0.255843463697909,0.243566145780517,"mRpS33/mRpL51/mRpS18C/mRpS18A/mRpS17",5,"female","down"
"BP","GO:0006631","fatty acid metabolic process","5/88","97/5982",0.0515463917525773,3.50398313027179,3.03785614027342,0.013726924860013,0.259286358466913,0.246843824237077,"CG30008/Acsx1R/Acbp5/CG7900/Fatp1",5,"female","down"
