"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","sex","direction"
"BP","GO:0044703","multi-organism reproductive process","12/381","19/7230",0.631578947368421,11.9850808122669,11.3075971050487,1.39590235553915e-11,1.22612968429442e-08,1.20206106047711e-08,"lectin-46Ca/Acp29AB/lectin-46Cb/Sems/aqrs/Acp62F/CG9997/SP/Acp53Ea/intr/Acp26Aa/EbpIII",12,"male","down"
"BP","GO:0007320","insemination","11/381","16/7230",0.6875,13.0462598425197,11.3765915564104,2.60324773735545e-11,1.22612968429442e-08,1.20206106047711e-08,"lectin-46Ca/Acp29AB/lectin-46Cb/Sems/aqrs/Acp62F/CG9997/Acp53Ea/intr/Acp26Aa/EbpIII",11,"male","down"
"BP","GO:0044706","multi-multicellular organism process","11/381","16/7230",0.6875,13.0462598425197,11.3765915564104,2.60324773735545e-11,1.22612968429442e-08,1.20206106047711e-08,"lectin-46Ca/Acp29AB/lectin-46Cb/Sems/aqrs/Acp62F/CG9997/Acp53Ea/intr/Acp26Aa/EbpIII",11,"male","down"
"BP","GO:0006633","fatty acid biosynthetic process","19/381","58/7230",0.327586206896552,6.21639967417866,9.40703440828275,4.73075105818457e-11,1.6711378113037e-08,1.63833378751866e-08,"CG30008/CG15531/CG9458/CG18609/CG8630/CG8534/Baldspot/Acsf2/Hacd1/CG6432/Acsx3/Acsx1R/FASN2/Sc2/Fatp1/CG9993/Acsx4/eloF/CG5568",19,"male","down"
"BP","GO:0019752","carboxylic acid metabolic process","41/381","256/7230",0.16015625,3.03918553149606,7.83472521684899,8.94608661939287e-11,2.10680339886702e-08,2.06544736686334e-08,"CG30008/CG15531/CG9458/CG18609/PH4alphaNE2/CG8630/ry/CG8534/PH4alphaSG1/CG32199/CG18233/CG10184/CG32201/CG15864/Baldspot/CG18234/Irp-1B/Acsf2/Hacd1/Had2/CG31021/Agxt/aay/Hex-C/CG11828/CG6432/Acsx3/Gip/Acsx1R/FASN2/Sc2/Fatp1/CG9993/PH4alphaNE3/hgo/e/Acsx4/CG18231/yellow-f2/eloF/CG5568",41,"male","down"
"BP","GO:0043436","oxoacid metabolic process","41/381","256/7230",0.16015625,3.03918553149606,7.83472521684899,8.94608661939287e-11,2.10680339886702e-08,2.06544736686334e-08,"CG30008/CG15531/CG9458/CG18609/PH4alphaNE2/CG8630/ry/CG8534/PH4alphaSG1/CG32199/CG18233/CG10184/CG32201/CG15864/Baldspot/CG18234/Irp-1B/Acsf2/Hacd1/Had2/CG31021/Agxt/aay/Hex-C/CG11828/CG6432/Acsx3/Gip/Acsx1R/FASN2/Sc2/Fatp1/CG9993/PH4alphaNE3/hgo/e/Acsx4/CG18231/yellow-f2/eloF/CG5568",41,"male","down"
"BP","GO:0006082","organic acid metabolic process","41/381","258/7230",0.158914728682171,3.01562595373253,7.77551426881494,1.14895541099353e-10,2.26241908967558e-08,2.21800835997547e-08,"CG30008/CG15531/CG9458/CG18609/PH4alphaNE2/CG8630/ry/CG8534/PH4alphaSG1/CG32199/CG18233/CG10184/CG32201/CG15864/Baldspot/CG18234/Irp-1B/Acsf2/Hacd1/Had2/CG31021/Agxt/aay/Hex-C/CG11828/CG6432/Acsx3/Gip/Acsx1R/FASN2/Sc2/Fatp1/CG9993/PH4alphaNE3/hgo/e/Acsx4/CG18231/yellow-f2/eloF/CG5568",41,"male","down"
"BP","GO:0072330","monocarboxylic acid biosynthetic process","19/381","61/7230",0.311475409836066,5.91067510003872,9.08374315037513,1.2809166820527e-10,2.26241908967558e-08,2.21800835997547e-08,"CG30008/CG15531/CG9458/CG18609/CG8630/CG8534/Baldspot/Acsf2/Hacd1/CG6432/Acsx3/Acsx1R/FASN2/Sc2/Fatp1/CG9993/Acsx4/eloF/CG5568",19,"male","down"
"BP","GO:0046692","sperm competition","10/381","15/7230",0.666666666666667,12.6509186351706,10.6530912805144,3.48800834726343e-10,4.59199062263129e-08,4.50185097730307e-08,"lectin-46Ca/Acp29AB/lectin-46Cb/Sems/aqrs/Acp62F/CG9997/Acp53Ea/intr/Acp26Aa",10,"male","down"
"BP","GO:0007620","copulation","11/381","19/7230",0.578947368421053,10.9863240779113,10.2795173893823,3.89977972197986e-10,4.59199062263129e-08,4.50185097730307e-08,"lectin-46Ca/Acp29AB/lectin-46Cb/Sems/aqrs/Acp62F/CG9997/Acp53Ea/intr/Acp26Aa/EbpIII",11,"male","down"
"BP","GO:0018401","peptidyl-proline hydroxylation to 4-hydroxy-L-proline","11/381","19/7230",0.578947368421053,10.9863240779113,10.2795173893823,3.89977972197986e-10,4.59199062263129e-08,4.50185097730307e-08,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/CG31021/CG11828/PH4alphaNE3/CG18231",11,"male","down"
"BP","GO:0019471","4-hydroxyproline metabolic process","11/381","19/7230",0.578947368421053,10.9863240779113,10.2795173893823,3.89977972197986e-10,4.59199062263129e-08,4.50185097730307e-08,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/CG31021/CG11828/PH4alphaNE3/CG18231",11,"male","down"
"BP","GO:0018126","protein hydroxylation","11/381","20/7230",0.55,10.4370078740157,9.96712029775713,8.25975474537063e-10,8.33645246800622e-08,8.17280995857726e-08,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/CG31021/CG11828/PH4alphaNE3/CG18231",11,"male","down"
"BP","GO:0019511","peptidyl-proline hydroxylation","11/381","20/7230",0.55,10.4370078740157,9.96712029775713,8.25975474537063e-10,8.33645246800622e-08,8.17280995857726e-08,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/CG31021/CG11828/PH4alphaNE3/CG18231",11,"male","down"
"BP","GO:0016053","organic acid biosynthetic process","22/381","91/7230",0.241758241758242,4.58769576879813,8.12279757898366,1.01749806749194e-09,8.98577980853823e-08,8.80939116328552e-08,"CG30008/CG15531/CG9458/CG18609/CG8630/CG8534/CG10184/Baldspot/Acsf2/Hacd1/Agxt/aay/CG6432/Acsx3/Acsx1R/FASN2/Sc2/Fatp1/CG9993/Acsx4/eloF/CG5568",22,"male","down"
"BP","GO:0046394","carboxylic acid biosynthetic process","22/381","91/7230",0.241758241758242,4.58769576879813,8.12279757898366,1.01749806749194e-09,8.98577980853823e-08,8.80939116328552e-08,"CG30008/CG15531/CG9458/CG18609/CG8630/CG8534/CG10184/Baldspot/Acsf2/Hacd1/Agxt/aay/CG6432/Acsx3/Acsx1R/FASN2/Sc2/Fatp1/CG9993/Acsx4/eloF/CG5568",22,"male","down"
"BP","GO:0046008","regulation of female receptivity, post-mating","8/381","11/7230",0.727272727272727,13.8010021474588,10.0205096178196,7.94567886334261e-09,6.60426131406065e-07,6.47462129050085e-07,"lectin-46Ca/lectin-46Cb/Sems/aqrs/CG9997/SP/intr/Acp33A",8,"male","down"
"BP","GO:0018208","peptidyl-proline modification","12/381","29/7230",0.413793103448276,7.8522943252783,8.72020348884305,8.87494964913319e-09,6.96683547456956e-07,6.83007820950835e-07,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/CG31021/CG11828/PH4alphaNE3/CG18231/CG5071",12,"male","down"
"BP","GO:0045924","regulation of female receptivity","11/381","24/7230",0.458333333333333,8.69750656167979,8.9083357474976,1.01307277270207e-08,7.53406225172643e-07,7.38617046468654e-07,"lectin-46Ca/Mst57Dc/lectin-46Cb/Sems/Mst57Db/aqrs/Mst57Da/CG9997/SP/intr/Acp33A",11,"male","down"
"BP","GO:0060180","female mating behavior","11/381","29/7230",0.379310344827586,7.19793646483845,7.88747018424616,1.10482894262703e-07,7.80561647965995e-06,7.6523941499851e-06,"lectin-46Ca/Mst57Dc/lectin-46Cb/Sems/Mst57Db/aqrs/Mst57Da/CG9997/SP/intr/Acp33A",11,"male","down"
"BP","GO:1901605","alpha-amino acid metabolic process","18/381","82/7230",0.219512195121951,4.16554637987325,6.79909880365773,1.71605990980189e-07,1.15466316788098e-05,1.1319974141851e-05,"PH4alphaNE2/ry/PH4alphaSG1/CG32199/CG18233/CG10184/CG32201/CG15864/CG18234/CG31021/Agxt/aay/CG11828/PH4alphaNE3/hgo/e/CG18231/yellow-f2",18,"male","down"
"BP","GO:0170033","L-amino acid metabolic process","15/381","61/7230",0.245901639344262,4.66632244739899,6.78194560629038,3.87953877319954e-07,2.49172194842316e-05,2.44281006006249e-05,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG10184/CG32201/CG15864/CG18234/CG31021/Agxt/aay/CG11828/PH4alphaNE3/hgo/CG18231",15,"male","down"
"BP","GO:0006631","fatty acid metabolic process","20/381","105/7230",0.19047619047619,3.61454818147732,6.36483107517034,4.17896107505831e-07,2.56733565176409e-05,2.51693948502368e-05,"CG30008/CG15531/CG9458/CG18609/CG8630/CG8534/Baldspot/Acsf2/Hacd1/Had2/CG6432/Acsx3/Acsx1R/FASN2/Sc2/Fatp1/CG9993/Acsx4/eloF/CG5568",20,"male","down"
"BP","GO:0170041","non-proteinogenic amino acid metabolic process","11/381","36/7230",0.305555555555556,5.79833770778653,6.80682932448079,1.3723287668123e-06,8.07958561460742e-05,7.92098533826749e-05,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/CG31021/CG11828/PH4alphaNE3/CG18231",11,"male","down"
"BP","GO:0032787","monocarboxylic acid metabolic process","23/381","146/7230",0.157534246575342,2.98942940351634,5.72734970229997,1.92768212212375e-06,0.000108952593542434,0.000106813880956415,"CG30008/CG15531/CG9458/CG18609/CG8630/CG8534/Baldspot/Acsf2/Hacd1/Had2/Agxt/Hex-C/CG6432/Acsx3/Gip/Acsx1R/FASN2/Sc2/Fatp1/CG9993/Acsx4/eloF/CG5568",23,"male","down"
"BP","GO:0044283","small molecule biosynthetic process","24/381","158/7230",0.151898734177215,2.88248779029204,5.6425784080475,2.24463183071851e-06,0.000121987106800202,0.00011959252992816,"CG30008/CG15531/CG9458/CG18609/CG8630/CG8534/CG10184/Baldspot/Acsf2/Hacd1/Agxt/aay/CG6432/Acsx3/eIF4EHP/Acsx1R/Inos/FASN2/Sc2/Fatp1/CG9993/Acsx4/eloF/CG5568",24,"male","down"
"BP","GO:0006629","lipid metabolic process","40/381","354/7230",0.112994350282486,2.14422349748654,5.20634059817648,3.08122612501534e-06,0.000161250833875803,0.00015808551970839,"CG30008/CG15531/CG9458/FarO/CG18609/CG8630/ry/CG17560/CG8534/Baldspot/alpha4GT2/Acsf2/CG6472/Hacd1/CG11600/Had2/CG11608/CG6432/Acsx3/eIF4EHP/Acsx1R/Inos/SP/FASN2/Sc2/Fatp1/CG9519/CG9993/CG11162/CG11426/Rdh1/CG17026/Acsx4/CG12539/CG17097/CG34448/CG9522/Mip/eloF/CG5568",40,"male","down"
"BP","GO:0006575","cellular modified amino acid metabolic process","16/381","81/7230",0.197530864197531,3.74842033634685,5.8666615100393,3.70695421466618e-06,0.000183907198743262,0.000180297145711725,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/GstE9/CG4752/CG32201/CG15864/CG18234/CG31021/CG11828/GstE7/GstE3/PH4alphaNE3/GstD5/CG18231",16,"male","down"
"BP","GO:0008610","lipid biosynthetic process","26/381","185/7230",0.140540540540541,2.66695041498191,5.41696543112383,3.7744577236763e-06,0.000183907198743262,0.000180297145711725,"CG30008/CG15531/CG9458/CG18609/CG8630/CG8534/Baldspot/alpha4GT2/Acsf2/Hacd1/CG6432/Acsx3/eIF4EHP/Acsx1R/Inos/SP/FASN2/Sc2/Fatp1/CG9993/CG11162/CG17026/Acsx4/Mip/eloF/CG5568",26,"male","down"
"BP","GO:0042761","very long-chain fatty acid biosynthetic process","8/381","22/7230",0.363636363636364,6.90050107372942,6.53703578314756,9.20213898462136e-06,0.000433420746175666,0.000424912803640762,"CG30008/CG9458/CG18609/CG8534/Baldspot/Hacd1/Sc2/eloF",8,"male","down"
