"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","sex","direction"
"BP","GO:0044703","multi-organism reproductive process","12/381","19/7230",0.631578947368421,11.9850808122669,11.3075971050487,1.39590235553915e-11,1.22612968429442e-08,1.20206106047711e-08,"lectin-46Ca/Acp29AB/lectin-46Cb/Sems/aqrs/Acp62F/CG9997/SP/Acp53Ea/intr/Acp26Aa/EbpIII",12,"male","down"
"BP","GO:0007320","insemination","11/381","16/7230",0.6875,13.0462598425197,11.3765915564104,2.60324773735545e-11,1.22612968429442e-08,1.20206106047711e-08,"lectin-46Ca/Acp29AB/lectin-46Cb/Sems/aqrs/Acp62F/CG9997/Acp53Ea/intr/Acp26Aa/EbpIII",11,"male","down"
"BP","GO:0044706","multi-multicellular organism process","11/381","16/7230",0.6875,13.0462598425197,11.3765915564104,2.60324773735545e-11,1.22612968429442e-08,1.20206106047711e-08,"lectin-46Ca/Acp29AB/lectin-46Cb/Sems/aqrs/Acp62F/CG9997/Acp53Ea/intr/Acp26Aa/EbpIII",11,"male","down"
"BP","GO:0006633","fatty acid biosynthetic process","19/381","58/7230",0.327586206896552,6.21639967417866,9.40703440828275,4.73075105818457e-11,1.6711378113037e-08,1.63833378751866e-08,"CG30008/CG15531/CG9458/CG18609/CG8630/CG8534/Baldspot/Acsf2/Hacd1/CG6432/Acsx3/Acsx1R/FASN2/Sc2/Fatp1/CG9993/Acsx4/eloF/CG5568",19,"male","down"
"BP","GO:0019752","carboxylic acid metabolic process","41/381","256/7230",0.16015625,3.03918553149606,7.83472521684899,8.94608661939287e-11,2.10680339886702e-08,2.06544736686334e-08,"CG30008/CG15531/CG9458/CG18609/PH4alphaNE2/CG8630/ry/CG8534/PH4alphaSG1/CG32199/CG18233/CG10184/CG32201/CG15864/Baldspot/CG18234/Irp-1B/Acsf2/Hacd1/Had2/CG31021/Agxt/aay/Hex-C/CG11828/CG6432/Acsx3/Gip/Acsx1R/FASN2/Sc2/Fatp1/CG9993/PH4alphaNE3/hgo/e/Acsx4/CG18231/yellow-f2/eloF/CG5568",41,"male","down"
"BP","GO:0043436","oxoacid metabolic process","41/381","256/7230",0.16015625,3.03918553149606,7.83472521684899,8.94608661939287e-11,2.10680339886702e-08,2.06544736686334e-08,"CG30008/CG15531/CG9458/CG18609/PH4alphaNE2/CG8630/ry/CG8534/PH4alphaSG1/CG32199/CG18233/CG10184/CG32201/CG15864/Baldspot/CG18234/Irp-1B/Acsf2/Hacd1/Had2/CG31021/Agxt/aay/Hex-C/CG11828/CG6432/Acsx3/Gip/Acsx1R/FASN2/Sc2/Fatp1/CG9993/PH4alphaNE3/hgo/e/Acsx4/CG18231/yellow-f2/eloF/CG5568",41,"male","down"
"BP","GO:0006082","organic acid metabolic process","41/381","258/7230",0.158914728682171,3.01562595373253,7.77551426881494,1.14895541099353e-10,2.26241908967558e-08,2.21800835997547e-08,"CG30008/CG15531/CG9458/CG18609/PH4alphaNE2/CG8630/ry/CG8534/PH4alphaSG1/CG32199/CG18233/CG10184/CG32201/CG15864/Baldspot/CG18234/Irp-1B/Acsf2/Hacd1/Had2/CG31021/Agxt/aay/Hex-C/CG11828/CG6432/Acsx3/Gip/Acsx1R/FASN2/Sc2/Fatp1/CG9993/PH4alphaNE3/hgo/e/Acsx4/CG18231/yellow-f2/eloF/CG5568",41,"male","down"
"BP","GO:0072330","monocarboxylic acid biosynthetic process","19/381","61/7230",0.311475409836066,5.91067510003872,9.08374315037513,1.2809166820527e-10,2.26241908967558e-08,2.21800835997547e-08,"CG30008/CG15531/CG9458/CG18609/CG8630/CG8534/Baldspot/Acsf2/Hacd1/CG6432/Acsx3/Acsx1R/FASN2/Sc2/Fatp1/CG9993/Acsx4/eloF/CG5568",19,"male","down"
"CC","GO:0005615","extracellular space","95/365","439/7088",0.216400911161731,4.20232783099822,16.1404625465473,2.1589984692533e-36,4.57707675481701e-34,4.57707675481701e-34,"LysD/CG18628/lectin-46Ca/Ance-2/Mst57Dc/BG642167/PH4alphaNE2/CG31419/CG42564/CG34002/LysP/Acp29AB/CG6071/lectin-46Cb/CG31515/CG31680/Sfp65A/Qsox3/Sems/CG4017/CtsK1/CG31883/CG34129/CG17472/Sfp33A3/CG13965/CG15635/Qsox4/CG31418/Qsox2/Mst57Db/CG31496/Spn43Ab/Sfp33A2/lectin-30A/CG8738/CG9168/aqrs/LysE/Jhbp4/Sod3/Drs/Sfp84E/Acp62F/CG11037/Mst57Da/Spn28F/Spn28Da/CG8492/lectin-29Ca/CG6472/Amy-d/Sfp93F/CG11608/CG5402/CG11112/CG9997/CG31198/CG11977/Sfp51E/CG3640/CG17404/CG18417/SP/Sfp24C1/Acp53Ea/CG34130/Gpxl/Spn28Db/CG10031/CG34034/Acp26Aa/msopa/CG11113/CG34033/Acp33A/CG2111/nec/CG30062/CG9525/CG31207/CG33127/Spn47C/CG5267/CG9822/Loxl2/Obp56f/CG17097/CG34448/CG8072/fj/Def/Mip/CG10730/Fst",95,"male","down"
"MF","GO:0016491","oxidoreductase activity","77/403","414/7037",0.185990338164251,3.24767744332962,11.6180832772092,1.39449069651883e-21,5.06200122836334e-19,4.35961828280096e-19,"Cyp4g1/CG15531/FarO/AOX1/PH4alphaNE2/CG8630/ry/CG17560/PH4alphaSG1/Cyp304a1/CG32199/CG18233/Cyp4d20/Qsox3/Cat/CG6142/CG32201/CG15864/Cyp6a20/Qsox4/Qsox2/CG18234/Cyp4p3/Cyp6a9/CG7966/Cyp4s3/su(r)/Sod3/Ldsdh1/CG12171/Cyp12a4/Had2/CG31021/Cyp6a21/Sod1/Cyp301a1/CG10863/CG11828/Cyp6a2/Cyp309a2/GstE7/ND4L/FASN2/Sc2/Gpxl/Cyp318a1/PPO1/CG9519/Cyp9f2/PH4alphaNE3/CG13833/CG11162/Dhrs4/Rdh1/ND2/hgo/Cyp6d2/Cyp6d5/Cyp9h1/CG3397/Cyp28d1/CG18231/Loxl2/CG12539/CG9522/CG9436/RnrS/Cyp4c3/CG7430/ND6/Clic/CG42331/Cyp313a4/GILT3/Cyp309a1/RnrL/CG18814",77,"male","down"
"MF","GO:0005506","iron ion binding","36/403","118/7037",0.305084745762712,5.32724902216428,11.6831225348638,1.49787026570638e-17,2.71863453225709e-15,2.34140773113051e-15,"Cyp4g1/CG15531/AOX1/PH4alphaNE2/CG8630/ry/PH4alphaSG1/Cyp304a1/CG32199/CG18233/Cyp4d20/CG32201/CG15864/Cyp6a20/CG18234/Cyp4p3/Cyp6a9/Cyp4s3/Cyp12a4/Cyp6a21/Cyp301a1/CG11828/Cyp6a2/Cyp309a2/Cyp318a1/Cyp9f2/PH4alphaNE3/CG11162/Cyp6d2/Cyp6d5/Cyp9h1/Cyp28d1/CG18231/Cyp4c3/Cyp313a4/Cyp309a1",36,"male","down"
"MF","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","36/403","120/7037",0.3,5.23846153846154,11.5416443231439,2.76063018942584e-17,3.34036252920527e-15,2.87686725003324e-15,"Cyp4g1/CG15531/PH4alphaNE2/CG8630/PH4alphaSG1/Cyp304a1/CG32199/CG18233/Cyp4d20/CG32201/CG15864/Cyp6a20/CG18234/Cyp4p3/Cyp6a9/Cyp4s3/Cyp12a4/CG31021/Cyp6a21/Cyp301a1/CG11828/Cyp6a2/Cyp309a2/Cyp318a1/PPO1/Cyp9f2/PH4alphaNE3/CG11162/Cyp6d2/Cyp6d5/Cyp9h1/Cyp28d1/CG18231/Cyp4c3/Cyp313a4/Cyp309a1",36,"male","down"
"MF","GO:0048029","monosaccharide binding","18/403","37/7037",0.486486486486487,8.49480249480249,11.2652216092991,1.95751816216768e-13,1.77644773216717e-11,1.52995498464158e-11,"lectin-46Ca/PH4alphaNE2/Acp29AB/lectin-46Cb/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/lectin-30A/lectin-29Ca/Hex-C/CG11828/lectin-21Ca/PH4alphaNE3/CG18231/lectin-24Db",18,"male","down"
"MF","GO:0004497","monooxygenase activity","23/403","85/7037",0.270588235294118,4.72488687782805,8.51521021928469,1.87167522547322e-10,1.35883621369356e-08,1.17028956203273e-08,"Cyp4g1/Cyp304a1/Cyp4d20/Cyp6a20/Cyp4p3/Cyp6a9/Cyp4s3/Cyp12a4/Cyp6a21/Cyp301a1/Cyp6a2/Cyp309a2/Cyp318a1/PPO1/Cyp9f2/CG11162/Cyp6d2/Cyp6d5/Cyp9h1/Cyp28d1/Cyp4c3/Cyp313a4/Cyp309a1",23,"male","down"
"MF","GO:0004656","procollagen-proline 4-dioxygenase activity","11/403","18/7037",0.611111111111111,10.6709401709402,10.1250000203986,4.20705615996857e-10,2.18165912295513e-08,1.87894087144461e-08,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/CG31021/CG11828/PH4alphaNE3/CG18231",11,"male","down"
"MF","GO:0019798","procollagen-proline dioxygenase activity","11/403","18/7037",0.611111111111111,10.6709401709402,10.1250000203986,4.20705615996857e-10,2.18165912295513e-08,1.87894087144461e-08,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/CG31021/CG11828/PH4alphaNE3/CG18231",11,"male","down"
"MF","GO:0031545","peptidyl-proline 4-dioxygenase activity","11/403","19/7037",0.578947368421053,10.1093117408907,9.79903679116923,9.48165804158096e-10,4.30230233636736e-08,3.70533215572309e-08,"PH4alphaNE2/PH4alphaSG1/CG32199/CG18233/CG32201/CG15864/CG18234/CG31021/CG11828/PH4alphaNE3/CG18231",11,"male","down"
