"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","sex","direction"
"BP","GO:0007018","microtubule-based movement","16/333","129/7230",0.124031007751938,2.69292548362316,4.26288932485591,0.000264228036711656,0.296992313263902,0.296992313263902,"Rsph4a/Mst84Dd/CG10834/Zmynd10/CG17118/CG34274/kl-5/CG31275/CG13202/Sdic4/neb/CG10822/robl37BC/CG14339/Mis12/CG10859",16,"male","up"
"BP","GO:0003341","cilium movement","9/333","55/7230",0.163636363636364,3.55282555282555,4.1756361282061,0.000814659135194486,0.457838433979301,0.457838433979301,"Rsph4a/Mst84Dd/Zmynd10/CG17118/CG34274/kl-5/CG13202/CG14339/CG10859",9,"male","up"
"BP","GO:0010171","body morphogenesis","5/333","20/7230",0.25,5.42792792792793,4.35691437512459,0.00175839759154115,0.509946380123129,0.509946380123129,"TwdlD/TwdlM/TwdlP/TwdlG/TwdlO",5,"male","up"
"BP","GO:0060271","cilium assembly","12/333","103/7230",0.116504854368932,2.52951981107321,3.4351954798566,0.00261799649292144,0.509946380123129,0.509946380123129,"CG13032/CG13693/Rsph4a/Mst84Dd/Zmynd10/CG17118/CG34274/CG13202/CG14339/tilB/CG10859/Cc2d2a",12,"male","up"
"BP","GO:0001539","cilium or flagellum-dependent cell motility","7/333","42/7230",0.166666666666667,3.61861861861862,3.73958990331126,0.00276463897798782,0.509946380123129,0.509946380123129,"Rsph4a/Mst84Dd/Zmynd10/CG17118/CG34274/kl-5/tilB",7,"male","up"
"BP","GO:0060285","cilium-dependent cell motility","7/333","42/7230",0.166666666666667,3.61861861861862,3.73958990331126,0.00276463897798782,0.509946380123129,0.509946380123129,"Rsph4a/Mst84Dd/Zmynd10/CG17118/CG34274/kl-5/tilB",7,"male","up"
"BP","GO:0070286","axonemal dynein complex assembly","5/333","23/7230",0.217391304347826,4.71993732863298,3.9260280334058,0.00340629863778449,0.509946380123129,0.509946380123129,"Zmynd10/CG34274/CG13202/tilB/CG10859",5,"male","up"
"BP","GO:0035082","axoneme assembly","7/333","44/7230",0.159090909090909,3.45413595413595,3.58766980971736,0.00362951160229985,0.509946380123129,0.509946380123129,"Rsph4a/Mst84Dd/Zmynd10/CG34274/CG13202/tilB/CG10859",7,"male","up"
"BP","GO:0060294","cilium movement involved in cell motility","6/333","37/7230",0.162162162162162,3.52081811541271,3.37767966454289,0.00632584722289948,0.725325530469588,0.725325530469588,"Rsph4a/Mst84Dd/Zmynd10/CG17118/CG34274/kl-5",6,"male","up"
"BP","GO:0044782","cilium organization","12/333","115/7230",0.104347826086957,2.26556991774383,3.00592906208253,0.00645307411449812,0.725325530469588,0.725325530469588,"CG13032/CG13693/Rsph4a/Mst84Dd/Zmynd10/CG17118/CG34274/CG13202/CG14339/tilB/CG10859/Cc2d2a",12,"male","up"
"BP","GO:0001578","microtubule bundle formation","7/333","50/7230",0.14,3.03963963963964,3.17985516921963,0.00747499835603426,0.763808922925682,0.763808922925682,"Rsph4a/Mst84Dd/Zmynd10/CG34274/CG13202/tilB/CG10859",7,"male","up"
"BP","GO:0040003","chitin-based cuticle development","12/333","127/7230",0.094488188976378,2.05150031921685,2.62676655556775,0.0137827337462187,0.999999986064185,0.999999986064185,"Cpr47Ec/Cpr47Eb/Pcp/TwdlD/TwdlM/Cpr72Ea/TwdlP/TwdlG/dib/TwdlE/Cpr49Ah/TwdlO",12,"male","up"
