gene,Sample,count,Genotype,Sex,PaletteGroup
timeout,CSF1,1158.76605407497,dMIC60-CS,Female,Female | dMIC60-CS
timeout,CSF2,1157.73468533042,dMIC60-CS,Female,Female | dMIC60-CS
timeout,CSF3,1050.52492673616,dMIC60-CS,Female,Female | dMIC60-CS
timeout,WRF1,92.6323044542768,dMIC60-WT,Female,Female | dMIC60-WT
timeout,WRF2,70.7721165778085,dMIC60-WT,Female,Female | dMIC60-WT
timeout,WRF3,52.338816890029,dMIC60-WT,Female,Female | dMIC60-WT
ImpL2,CSF1,1065.0276641584,dMIC60-CS,Female,Female | dMIC60-CS
ImpL2,CSF2,1245.51185620543,dMIC60-CS,Female,Female | dMIC60-CS
ImpL2,CSF3,1238.15548283624,dMIC60-CS,Female,Female | dMIC60-CS
ImpL2,WRF1,639.831381282118,dMIC60-WT,Female,Female | dMIC60-WT
ImpL2,WRF2,663.616803273074,dMIC60-WT,Female,Female | dMIC60-WT
ImpL2,WRF3,535.466357413373,dMIC60-WT,Female,Female | dMIC60-WT
DNAlig3,CSF1,646.196560275886,dMIC60-CS,Female,Female | dMIC60-CS
DNAlig3,CSF2,682.813992385618,dMIC60-CS,Female,Female | dMIC60-CS
DNAlig3,CSF3,594.850719064536,dMIC60-CS,Female,Female | dMIC60-CS
DNAlig3,WRF1,308.456024110633,dMIC60-WT,Female,Female | dMIC60-WT
DNAlig3,WRF2,313.858951779846,dMIC60-WT,Female,Female | dMIC60-WT
DNAlig3,WRF3,345.234888332306,dMIC60-WT,Female,Female | dMIC60-WT
