"dose_mM","genotype","mean","sd","sem","well_n","culture_preparations"
0,"WT",100,4.34017459012178,1.44672486337393,9,2
5,"WT",48.2351093621418,5.6394816921974,2.30230875994184,6,1
10,"WT",45.2936241830053,4.83085371461071,1.97218777047083,6,1
20,"WT",29.2896707117024,4.9981592438288,1.66605308127627,9,2
40,"WT",14.7525289292045,5.053794374236,1.68459812474533,9,2
0,"CS",100,11.5213469713565,3.84044899045215,9,2
5,"CS",61.8951959248253,7.0972587064545,2.89744373388982,6,1
10,"CS",59.4185849663046,3.23065406380863,1.31890899863001,6,1
20,"CS",43.1054635307287,5.1859951575602,1.72866505252007,9,2
40,"CS",20.9223280390257,5.92359276152404,1.97453092050801,9,2
