,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
CG15387,785.980807262345,-3.1653528230453,0.16074484098982,-19.6917848408321,2.53594803862242e-86,2.45860162344444e-82,CG15387
timeout,540.047481753791,3.19050999916057,0.174959082536909,18.235749484383,2.68547365541223e-74,1.30178335446108e-70,timeout
Tina-1,259.278872983746,-4.37652159594741,0.2882238423431,-15.184453723081,4.48282242666067e-52,1.44869878088251e-48,Tina-1
CG13326,1986.5456412438,-2.01817367375959,0.142678170741112,-14.1449365609091,2.00697557431053e-45,4.86440704823515e-42,CG13326
CG31870,299.287648195037,-8.10847645288267,0.577602400807144,-14.0381626557505,9.10425066333076e-45,1.76531420361983e-41,CG31870
CG30008,562.146689137597,-2.26758869405885,0.17394122699156,-13.0365223545818,7.58380448122976e-39,1.22541640742538e-35,CG30008
sau,150.677006555129,-6.58748071849656,0.511218395695062,-12.8858444335519,5.40803087074119e-38,7.49012275597655e-35,sau
Bin1,486.313924330179,-2.68824174850067,0.215169039110058,-12.4936271483075,8.08804159278088e-36,9.80169540525133e-33,Bin1
Cyp4g1,26277.6098421682,-1.46162378698581,0.120350432419579,-12.1447323254323,6.11824931398149e-34,6.59071412211672e-31,Cyp4g1
asRNA:CR44114,203.86185173816,-8.04452633518285,0.67836515352522,-11.8586962985618,1.9397177530365e-32,1.88055636156888e-29,asRNA:CR44114
LysD,283.173332101466,-3.04099539788838,0.263160767429616,-11.5556563677438,6.91173678087885e-31,6.09175346278368e-28,LysD
CG15531,1416.53162035181,-1.71128002400646,0.148707315394009,-11.5077057202756,1.20645377422956e-30,9.74714111762968e-28,CG15531
beat-IIIc,534.544459477042,-2.26525701170232,0.206286705872143,-10.9811100144589,4.71099206725307e-28,3.51331293015527e-25,beat-IIIc
CG9458,352.135433435688,-2.60522793460745,0.239553415540102,-10.8753529092192,1.51070037564262e-27,1.04616001013252e-24,CG9458
CG18628,196.824343263346,-3.358836486453,0.311246287019147,-10.7915712621702,3.77283156180625e-27,2.43850679944744e-24,CG18628
Paip2,890.113245033103,-1.78969196368922,0.169159380612662,-10.5799155636969,3.69290873380727e-26,2.23767188589134e-23,Paip2
lectin-46Ca,388.478545254694,-2.01837347750798,0.191529154896641,-10.5382048941697,5.75876042397757e-26,3.28418719473309e-23,lectin-46Ca
Ance-2,789.131085741143,-1.90583412176945,0.183098425345915,-10.4087958056924,2.26063023669791e-25,1.21760056359923e-22,Ance-2
Vha16-1,87.9056252490437,-3.96670715913937,0.386145182456942,-10.2725796911417,9.36659234345337e-25,4.77942698788318e-22,Vha16-1
FarO,852.52075764503,-1.62960007584428,0.158963469977478,-10.2514123280975,1.16626801001318e-24,5.65348417853887e-22,FarO
CG11893,146.277050287552,2.57498028209455,0.254124680650176,10.1327437992504,3.95395787447516e-24,1.82541055204936e-21,CG11893
CG10029,100.219901665685,-6.32399655153631,0.632881775162641,-9.99238214737838,1.64578292506941e-23,7.25266611752178e-21,CG10029
AOX1,719.812884985649,-1.57060827744031,0.158008087753208,-9.94004990360639,2.78687490546754e-23,1.17472835689164e-20,AOX1
Arc1,8244.11228709792,-1.38737233074227,0.145649417296134,-9.52542314619402,1.64370900516307e-21,6.63989950210665e-19,Arc1
CG18609,458.442905765261,-1.77698506366365,0.186682292618925,-9.51876602078704,1.75247582441738e-21,6.79610124709062e-19,CG18609
CG42650,360.591961152293,1.74130684314766,0.183844480009447,9.47162973322989,2.75511087403061e-21,1.02733845860488e-18,CG42650
CG32985,140.299083126629,-2.57494319243515,0.275993993633908,-9.32970735533716,1.06163622897917e-20,3.81206045924186e-18,CG32985
Mst57Dc,101.378396559763,-4.29352430155346,0.46082338105961,-9.3170713076255,1.19595843518209e-20,4.14100608181798e-18,Mst57Dc
BG642167,175.163539192857,-2.43461513909167,0.26391858356796,-9.2248719517121,2.83899905254423e-20,9.49106752221253e-18,BG642167
