"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","direction"
"timeout",540.047481753791,3.19050999916057,0.174959082536909,18.235749484383,2.68547365541223e-74,1.30178335446108e-70,"timeout","up"
"CG11893",146.277050287552,2.57498028209455,0.254124680650176,10.1327437992504,3.95395787447516e-24,1.82541055204936e-21,"CG11893","up"
"CG42650",360.591961152293,1.74130684314766,0.183844480009447,9.47162973322989,2.75511087403061e-21,1.02733845860488e-18,"CG42650","up"
"asRNA:CR44370",101.819451169847,2.56462218580978,0.297137351875786,8.63109995973135,6.07647496605059e-18,1.59220067015839e-15,"asRNA:CR44370","up"
"CG34296",84.5763859632079,3.17937922094268,0.372865811161806,8.52687247199231,1.50357470902926e-17,3.78741870837006e-15,"CG34296","up"
"CG12896",201.844761373754,1.89616482000599,0.227761544864395,8.32521934787074,8.4172732303688e-17,1.8978014876378e-14,"CG12896","up"
"Drsl5",646.129211319785,1.53212093677976,0.200332752595585,7.64788042359047,2.04319072305361e-14,3.66828408518606e-12,"Drsl5","up"
"ImpE2",219.958761190316,2.07284250446818,0.275057746152651,7.53602664699287,4.84507619395858e-14,8.54054794553245e-12,"ImpE2","up"
"Cpr47Ec",61.3583542283916,3.66044470389138,0.493016312221821,7.42459146512874,1.13128545223245e-13,1.92417762445502e-11,"Cpr47Ec","up"
"CG4477",379.170357217433,1.24201999913687,0.167714838635239,7.40554627869348,1.30611679866906e-13,2.14623768866042e-11,"CG4477","up"
"CG43760",122.626324465468,1.8607439365155,0.25136061952425,7.40268678537364,1.33456277812835e-13,2.15643102232573e-11,"CG43760","up"
"lncRNA:CR44344",51.5008701826515,9.05382732892809,1.23179860562342,7.35008733375366,1.98077391896501e-13,3.09735534586544e-11,"lncRNA:CR44344","up"
"dyl",159.230302077436,2.38823990526569,0.32576348541422,7.3312081070994,2.28087154423456e-13,3.5100078764054e-11,"dyl","up"
"CG13898",1582.09434560951,1.02992033779024,0.147047093816056,7.00401695172965,2.48725999460776e-12,3.39633600672144e-10,"CG13898","up"
"lncRNA:CR44922",460.450002292363,1.33467773440567,0.192363748860699,6.93830174505582,3.9684139753065e-12,5.34357965147174e-10,"lncRNA:CR44922","up"
"CG14676",692.186750858974,1.18930090039365,0.172271756230772,6.9036325304566,5.06893210170974e-12,6.73195845562684e-10,"CG14676","up"
"lncRNA:CR46123",37.2612401333934,8.58651496072811,1.25480080522457,6.84293070659244,7.75891886535283e-12,9.89772610520996e-10,"lncRNA:CR46123","up"
"CG13843",389.281643914345,1.25300341182774,0.184267145619945,6.79992848216193,1.04671099216962e-11,1.30100808578006e-09,"CG13843","up"
"ccb",707.975901508554,1.02200376523649,0.150885553080026,6.77337057375167,1.25816132522387e-11,1.46962337928259e-09,"ccb","up"
"GstD3",349.335706859358,1.33174582662269,0.196612626875205,6.7734501480822,1.25746918243025e-11,1.46962337928259e-09,"GstD3","up"
"ImpL2",1142.81962231503,1.0551861415783,0.155888203918238,6.7688645776671,1.29796960687911e-11,1.49807325460631e-09,"ImpL2","up"
"CG9777",321.393979369097,1.21511466507066,0.182475394228112,6.65906036378608,2.75583741418829e-11,3.10672601518087e-09,"CG9777","up"
"CG6333",77.1507170355215,2.1520292498851,0.324065989527922,6.64071306285498,3.12169224903169e-11,3.43918254026843e-09,"CG6333","up"
"lncRNA:CR45981",58.6782214282678,2.33349288439421,0.359868568042403,6.48429202107825,8.91494055072107e-11,9.39460311296095e-09,"lncRNA:CR45981","up"
"Hsp70Bb",505.746127201773,1.21004887205382,0.191291385342391,6.32568408602384,2.52113143807319e-10,2.39631071491368e-08,"Hsp70Bb","up"
"lncRNA:CR44131",158.792705547927,1.39292281381009,0.220200261699997,6.32570916608547,2.52072194751375e-10,2.39631071491368e-08,"lncRNA:CR44131","up"
"lncRNA:CR45191",35.6016416621566,2.82836404116097,0.460148975233999,6.1466268391072,7.91480352105748e-10,7.3080019177764e-08,"lncRNA:CR45191","up"
"CG43106",211.67340512906,1.27484432804334,0.207836802484865,6.13387192644179,8.57655734579532e-10,7.84431353466845e-08,"CG43106","up"
"CG17999",126.992926854205,1.7459459527758,0.284919518624293,6.12785660036888,8.90708059035897e-10,8.07048096481591e-08,"CG17999","up"
"ND-24L",399.204855362193,1.01990104900426,0.167063370698756,6.1048753220915,1.02880959394132e-09,9.23547130857508e-08,"ND-24L","up"
"CG15387",785.980807262345,-3.1653528230453,0.16074484098982,-19.6917848408321,2.53594803862242e-86,2.45860162344444e-82,"CG15387","down"
"Tina-1",259.278872983746,-4.37652159594741,0.2882238423431,-15.184453723081,4.48282242666067e-52,1.44869878088251e-48,"Tina-1","down"
"CG13326",1986.5456412438,-2.01817367375959,0.142678170741112,-14.1449365609091,2.00697557431053e-45,4.86440704823515e-42,"CG13326","down"
"CG31870",299.287648195037,-8.10847645288267,0.577602400807144,-14.0381626557505,9.10425066333076e-45,1.76531420361983e-41,"CG31870","down"
"CG30008",562.146689137597,-2.26758869405885,0.17394122699156,-13.0365223545818,7.58380448122976e-39,1.22541640742538e-35,"CG30008","down"
"sau",150.677006555129,-6.58748071849656,0.511218395695062,-12.8858444335519,5.40803087074119e-38,7.49012275597655e-35,"sau","down"
"Bin1",486.313924330179,-2.68824174850067,0.215169039110058,-12.4936271483075,8.08804159278088e-36,9.80169540525133e-33,"Bin1","down"
"Cyp4g1",26277.6098421682,-1.46162378698581,0.120350432419579,-12.1447323254323,6.11824931398149e-34,6.59071412211672e-31,"Cyp4g1","down"
"asRNA:CR44114",203.86185173816,-8.04452633518285,0.67836515352522,-11.8586962985618,1.9397177530365e-32,1.88055636156888e-29,"asRNA:CR44114","down"
"LysD",283.173332101466,-3.04099539788838,0.263160767429616,-11.5556563677438,6.91173678087885e-31,6.09175346278368e-28,"LysD","down"
"CG15531",1416.53162035181,-1.71128002400646,0.148707315394009,-11.5077057202756,1.20645377422956e-30,9.74714111762968e-28,"CG15531","down"
"beat-IIIc",534.544459477042,-2.26525701170232,0.206286705872143,-10.9811100144589,4.71099206725307e-28,3.51331293015527e-25,"beat-IIIc","down"
"CG9458",352.135433435688,-2.60522793460745,0.239553415540102,-10.8753529092192,1.51070037564262e-27,1.04616001013252e-24,"CG9458","down"
"CG18628",196.824343263346,-3.358836486453,0.311246287019147,-10.7915712621702,3.77283156180625e-27,2.43850679944744e-24,"CG18628","down"
"Paip2",890.113245033103,-1.78969196368922,0.169159380612662,-10.5799155636969,3.69290873380727e-26,2.23767188589134e-23,"Paip2","down"
"lectin-46Ca",388.478545254694,-2.01837347750798,0.191529154896641,-10.5382048941697,5.75876042397757e-26,3.28418719473309e-23,"lectin-46Ca","down"
"Ance-2",789.131085741143,-1.90583412176945,0.183098425345915,-10.4087958056924,2.26063023669791e-25,1.21760056359923e-22,"Ance-2","down"
"Vha16-1",87.9056252490437,-3.96670715913937,0.386145182456942,-10.2725796911417,9.36659234345337e-25,4.77942698788318e-22,"Vha16-1","down"
"FarO",852.52075764503,-1.62960007584428,0.158963469977478,-10.2514123280975,1.16626801001318e-24,5.65348417853887e-22,"FarO","down"
"CG10029",100.219901665685,-6.32399655153631,0.632881775162641,-9.99238214737838,1.64578292506941e-23,7.25266611752178e-21,"CG10029","down"
"AOX1",719.812884985649,-1.57060827744031,0.158008087753208,-9.94004990360639,2.78687490546754e-23,1.17472835689164e-20,"AOX1","down"
"Arc1",8244.11228709792,-1.38737233074227,0.145649417296134,-9.52542314619402,1.64370900516307e-21,6.63989950210665e-19,"Arc1","down"
"CG18609",458.442905765261,-1.77698506366365,0.186682292618925,-9.51876602078704,1.75247582441738e-21,6.79610124709062e-19,"CG18609","down"
"CG32985",140.299083126629,-2.57494319243515,0.275993993633908,-9.32970735533716,1.06163622897917e-20,3.81206045924186e-18,"CG32985","down"
"Mst57Dc",101.378396559763,-4.29352430155346,0.46082338105961,-9.3170713076255,1.19595843518209e-20,4.14100608181798e-18,"Mst57Dc","down"
"BG642167",175.163539192857,-2.43461513909167,0.26391858356796,-9.2248719517121,2.83899905254423e-20,9.49106752221253e-18,"BG642167","down"
"PH4alphaNE2",105.048785967232,-3.07324729436018,0.334774370392678,-9.18005548260871,4.30869371283675e-20,1.39242618486508e-17,"PH4alphaNE2","down"
"CG31419",53.0842583425908,-5.07353231719918,0.564765198219181,-8.98343653822341,2.62438849761694e-19,8.20756338206331e-17,"CG31419","down"
"CG8630",4346.09960867416,-1.2117119143733,0.134958491667834,-8.97840439233433,2.74721708298181e-19,8.32320925609646e-17,"CG8630","down"
"CG6149",67.1438346985476,-4.55079591143289,0.511690560306597,-8.89364835791796,5.91346225965035e-19,1.73730353355485e-16,"CG6149","down"
