human_entrez,human_symbol,fly_entrez,flybase_id,fly_symbol,diopt_score,max_score,best_forward,best_reverse,confidence,retained,methods,display_column,component_group,kegg_node_ids,grouping_rationale,grouping_reference,annotation_scope
10000,AKT3,41957,FBgn0010379,Akt,12,13,True,True,high,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL,1,Upstream signalling,12,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
10488,CREB3,39682,FBgn0004396,CrebA,4,13,True,False,moderate,True,Compara;eggNOG;OrthoDB;orthoMCL,4,Transcriptional regulators,229,"Human transcription factors, coactivators and the SIRT1 regulator represented in the pathway.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
10645,CAMKK2,4379919,FBgn0040056,CG17698,9,13,True,False,moderate,True,Domainoid;eggNOG;Inparanoid;OrthoDB;OrthoFinder;OrthoInspector;Phylome;SonicParanoid;orthoMCL,1,Upstream signalling,53;178,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1080,CFTR,37428,FBgn0034612,CG10505,5,13,True,False,moderate,True,Compara;Domainoid;eggNOG;Panther;orthoMCL,2,CFTR-related proteins,192,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1080,CFTR,43450,FBgn0039644,rdog,5,13,True,False,moderate,True,Compara;Domainoid;eggNOG;Panther;orthoMCL,2,CFTR-related proteins,192,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1080,CFTR,43451,FBgn0039645,CG11898,5,13,True,False,moderate,True,Compara;Domainoid;eggNOG;Panther;orthoMCL,2,CFTR-related proteins,192,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1080,CFTR,41387,FBgn0263316,Mrp4,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL,2,CFTR-related proteins,192,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1080,CFTR,34148,FBgn0032026,CG7627,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL,2,CFTR-related proteins,192,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1080,CFTR,42362,FBgn0038740,Mrp5,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL,2,CFTR-related proteins,192,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1080,CFTR,47905,FBgn0010549,l(2)03659,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL,2,CFTR-related proteins,192,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
1080,CFTR,35366,FBgn0032908,CG9270,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL,2,CFTR-related proteins,192,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,Human-source role or protein family; fly role inferred by orthology
