Fig3.ai 1843: widths 24.0000,24.0000; centers 242.07786633967,279.07786633967
Fig3.ai 525: widths 24.0000,24.0000,24.0000,24.0000; centers 363.917229576204,400.917229576204,459.269794717407,496.269794717407
Fig3.ai 2078: widths 24.0000,24.0000; centers 242.07786633967,279.07786633967
Fig3.ai 1048: widths 24.0000,24.0000,24.0000,24.0000; centers 363.917224758212,400.917224758212,459.269780537816,496.269780537816
Fig3.ai 1464: widths 24.0000,24.0000; centers 176.96126430867,213.96126430867
Fig3.ai 1534: widths 24.0000,24.0000; centers 12.6000000000004,99.3999999999996
Fig3.ai 1645: widths 24.0000,24.0000; centers 204.6,291.4
Fig3.ai 1753: widths 24.0000,24.0000; centers 396.6,483.4
Fig3.ai 7293: widths 24.0000,24.0000; centers 358.379999999999,472.620000000001
Fig2.ai 808: widths 24.0000,24.0000; centers 473.879999999999,560.120000000001
Fig2.ai 808: widths 24.0000,24.0000; centers 282.88,369.120000000001
Fig2.ai 808: widths 24.0000,24.0000; centers 91.8800000000001,178.12
FigS4.ai 436: widths 24.0000,24.0000; centers 450.48,553.52
Fig4.ai 383: widths 24.0000,24.0000,24.0000,24.0000; centers 91.8800000000001,145.12,212.88,266.12
FigS1.ai 502: widths 24.0000,24.0000; centers 251.943679084722,289.137396405482
