"sample","label","group","PC1","PC2","MDS1","MDS2"
"CSF1","CS-F1","CS_F",-116.573514347502,13.1549406118361,-116.573514347501,-13.1549406118417
"CSF2","CS-F2","CS_F",-126.838258705185,10.5366520553252,-126.838258705186,-10.5366520553246
"CSF3","CS-F3","CS_F",-45.187122636814,7.54513564328548,-45.1871226368131,-7.54513564328852
"CSM1","CS-M1","CS_M",123.4984493832,34.6570617985656,123.4984493832,-34.6570617985646
"CSM2","CS-M2","CS_M",121.449269114193,41.4312337556878,121.449269114194,-41.4312337556873
"CSM3","CS-M3","CS_M",126.615481734087,36.0177729806646,126.615481734087,-36.0177729806633
"WRF1","WT-F1","WT_F",-128.790016304255,-1.27455521308811,-128.790016304254,1.27455521309036
"WRF2","WT-F2","WT_F",-129.858497909883,-7.24617755851308,-129.858497909883,7.24617755851369
"WRF3","WT-F3","WT_F",-119.094527226982,-7.58073904839536,-119.094527226982,7.58073904839575
"WRM1","WT-M1","WT_M",104.62885592412,-51.3444993754789,104.62885592412,51.344499375479
"WRM2","WT-M2","WT_M",91.4526608359671,-26.7216783328303,91.452660835965,26.7216783328308
"WRM3","WT-M3","WT_M",98.697220139054,-49.1751473170594,98.6972201390537,49.1751473170598
