"queryIndex","queryItem","stringId","ncbiTaxonId","taxonName","preferredName","annotation","gene"
0,"Ance-2","7227.FBpp0080131",7227,"Drosophila melanogaster","Ance-2","Angiotensin-converting enzyme; Peptidyl-dipeptidase activity; metallopeptidase activity. It is involved in the biological process described with: proteolysis.","Ance-2"
1,"ATP8","7227.FBpp0100178",7227,"Drosophila melanogaster","mt:ATPase8","ATP synthase protein 8; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subuni [...] ","ATP8"
2,"ATPsynG","7227.FBpp0297136",7227,"Drosophila melanogaster","ATPsynG","ATP synthase subunit; Mitochondrial membrane ATP synthase (F1F0 ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F1 - containing the extramembraneous catalytic core, and F0 - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F1 is coupled via a rotary mechanism of the central stalk subunits to proto [...] ","ATPsynG"
3,"AttC","7227.FBpp0297062",7227,"Drosophila melanogaster","AttC","Immune-induced peptide 16; Attacin-C (AttC) encodes an immune inducible peptide that shows homology to antibacterial peptides having activity against Gram-negative bacteria; Belongs to the attacin/sarcotoxin-2 family.","AttC"
4,"AttD","7227.FBpp0082908",7227,"Drosophila melanogaster","AttD","Attacin-D (AttD) encodes is an immune inducible peptide that shows homology to antibacterial peptides having activity against Gram-negative bacteria.","AttD"
5,"BomBc1","7227.FBpp0085908",7227,"Drosophila melanogaster","BomBc1","Bomanin-23; Secreted immune-induced peptide induced by Toll signaling. Has a role in resistance to bacterial and fungal infections. Belongs to the bomanin family.","BomBc1"
6,"BomS1","7227.FBpp0085843",7227,"Drosophila melanogaster","BomS1","Bomanin-1; Secreted immune-induced peptide induced by Toll signaling. Has a role in resistance to bacterial and fungal infections. Has no activity against the fungus C.glabrata in vitro.","BomS1"
7,"CG10031","7227.FBpp0077233",7227,"Drosophila melanogaster","CG10031","BPTI/Kunitz inhibitor domain-containing protein; Serine-type endopeptidase inhibitor activity.","CG10031"
8,"CG10962","7227.FBpp0071206",7227,"Drosophila melanogaster","CG10962","FI06485p; 17-beta-ketosteroid reductase activity; estradiol 17-beta-dehydrogenase activity; 3-keto sterol reductase activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; Belongs to the short-chain dehydrogenases/reductases (SDR) family.","CG10962"
9,"CG12224","7227.FBpp0423282",7227,"Drosophila melanogaster","CG12224","MIP04347p; Oxidoreductase activity.","CG12224"
10,"CG12780","7227.FBpp0087815",7227,"Drosophila melanogaster","CG12780","CG12780 protein; Carbohydrate binding. It is involved in the biological process described with: defense response to virus; detection of biotic stimulus.","CG12780"
11,"CG13559","7227.FBpp0071966",7227,"Drosophila melanogaster","CG13559","FI16602p1; It is involved in the biological process described with: positive regulation of hemocyte proliferation.","CG13559"
12,"CG14499","7227.FBpp0312614",7227,"Drosophila melanogaster","CG14499","C-type lectin domain-containing protein; Carbohydrate binding.","CG14499"
13,"CG14893","7227.FBpp0290087",7227,"Drosophila melanogaster","CG14893","Fatty acyl-CoA reductase; Catalyzes the reduction of fatty acyl-CoA to fatty alcohols.","CG14893"
14,"CG16713","7227.FBpp0077236",7227,"Drosophila melanogaster","CG16713","RH15675p; Serine-type endopeptidase inhibitor activity.","CG16713"
15,"CG32026","7227.FBpp0076311",7227,"Drosophila melanogaster","CG32026","GH12815p; Magnesium ion binding; NAD binding; isocitrate dehydrogenase (NAD+) activity. It is involved in the biological process described with: tricarboxylic acid cycle; isocitrate metabolic process.","CG32026"
16,"CG40485","7227.FBpp0110515",7227,"Drosophila melanogaster","CG40485","RH03309p; Estradiol 17-beta-dehydrogenase activity; 17-beta-ketosteroid reductase activity; 3-keto sterol reductase activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; Belongs to the short-chain dehydrogenases/reductases (SDR) family.","CG40485"
