"GO_ID","GO_term","GO_padj","collapsed_program","gene","direction","log2FoldChange","padj"
"GO:0098800","inner mitochondrial membrane protein complex",0.00969849154922986,"Mitochondrial membrane / transport","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0098800","inner mitochondrial membrane protein complex",0.00969849154922986,"Mitochondrial membrane / transport","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0098800","inner mitochondrial membrane protein complex",0.00969849154922986,"Mitochondrial membrane / transport","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0098800","inner mitochondrial membrane protein complex",0.00969849154922986,"Mitochondrial membrane / transport","knon","Upregulated",7.60321371078838,0.0043172536847864
"GO:0098800","inner mitochondrial membrane protein complex",0.00969849154922986,"Mitochondrial membrane / transport","ATPsynG","Upregulated",5.85383354107608,0.018050161984474
"GO:0098800","inner mitochondrial membrane protein complex",0.00969849154922986,"Mitochondrial membrane / transport","ATP8","Upregulated",2.43236618259867,0.0240568325656283
"GO:0005753","mitochondrial proton-transporting ATP synthase complex",0.00969849154922986,"ATP synthesis / proton transport","knon","Upregulated",7.60321371078838,0.0043172536847864
"GO:0005753","mitochondrial proton-transporting ATP synthase complex",0.00969849154922986,"ATP synthesis / proton transport","ATPsynG","Upregulated",5.85383354107608,0.018050161984474
"GO:0005753","mitochondrial proton-transporting ATP synthase complex",0.00969849154922986,"ATP synthesis / proton transport","ATP8","Upregulated",2.43236618259867,0.0240568325656283
"GO:0045259","proton-transporting ATP synthase complex",0.00969849154922986,"ATP synthesis / proton transport","knon","Upregulated",7.60321371078838,0.0043172536847864
"GO:0045259","proton-transporting ATP synthase complex",0.00969849154922986,"ATP synthesis / proton transport","ATPsynG","Upregulated",5.85383354107608,0.018050161984474
"GO:0045259","proton-transporting ATP synthase complex",0.00969849154922986,"ATP synthesis / proton transport","ATP8","Upregulated",2.43236618259867,0.0240568325656283
"GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain",0.0156549822026195,"ATP synthesis / proton transport","knon","Upregulated",7.60321371078838,0.0043172536847864
"GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain",0.0156549822026195,"ATP synthesis / proton transport","ATPsynG","Upregulated",5.85383354107608,0.018050161984474
"GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain",0.0156549822026195,"ATP synthesis / proton transport","ATP8","Upregulated",2.43236618259867,0.0240568325656283
"GO:1902495","transmembrane transporter complex",0.0218864480172829,"Mitochondrial membrane / transport","Nmdar1","Upregulated",2.49132020624968,1.25051185737966e-26
"GO:1902495","transmembrane transporter complex",0.0218864480172829,"Mitochondrial membrane / transport","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:1902495","transmembrane transporter complex",0.0218864480172829,"Mitochondrial membrane / transport","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:1902495","transmembrane transporter complex",0.0218864480172829,"Mitochondrial membrane / transport","Mdr65","Upregulated",0.786878635897797,9.99219369582883e-05
"GO:1902495","transmembrane transporter complex",0.0218864480172829,"Mitochondrial membrane / transport","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:1902495","transmembrane transporter complex",0.0218864480172829,"Mitochondrial membrane / transport","ort","Upregulated",1.28423158649456,0.00418630061877876
"GO:1990351","transporter complex",0.0249152102047628,"Mitochondrial membrane / transport","Nmdar1","Upregulated",2.49132020624968,1.25051185737966e-26
"GO:1990351","transporter complex",0.0249152102047628,"Mitochondrial membrane / transport","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:1990351","transporter complex",0.0249152102047628,"Mitochondrial membrane / transport","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:1990351","transporter complex",0.0249152102047628,"Mitochondrial membrane / transport","Mdr65","Upregulated",0.786878635897797,9.99219369582883e-05
"GO:1990351","transporter complex",0.0249152102047628,"Mitochondrial membrane / transport","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:1990351","transporter complex",0.0249152102047628,"Mitochondrial membrane / transport","ort","Upregulated",1.28423158649456,0.00418630061877876
"GO:0005743","mitochondrial inner membrane",0.0289518397845672,"Mitochondrial membrane / transport","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0005743","mitochondrial inner membrane",0.0289518397845672,"Mitochondrial membrane / transport","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0005743","mitochondrial inner membrane",0.0289518397845672,"Mitochondrial membrane / transport","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0005743","mitochondrial inner membrane",0.0289518397845672,"Mitochondrial membrane / transport","knon","Upregulated",7.60321371078838,0.0043172536847864
"GO:0005743","mitochondrial inner membrane",0.0289518397845672,"Mitochondrial membrane / transport","ATPsynG","Upregulated",5.85383354107608,0.018050161984474
"GO:0005743","mitochondrial inner membrane",0.0289518397845672,"Mitochondrial membrane / transport","ATP8","Upregulated",2.43236618259867,0.0240568325656283
"GO:0019866","organelle inner membrane",0.0289518397845672,"Mitochondrial membrane / transport","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0019866","organelle inner membrane",0.0289518397845672,"Mitochondrial membrane / transport","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0019866","organelle inner membrane",0.0289518397845672,"Mitochondrial membrane / transport","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0019866","organelle inner membrane",0.0289518397845672,"Mitochondrial membrane / transport","knon","Upregulated",7.60321371078838,0.0043172536847864
"GO:0019866","organelle inner membrane",0.0289518397845672,"Mitochondrial membrane / transport","ATPsynG","Upregulated",5.85383354107608,0.018050161984474
"GO:0019866","organelle inner membrane",0.0289518397845672,"Mitochondrial membrane / transport","ATP8","Upregulated",2.43236618259867,0.0240568325656283
"GO:0005777","peroxisome",0.0289518397845672,"Peroxisome / microbody","CG14893","Upregulated",2.3023744229898,5.29212429383357e-07
"GO:0005777","peroxisome",0.0289518397845672,"Peroxisome / microbody","CG9577","Upregulated",0.892030455706982,3.18264690073472e-06
"GO:0005777","peroxisome",0.0289518397845672,"Peroxisome / microbody","CG5122","Upregulated",6.98868906128901,0.018050161984474
"GO:0005777","peroxisome",0.0289518397845672,"Peroxisome / microbody","CG5265","Upregulated",6.783745235477,0.0352252037858784
"GO:0042579","microbody",0.0289518397845672,"Peroxisome / microbody","CG14893","Upregulated",2.3023744229898,5.29212429383357e-07
"GO:0042579","microbody",0.0289518397845672,"Peroxisome / microbody","CG9577","Upregulated",0.892030455706982,3.18264690073472e-06
"GO:0042579","microbody",0.0289518397845672,"Peroxisome / microbody","CG5122","Upregulated",6.98868906128901,0.018050161984474
"GO:0042579","microbody",0.0289518397845672,"Peroxisome / microbody","CG5265","Upregulated",6.783745235477,0.0352252037858784
"GO:0005747","mitochondrial respiratory chain complex I",0.0289518397845672,"Complex I / NADH dehydrogenase","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0005747","mitochondrial respiratory chain complex I",0.0289518397845672,"Complex I / NADH dehydrogenase","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0005747","mitochondrial respiratory chain complex I",0.0289518397845672,"Complex I / NADH dehydrogenase","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0016469","proton-transporting two-sector ATPase complex",0.0289518397845672,"ATP synthesis / proton transport","knon","Upregulated",7.60321371078838,0.0043172536847864
"GO:0016469","proton-transporting two-sector ATPase complex",0.0289518397845672,"ATP synthesis / proton transport","ATPsynG","Upregulated",5.85383354107608,0.018050161984474
"GO:0016469","proton-transporting two-sector ATPase complex",0.0289518397845672,"ATP synthesis / proton transport","ATP8","Upregulated",2.43236618259867,0.0240568325656283
"GO:0030964","NADH dehydrogenase complex",0.0289518397845672,"Complex I / NADH dehydrogenase","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0030964","NADH dehydrogenase complex",0.0289518397845672,"Complex I / NADH dehydrogenase","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0030964","NADH dehydrogenase complex",0.0289518397845672,"Complex I / NADH dehydrogenase","ND6","Upregulated",1.35519343284636,0.00173072368349273
