"from_id","to_id","from_preferred","to_preferred","combined_score","from_gene","to_gene"
"7227.FBpp0070006","7227.FBpp0082848","CG9577","CG5265",0.45,"CG9577","CG5265"
"7227.FBpp0070006","7227.FBpp0080012","CG9577","CG5122",0.647,"CG9577","CG5122"
"7227.FBpp0076376","7227.FBpp0100184","GstO1","mt:ND4L",0.506,"GstO1","ND4L"
"7227.FBpp0080012","7227.FBpp0082848","CG5122","CG5265",0.939,"CG5122","CG5265"
"7227.FBpp0086272","7227.FBpp0100178","knon","mt:ATPase8",0.44,"knon","ATP8"
"7227.FBpp0086272","7227.FBpp0297136","knon","ATPsynG",0.994,"knon","ATPsynG"
"7227.FBpp0100175","7227.FBpp0100178","mt:ND2","mt:ATPase8",0.601,"ND2","ATP8"
"7227.FBpp0100175","7227.FBpp0100185","mt:ND2","mt:ND6",0.896,"ND2","ND6"
"7227.FBpp0100175","7227.FBpp0100184","mt:ND2","mt:ND4L",0.999,"ND2","ND4L"
"7227.FBpp0100178","7227.FBpp0297136","mt:ATPase8","ATPsynG",0.44,"ATP8","ATPsynG"
"7227.FBpp0100178","7227.FBpp0100185","mt:ATPase8","mt:ND6",0.67,"ATP8","ND6"
"7227.FBpp0100178","7227.FBpp0100184","mt:ATPase8","mt:ND4L",0.79,"ATP8","ND4L"
"7227.FBpp0100184","7227.FBpp0100185","mt:ND4L","mt:ND6",0.761,"ND4L","ND6"
