"gene","Sample","count","Genotype","Sex","PaletteGroup"
"timeout","CSF1",1158.76605407497,"dMIC60-CS","Female","Female | dMIC60-CS"
"timeout","CSF2",1157.73468533042,"dMIC60-CS","Female","Female | dMIC60-CS"
"timeout","CSF3",1050.52492673616,"dMIC60-CS","Female","Female | dMIC60-CS"
"timeout","WRF1",92.6323044542768,"dMIC60-WT","Female","Female | dMIC60-WT"
"timeout","WRF2",70.7721165778085,"dMIC60-WT","Female","Female | dMIC60-WT"
"timeout","WRF3",52.338816890029,"dMIC60-WT","Female","Female | dMIC60-WT"
"ImpL2","CSF1",1065.0276641584,"dMIC60-CS","Female","Female | dMIC60-CS"
"ImpL2","CSF2",1245.51185620543,"dMIC60-CS","Female","Female | dMIC60-CS"
"ImpL2","CSF3",1238.15548283624,"dMIC60-CS","Female","Female | dMIC60-CS"
"ImpL2","WRF1",639.831381282118,"dMIC60-WT","Female","Female | dMIC60-WT"
"ImpL2","WRF2",663.616803273074,"dMIC60-WT","Female","Female | dMIC60-WT"
"ImpL2","WRF3",535.466357413373,"dMIC60-WT","Female","Female | dMIC60-WT"
"DNAlig3","CSF1",646.196560275886,"dMIC60-CS","Female","Female | dMIC60-CS"
"DNAlig3","CSF2",682.813992385618,"dMIC60-CS","Female","Female | dMIC60-CS"
"DNAlig3","CSF3",594.850719064536,"dMIC60-CS","Female","Female | dMIC60-CS"
"DNAlig3","WRF1",308.456024110633,"dMIC60-WT","Female","Female | dMIC60-WT"
"DNAlig3","WRF2",313.858951779846,"dMIC60-WT","Female","Female | dMIC60-WT"
"DNAlig3","WRF3",345.234888332306,"dMIC60-WT","Female","Female | dMIC60-WT"
"timeout","CSM1",936.823895102404,"dMIC60-CS","Male","Male | dMIC60-CS"
"timeout","CSM2",1054.35077629647,"dMIC60-CS","Male","Male | dMIC60-CS"
"timeout","CSM3",929.37676917757,"dMIC60-CS","Male","Male | dMIC60-CS"
"timeout","WRM1",116.570028650158,"dMIC60-WT","Male","Male | dMIC60-WT"
"timeout","WRM2",105.701426311559,"dMIC60-WT","Male","Male | dMIC60-WT"
"timeout","WRM3",97.4619949845802,"dMIC60-WT","Male","Male | dMIC60-WT"
"ImpL2","CSM1",1325.47529430897,"dMIC60-CS","Male","Male | dMIC60-CS"
"ImpL2","CSM2",1555.95422397483,"dMIC60-CS","Male","Male | dMIC60-CS"
"ImpL2","CSM3",1747.83334528874,"dMIC60-CS","Male","Male | dMIC60-CS"
"ImpL2","WRM1",710.114669942246,"dMIC60-WT","Male","Male | dMIC60-WT"
"ImpL2","WRM2",808.42016790137,"dMIC60-WT","Male","Male | dMIC60-WT"
"ImpL2","WRM3",709.120032474014,"dMIC60-WT","Male","Male | dMIC60-WT"
"DNAlig3","CSM1",652.586304637898,"dMIC60-CS","Male","Male | dMIC60-CS"
"DNAlig3","CSM2",564.549762681133,"dMIC60-CS","Male","Male | dMIC60-CS"
"DNAlig3","CSM3",579.810100119822,"dMIC60-CS","Male","Male | dMIC60-CS"
"DNAlig3","WRM1",361.474033795902,"dMIC60-WT","Male","Male | dMIC60-WT"
"DNAlig3","WRM2",354.295521525782,"dMIC60-WT","Male","Male | dMIC60-WT"
"DNAlig3","WRM3",365.202417988197,"dMIC60-WT","Male","Male | dMIC60-WT"
