"Label","Area","Mean","StdDev","Mode","Min","Max","X","Y","XM","YM","Perim.","BX","BY","Width","Height","Major","Minor","Angle","Circ.","Feret","IntDen","Median","Skew","Kurt","%Area","RawIntDen","Slice","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity","Source_Row","Condition","Image","Scale_Bar_Pixels","Pixel_Size_um","Calibration_Status","Area_um2","Perimeter_um","Major_um","Minor_um","Aspect_Ratio","Area_Include","Perimeter_Include","Aspect_Ratio_Include","Aspect_Ratio_Exclusion","Exact_Duplicate"
"WR-F -5000X -0014.dm3",1.745,336990.988,15157.753,336618.904,257164.203,415455.281,0.782,4.774,0.782,4.775,5.295,0.096,3.903,1.253,1.883,1.798,1.239,102.645,0.782,1.944,588198.508,337046,-0.074,0.863,100,111874268116.547,1,180,1752,115.158,1.248,1.451,0.688,0.955,2,"WR","WR-F -5000X -0014.dm3",,,"DM3 spatial calibration retained in workbook",1.745,5.295,1.798,1.239,1.451,TRUE,TRUE,TRUE,"",FALSE
"WR-F -5000X -0014.dm3",3.864,336834.172,15463.978,337298.112,245882.984,421180.906,2.021,4.83,2.02,4.829,10.822,0.041,3.601,3.236,2.721,2.827,1.743,133.808,0.415,3.791,1301504.832,337048.094,-0.269,0.802,100,247543811632.359,1,18,1626,138.44,2.093,1.622,0.615,0.743,3,"WR","WR-F -5000X -0014.dm3",,,"DM3 spatial calibration retained in workbook",3.864,10.822,2.827,1.743,1.622,TRUE,TRUE,TRUE,"",FALSE
"WR-F -5000X -0014.dm3",0.786,333725.629,16605.645,330412.399,264362.188,424635.688,3.175,5.629,3.175,5.63,3.333,2.672,5.127,1.005,0.99,1.034,0.97,135.199,0.889,1.107,262329.845,333147.969,0.048,0.57,100,49894651286.875,1,1194,2316,141.617,0.975,1.065,0.937,0.968,4,"WR","WR-F -5000X -0014.dm3",,,"DM3 spatial calibration retained in workbook",0.786,3.333,1.034,0.97,1.065,TRUE,TRUE,TRUE,"",FALSE
"WR-F -5000X -0014.dm3",0.458,335108.689,17608.943,336545.137,252193.516,413946.438,3.628,5.843,3.629,5.842,3.567,3.085,5.168,0.895,1.196,1.203,0.485,62.721,0.452,1.305,153316.359,336463,-0.533,1.024,100,29160487934.078,1,1380,2766,60.956,0.656,2.479,0.403,0.682,5,"WR","WR-F -5000X -0014.dm3",,,"DM3 spatial calibration retained in workbook",0.458,3.567,1.203,0.485,2.479,TRUE,TRUE,TRUE,"",FALSE
"WR-F -5000X -0014.dm3",0.398,338217.508,20575.546,343076.792,253725.609,416529.188,5.978,5.593,5.974,5.592,4.982,4.792,5.402,2.258,0.467,2.148,0.236,173.071,0.201,2.275,134541.459,339255.688,-0.34,0.5,100,25589536670.625,1,2088,2412,173.061,0.345,9.091,0.11,0.608,6,"WR","WR-F -5000X -0014.dm3",,,"DM3 spatial calibration retained in workbook",0.398,4.982,2.148,0.236,9.091,TRUE,TRUE,TRUE,"",FALSE
"WR-F -5000X -0014.dm3",4.373,337148.807,16215.133,334445.708,253725.609,426649,5.893,6.575,5.892,6.576,8.442,4.448,5.553,2.699,2.268,2.874,1.941,159.293,0.771,2.928,1474274.606,336597.25,0.139,0.881,100,280404302909.828,1,1968,2622,143.076,1.95,1.481,0.674,0.955,7,"WR","WR-F -5000X -0014.dm3",,,"DM3 spatial calibration retained in workbook",4.373,8.442,2.874,1.941,1.481,TRUE,TRUE,TRUE,"",FALSE
"WR-F -5000X -0013.dm3",1.668,400554.589,19818.882,399447.149,306908.812,491265.344,2.473,3.464,2.477,3.465,7.267,0.909,2.83,2.824,1.291,3.108,0.685,163.472,0.397,2.987,668048.911,400825.812,-0.107,0.608,100,127061523315.5,1,414,1248,158.697,0.814,4.537,0.22,0.882,8,"WR","WR-F -5000X -0013.dm3",,,"DM3 spatial calibration retained in workbook",1.668,7.267,3.108,0.685,4.537,TRUE,TRUE,TRUE,"",FALSE
"WR-F -5000X -0013.dm3",0.097,399032.643,22297.949,394377.469,316771.906,470185.219,3.845,3.696,3.844,3.696,1.189,3.693,3.489,0.317,0.412,0.425,0.293,108.845,0.866,0.444,38884.076,399825.031,-0.211,-0.178,100,7395671000.906,1,1638,1524,111.86,0.303,1.454,0.686,0.937,9,"WR","WR-F -5000X -0013.dm3",,,"DM3 spatial calibration retained in workbook",0.097,1.189,0.425,0.293,1.454,TRUE,TRUE,TRUE,"",FALSE
"WR-F -5000X -0013.dm3",1.903,403964.701,17354.376,401605.83,321177.75,478952.375,4.755,4.343,4.752,4.343,6.774,3.734,3.544,2.342,1.58,2.33,1.043,155.231,0.521,2.544,768898.449,403611.594,0.039,0.293,100,146242897183.25,1,1740,1566,142.777,1.234,2.233,0.447,0.849,10,"WR","WR-F -5000X -0013.dm3",,,"DM3 spatial calibration retained in workbook",1.903,6.774,2.33,1.043,2.233,TRUE,TRUE,TRUE,"",FALSE
"WR-F -5000X -0013.dm3",1.5,402005.769,18737.355,403723.304,315736.375,495215.688,7.058,5.061,7.057,5.06,7.1,5.553,4.3,2.907,1.456,3.273,0.585,158.288,0.374,3.133,603192.744,402643.375,-0.128,0.492,100,114726014286.406,1,2418,1908,158.117,0.602,5.591,0.178,0.909,11,"WR","WR-F -5000X -0013.dm3",,,"DM3 spatial calibration retained in workbook",1.5,7.1,3.273,0.585,5.591,TRUE,TRUE,TRUE,"",FALSE
