"Image","Condition","Scale_Bar_Pixels","Pixel_Size_um","Calibration_Status"
"CS-Female -5000X -0022.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0023.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0024.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0025.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0027.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0028.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0029.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0030.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0031.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0032.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0033.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0034.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0035.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0036.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0037.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0038.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0039.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0041.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0042.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0044.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0045.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"CS-Female -5000X -0046.dm3","CS",,,"DM3 spatial calibration retained in workbook"
"Cnt fmale_a_5000X_0005.tif","WR",360,0.00555555555555556,"Converted from pixels using visible 2-um scale bar"
"Cnt fmale_a_5000X_0008.tif","WR",358,0.00558659217877095,"Converted from pixels using visible 2-um scale bar"
"Cnt fmale_a_5000X_0010.tif","WR",359,0.00557103064066852,"Converted from pixels using visible 2-um scale bar"
"Cnt fmale_a_5000X_0012.tif","WR",360,0.00555555555555556,"Converted from pixels using visible 2-um scale bar"
"WR-F -5000X -0009.tif","WR",868,0.00230414746543779,"Converted from pixels using visible 2-um scale bar"
"WR-F -5000X -0010.dm3","WR",,,"DM3 spatial calibration retained in workbook"
"WR-F -5000X -0011.dm3","WR",,,"DM3 spatial calibration retained in workbook"
"WR-F -5000X -0012.dm3","WR",,,"DM3 spatial calibration retained in workbook"
"WR-F -5000X -0013.dm3","WR",,,"DM3 spatial calibration retained in workbook"
"WR-F -5000X -0014.dm3","WR",,,"DM3 spatial calibration retained in workbook"
