area_threshold_um2,file,condition,objects_n,zero_tmrm_objects_n,image_mean_object_ratio,image_median_object_ratio,image_ratio_of_integrated_sums,WT_reference_image_mean_ratio,image_mean_percent_of_WT,image_median_percent_of_WT,integrated_ratio_percent_of_WT
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series001.tif,CS,672,4,1.3305379548972094,1.2483291460828958,2.0096023015227806,0.6166581899211537,215.76587753863006,202.43453609892182,325.8859339530915
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series001.tif,CS,493,2,1.440336994192312,1.4141641641641642,2.01084185242841,0.6901124288698677,208.71048454394838,204.91793873065117,291.37887803605815
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series001.tif,CS,390,2,1.505928537299789,1.5134306149691428,2.012103982913884,0.757252642966766,198.86738610774063,199.85808290345759,265.7110545076289
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series003.tif,CS,255,0,0.7462606222198621,0.6257861635220126,1.6325901120525053,0.6166581899211537,121.01689954288605,101.48023228265662,264.7479817402975
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series003.tif,CS,154,0,0.8944998295503801,0.8058200024980456,1.6373785757283696,0.6901124288698677,129.61653668739433,116.76648163222643,237.26258320108084
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series003.tif,CS,104,0,1.0558342125063158,0.9679846585915761,1.6420235703215027,0.757252642966766,139.42958434186065,127.82849522970349,216.83959581684383
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series005.tif,CS,462,0,0.4105825868362887,0.32142857142857145,1.3450999023584689,0.6166581899211537,66.58187526687776,52.124268627595704,218.12730688462182
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series005.tif,CS,222,0,0.5436030255118618,0.43270629496044477,1.3568273279079952,0.6901124288698677,78.77021232642765,62.700840741130726,196.6096060796853
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series005.tif,CS,133,0,0.6958411051130405,0.5588452997779423,1.3648648588496088,0.757252642966766,91.89021808981383,73.7990557006836,180.239035350519
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series008_2.tif,CS,312,1,0.4561431511830678,0.3611206924871062,1.25861351864588,0.6166581899211537,73.97017645081314,58.56091727789738,204.1022951153551
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series008_2.tif,CS,166,0,0.6086290838382912,0.47804921449139126,1.2663154798770107,0.6901124288698677,88.192743439643,69.27120777613693,183.49408399305844
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series008_2.tif,CS,119,0,0.7193023148090976,0.6275658276608095,1.2709579520503378,0.757252642966766,94.98841918742119,82.87403596270471,167.83803448621535
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series010_2.tif,CS,381,0,0.37745767987092144,0.30332681017612523,1.2446223598568436,0.6166581899211537,61.21019489243845,49.18880753289091,201.83342736694726
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series010_2.tif,CS,194,0,0.5039389790732657,0.4161279512992,1.253172354894148,0.6901124288698677,73.02273629508734,60.29857366583785,181.58959358931568
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series010_2.tif,CS,128,0,0.6128956070685068,0.5077219229291181,1.2590537117307123,0.757252642966766,80.93674056617394,67.04789050850508,166.2660042754013
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series012_2.tif,CS,192,0,1.3294313131334679,1.188929714353443,2.379684559469278,0.6166581899211537,215.5864196506414,192.8020634097895,385.9000980386794
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series012_2.tif,CS,115,0,1.6314759056176766,1.6220338983050848,2.382841580494475,0.6901124288698677,236.4072631309353,235.0390792064617,345.28309892876894
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series012_2.tif,CS,74,0,1.939765241536446,1.9528827785085112,2.3857493164884698,0.757252642966766,256.15826627383296,257.8905199798977,315.05328355693496
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series014_2.tif,CS,168,0,1.2979785576429301,1.145976360103627,2.3261611157611974,0.6166581899211537,210.4859027022556,185.83655886418248,377.22050137023587
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series014_2.tif,CS,112,0,1.4975559774152063,1.4308965285521167,2.3284151112542375,0.6901124288698677,217.00173982775718,207.34252401385694,337.39648988314326
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series014_2.tif,CS,85,0,1.661973059167266,1.6081184580035741,2.3306235831262256,0.757252642966766,219.4740519697606,212.3622113358739,307.7735818782096
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series018.tif,CS,1834,694,0.4648530824339469,0.16666666666666666,1.403000017498644,0.6166581899211537,75.38261715025357,27.02739854764221,227.51664381170912
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series018.tif,CS,1243,290,0.4522327256615475,0.2857142857142857,1.4048195999066027,0.6901124288698677,65.5302972013019,41.40112157988129,203.56387468736705
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series018.tif,CS,781,62,0.552294975159673,0.4274193548387097,1.409124351521008,0.757252642966766,72.93404391378425,56.44342859790693,186.083781233214
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series020.tif,CS,572,1,0.7947646901192443,0.6801360544217687,2.014393595222233,0.6166581899211537,128.88253218867706,110.29384925686811,326.6629111793349
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series020.tif,CS,333,0,1.002369853499349,0.8952879581151832,2.0187467419898413,0.6901124288698677,145.24732660457022,129.7307396102563,292.52432756438736
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series020.tif,CS,217,0,1.2013867118664592,1.1027397260273972,2.0222738460494614,0.757252642966766,158.65071228535618,145.623754009901,267.05404924393434
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series022.tif,CS,887,16,0.6124906253453353,0.492176386913229,1.6451404994213006,0.6166581899211537,99.32416942741791,79.81348418905438,266.78320766835986
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series022.tif,CS,525,1,0.7522018695159581,0.6321070234113713,1.65006320438529,0.6901124288698677,108.99700368355465,91.59478904712867,239.1006356873537
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series022.tif,CS,301,0,0.9481449664751526,0.86810551558753,1.655525083112399,0.757252642966766,125.20853842919692,114.63882280905146,218.62255595786095
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series026_2.tif,CS,193,0,0.8535027014679222,0.7546892239794042,1.7050578042033515,0.6166581899211537,138.40774604437695,122.38371861661305,276.49966092583014
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series026_2.tif,CS,99,0,0.9895157100408918,0.8436781609195402,1.707574435859207,0.6901124288698677,143.38471075811933,122.25227740082187,247.43423888996486
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series026_2.tif,CS,60,0,1.1675773455675549,1.1649441019599962,1.7097138698102055,0.757252642966766,154.1859716716495,153.8382352019236,225.77852790475382
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series028_2.tif,CS,216,0,0.79135945088835,0.6819141039387278,1.5379921054430703,0.6166581899211537,128.3303236416164,110.58218557446186,249.40755358162338
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series028_2.tif,CS,127,0,0.9431825436872779,0.8427201917315758,1.5408778431304744,0.6901124288698677,136.67085307126544,122.11346390494944,223.2792482311651
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series028_2.tif,CS,91,0,1.0743879756867563,1.0806820432488882,1.5430492309229984,0.757252642966766,141.87972609478348,142.7108975169753,203.7694084338401
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030.tif,CS,59,0,0.7189374700858412,0.6218052410223228,1.1633783952748507,0.6166581899211537,116.58605720906179,100.83466840873827,188.65854930485898
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030.tif,CS,43,0,0.8443393346906071,0.8599242495382978,1.1675000284512094,0.6901124288698677,122.34808407570668,124.60639941618138,169.17533717848187
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030.tif,CS,37,0,0.9098329708259048,0.9686538159784669,1.1708677453464684,0.757252642966766,120.14919713734629,127.91686169406724,154.6204897693378
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030_2.tif,CS,25,0,1.1142532320955205,0.9733191035218783,1.6759887036179368,0.6166581899211537,180.69219712106468,157.83769994951783,271.7856879241691
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030_2.tif,CS,18,0,1.2866799995869078,1.2883561782865804,1.6772311596107687,0.6901124288698677,186.44498284054714,186.68786771401878,243.03737904813752
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030_2.tif,CS,15,0,1.3789675180143246,1.3449991348564332,1.6781809996068535,0.757252642966766,182.10138067155538,177.61564087607445,221.6144129959154
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series032.tif,CS,3933,1034,0.6167314783485606,0.38372093023255816,1.596692363006435,0.6166581899211537,100.01188477321872,62.225871074804175,258.9266451177092
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series032.tif,CS,2852,368,0.6527066795884162,0.4931031202435312,1.6019456237565277,0.6901124288698677,94.57976009174224,71.4525778141744,232.12820936725973
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series032.tif,CS,1969,54,0.7674099320323727,0.6347569955817378,1.6145245869941085,0.757252642966766,101.34133425085352,83.82367516010054,213.20818117830802
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series034.tif,CS,4742,1124,0.6439568575393818,0.4166666666666667,1.6590347416842655,0.6166581899211537,104.4268718172248,67.56849636910553,269.0363590073118
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series034.tif,CS,3392,364,0.6725197036646955,0.5223723723723723,1.6645623501945432,0.6901124288698677,97.45074505700728,75.69380734495863,241.20161883194027
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series034.tif,CS,2332,54,0.7606388713164486,0.6528083267871171,1.6767888536942637,0.757252642966766,100.44717286643147,86.20746759358188,221.43057132490642
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series036.tif,CS,4657,1127,0.6411958388060595,0.4340277777777778,1.6915760510956,0.6166581899211537,103.97913289500673,70.38385038448493,274.3134006396454
