"experiment","dose_mM","genotype","experiment_mean","technical_sd","technical_n"
"7.15.26",0,"WT",100,2.4622893057,3
"7.28.26",0,"WT",100,5.26443133741873,6
"7.28.26",5,"WT",48.2351093621418,5.63948169219741,6
"7.28.26",10,"WT",45.2936241830054,4.83085371461071,6
"7.15.26",20,"WT",24.7321277877652,2.70497913050097,3
"7.28.26",20,"WT",31.568442173671,4.28365623398033,6
"7.15.26",40,"WT",8.4397471372902,1.64006379284194,3
"7.28.26",40,"WT",17.9089198251616,1.98073821298196,6
"7.15.26",0,"CS",100,21.5987887243927,3
"7.28.26",0,"CS",100,5.0777187703371,6
"7.28.26",5,"CS",61.8951959248253,7.0972587064545,6
"7.28.26",10,"CS",59.4185849663046,3.23065406380863,6
"7.15.26",20,"CS",42.9018809134275,6.5760265058744,3
"7.28.26",20,"CS",43.2072548393794,5.06915398291815,6
"7.15.26",40,"CS",13.4356402622336,2.14637872134134,3
"7.28.26",40,"CS",24.6656719274217,1.96318638961934,6
