"acquisition","treatment","group","image","cell_count","image_mean_ctcf","wt_reference_mean_ctcf","percent_wt","coverglass"
"20X NT","Untreated","WT","S029",12,8002.70726958333,8776.75482675833,91.1807089014825,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S034",16,9544.774574875,8776.75482675833,108.750611852289,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S039",6,5359.28324633333,8776.75482675833,61.0622417068561,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S044",6,12285.767983,8776.75482675833,139.980758554899,"20X NT | WT | coverglass 1"
"20X NT","Untreated","WT","S049",1,8691.24106,8776.75482675833,99.0256789844736,"20X NT | WT | coverglass 1"
"20X NT","Untreated","CS","S058",14,7482.79213614286,8776.75482675833,85.2569347537147,"20X NT | CS | coverglass 1"
"20X NT","Untreated","CS","S061",8,2574.72721,8776.75482675833,29.3357540551348,"20X NT | CS | coverglass 1"
"20X NT","Untreated","CS","S065",5,876.327919,8776.75482675833,9.98464621944634,"20X NT | CS | coverglass 1"
"20X NT","Untreated","CS","S068",7,5935.50464271429,8776.75482675833,67.6275543737223,"20X NT | CS | coverglass 1"
"20X NT","Untreated","CS","S072",8,6640.434455,8776.75482675833,75.6593363500917,"20X NT | CS | coverglass 1"
"63X 20mM","20 mM H2O2","WT","S055",1,231681.1988,320264.207284333,72.3406467318127,"63X 20mM | WT | coverglass 1"
"63X 20mM","20 mM H2O2","WT","S062",1,115211.6245,320264.207284333,35.9739308606891,"63X 20mM | WT | coverglass 1"
"63X 20mM","20 mM H2O2","WT","S064",1,244529.8292,320264.207284333,76.3525313282681,"63X 20mM | WT | coverglass 1"
"63X 20mM","20 mM H2O2","WT","S069",3,288345.745300333,320264.207284333,90.0337092756474,"63X 20mM | WT | coverglass 1"
"63X 20mM","20 mM H2O2","WT","S074",3,154220.745164,320264.207284333,48.1542244360393,"63X 20mM | WT | coverglass 1"
"63X 20mM","20 mM H2O2","WT","S081",3,423565.286126,320264.207284333,132.254955905814,"63X 20mM | WT | coverglass 1"
"63X 20mM","20 mM H2O2","WT","S085",1,784295.0219,320264.207284333,244.890001461729,"63X 20mM | WT | coverglass 1"
"63X 20mM","20 mM H2O2","CS","S021",2,190791.97805,320264.207284333,59.573306573286,"63X 20mM | CS | coverglass 1"
"63X 20mM","20 mM H2O2","CS","S026",1,255792.7126,320264.207284333,79.8692787960863,"63X 20mM | CS | coverglass 1"
"63X 20mM","20 mM H2O2","CS","S031",3,161621.530403333,320264.207284333,50.4650618855589,"63X 20mM | CS | coverglass 1"
"63X 20mM","20 mM H2O2","CS","S037",2,352669.79575,320264.207284333,110.118392167657,"63X 20mM | CS | coverglass 1"
"63X 20mM","20 mM H2O2","CS","S042",4,277228.7535185,320264.207284333,86.5625153273447,"63X 20mM | CS | coverglass 1"
"63X 20mM","20 mM H2O2","CS","S098",3,168471.615281333,320264.207284333,52.6039474438562,"63X 20mM | CS | coverglass 1"
