term,ENTREZID
dme00010,45880
dme00010,36649
dme00010,38697
dme00010,37130
dme00010,32345
dme00010,45398
dme00010,40409
dme00010,43437
dme00010,35728
dme00010,39945
dme00010,36510
dme00010,33476
dme00010,43447
dme00010,46246
dme00010,33351
dme00010,37131
dme00010,59175
dme00010,43582
dme00010,40946
dme00010,33475
dme00010,45875
dme00010,43244
dme00010,33461
dme00010,35265
dme00010,40406
dme00010,261603
dme00010,43191
dme00010,117364
dme00010,3771877
dme00010,34256
dme00010,36060
dme00010,39841
dme00010,31544
dme00010,39817
dme00010,34586
dme00010,44010
dme00010,34021
dme00010,43189
dme00010,43183
dme00010,41311
dme00010,39555
dme00010,31406
dme00010,31407
dme00010,42626
dme00010,42621
dme00010,42620
dme00010,41787
dme00010,39988
dme00010,35923
dme00010,44008
dme00010,35886
dme00010,32545
dme00010,34779
dme00010,36904
dme00010,40348
dme00010,40097
dme00010,33459
dme00020,42808
dme00020,44001
dme00020,38447
dme00020,39469
dme00020,39470
dme00020,37130
dme00020,39899
dme00020,43437
dme00020,41067
dme00020,32940
dme00020,41468
dme00020,36020
dme00020,37228
dme00020,37131
dme00020,318995
dme00020,317829
dme00020,35590
dme00020,317974
dme00020,37900
dme00020,31579
dme00020,31605
dme00020,31606
dme00020,41326
dme00020,42689
dme00020,43102
dme00020,41360
dme00020,34021
dme00020,34414
dme00020,39348
dme00020,39281
dme00020,42326
dme00020,41269
dme00020,42586
dme00020,41324
dme00020,41340
dme00020,31406
dme00020,31407
dme00020,44291
dme00020,32887
dme00020,39988
dme00020,42185
dme00020,36760
dme00020,44149
dme00030,36649
dme00030,40875
dme00030,32974
dme00030,31007
dme00030,34650
dme00030,32013
dme00030,37804
dme00030,246599
dme00030,35692
dme00030,35265
dme00030,31185
dme00030,36060
dme00030,40012
dme00030,44010
dme00030,43189
dme00030,43183
dme00030,39132
dme00030,40445
dme00030,41027
dme00030,35923
dme00030,35886
dme00030,36358
dme00030,33431
dme00040,38760
dme00040,36624
dme00040,35105
dme00040,39424
dme00040,38463
dme00040,35307
dme00040,33993
dme00040,38473
dme00040,38462
dme00040,53513
dme00040,53512
dme00040,35015
dme00040,37197
dme00040,37421
dme00040,53501
dme00040,53504
dme00040,35139
dme00040,35138
dme00040,35137
dme00040,53511
dme00040,40836
dme00040,43746
dme00040,40946
dme00040,44058
dme00040,35692
dme00040,43708
dme00040,42047
dme00040,33420
dme00040,33421
dme00040,40079
dme00040,19988923
dme00040,37420
dme00040,39065
dme00040,37590
dme00040,41313
dme00040,53503
dme00040,41573
dme00040,41574
dme00040,39305
dme00040,39304
dme00040,42538
dme00040,53507
dme00040,41334
dme00040,53506
dme00040,53502
dme00040,32880
dme00040,53583
dme00040,38124
dme00040,35586
dme00040,53584
dme00040,32592
dme00051,39424
dme00051,39436
dme00051,38463
dme00051,40599
dme00051,39279
dme00051,38462
dme00051,40836
dme00051,43582
dme00051,45875
dme00051,35265
dme00051,43191
dme00051,117364
dme00051,32938
dme00051,37638
dme00051,36060
dme00051,19988923
dme00051,41313
dme00051,43189
dme00051,43183
dme00051,39305
dme00051,39304
dme00051,40204
dme00051,40203
dme00051,39280
dme00051,44008
dme00051,36730
dme00051,41192
dme00051,33716
dme00051,35586
dme00052,36649
dme00052,38697
dme00052,39424
dme00052,38463
dme00052,32345
dme00052,35829
dme00052,38076
dme00052,38462
dme00052,34597
dme00052,34598
dme00052,33476
dme00052,45875
dme00052,41457
dme00052,40406
dme00052,261603
dme00052,43191
dme00052,117364
dme00052,36060
dme00052,19988923
dme00052,39065
dme00052,34586
dme00052,44010
dme00052,39305
dme00052,39304
dme00052,42220
dme00052,35923
dme00052,44008
dme00052,35830
dme00052,35827
dme00052,35825
dme00052,35826
dme00052,35824
dme00052,33839
dme00052,33935
dme00052,35586
dme00053,38760
dme00053,35105
dme00053,35307
dme00053,33993
dme00053,53513
dme00053,53512
dme00053,37197
dme00053,37421
dme00053,53501
dme00053,53504
dme00053,35139
dme00053,35138
dme00053,35137
dme00053,53511
dme00053,43746
dme00053,40946
dme00053,44058
dme00053,43708
dme00053,43244
dme00053,34256
dme00053,40079
dme00053,37420
dme00053,37590
dme00053,53503
dme00053,41573
dme00053,41574
dme00053,42538
dme00053,53507
dme00053,41334
dme00053,53506
dme00053,53502
dme00053,39391
dme00053,53583
dme00053,53584
dme00053,40097
dme00061,35761
dme00061,40692
dme00061,36540
dme00061,3355111
dme00061,31668
dme00061,33524
dme00061,117361
dme00061,31289
dme00061,40056
dme00061,34822
dme00061,44117
dme00061,39910
dme00061,46068
dme00062,38457
dme00062,39245
dme00062,31805
dme00062,31703
dme00062,36540
dme00062,40943
dme00062,40567
dme00062,326148
dme00062,317841
dme00062,39860
dme00062,34276
dme00062,37784
dme00062,34313
dme00062,34564
dme00062,36536
dme00062,34614
dme00062,34762
dme00071,31695
dme00071,38864
dme00071,36109
dme00071,38100
dme00071,35213
dme00071,59175
dme00071,38355
dme00071,43244
dme00071,3771877
dme00071,34256
dme00071,40059
dme00071,40056
dme00071,34276
dme00071,34822
dme00071,44117
dme00071,37784
dme00071,31641
dme00071,34317
dme00071,34316
dme00071,34315
dme00071,34313
dme00071,42364
dme00071,39817
dme00071,41480
dme00071,37028
dme00071,36536
dme00071,41311
dme00071,37217
dme00071,46068
dme00071,38147
dme00071,33898
dme00071,33911
dme00071,40097
dme00071,37445
dme00071,37446
dme00100,37877
dme00100,37482
dme00100,34451
dme00100,34450
dme00100,41033
dme00100,41643
dme00130,40263
dme00130,38194
dme00130,44007
dme00130,32381
dme00130,32272
dme00130,261607
dme00130,3346188
dme00130,33777
dme00130,32426
dme00130,35383
dme00130,40988
dme00190,42808
dme00190,37466
dme00190,35491
dme00190,35279
dme00190,40748
dme00190,40679
dme00190,33918
dme00190,33919
dme00190,43829
dme00190,36998
dme00190,33179
dme00190,38503
dme00190,43073
dme00190,38378
dme00190,32936
dme00190,33528
dme00190,45668
dme00190,34587
dme00190,38521
dme00190,36640
dme00190,36328
dme00190,34925
dme00190,34995
dme00190,46040
dme00190,40066
dme00190,32989
dme00190,36991
dme00190,43457
dme00190,41432
dme00190,42041
dme00190,50178
dme00190,32249
dme00190,43442
dme00190,37228
dme00190,37728
dme00190,34997
dme00190,41550
dme00190,43693
dme00190,43369
dme00190,34996
dme00190,40995
dme00190,42216
dme00190,31697
dme00190,43798
dme00190,43477
dme00190,50246
dme00190,31762
dme00190,31342
dme00190,31950
dme00190,246451
dme00190,246543
dme00190,246560
dme00190,326144
dme00190,44307
dme00190,318868
dme00190,33776
dme00190,31604
dme00190,39282
dme00190,317846
dme00190,33443
dme00190,317928
dme00190,35590
dme00190,41745
dme00190,19893529
dme00190,19893533
dme00190,19893535
dme00190,19893538
dme00190,19893539
dme00190,19893540
dme00190,19893542
dme00190,19893549
dme00190,19893551
dme00190,19893552
dme00190,19893555
dme00190,19893556
dme00190,19893558
dme00190,5740593
dme00190,31578
dme00190,32586
dme00190,37617
dme00190,31190
dme00190,37946
dme00190,45012
dme00190,37809
dme00190,44207
dme00190,3355155
dme00190,8673970
dme00190,5740185
dme00190,39846
dme00190,41845
dme00190,12797919
dme00190,42759
dme00190,19835750
dme00190,42739
dme00190,37922
dme00190,37931
dme00190,38612
dme00190,34394
dme00190,34695
dme00190,39761
dme00190,32434
dme00190,32740
dme00190,39348
dme00190,42282
dme00190,40272
dme00190,42291
dme00190,46069
dme00190,42341
dme00190,42591
dme00190,39214
dme00190,39926
dme00190,41324
dme00190,41340
dme00190,34482
dme00190,40477
dme00190,45247
dme00190,41806
dme00190,40390
dme00190,34054
dme00190,32887
dme00190,44390
dme00190,39950
dme00190,43507
dme00190,40389
dme00190,42214
dme00190,36159
dme00190,35944
dme00190,36826
dme00190,36695
dme00190,44702
dme00190,39143
dme00190,36731
dme00190,31235
dme00190,33744
dme00190,45401
dme00190,44228
dme00190,36900
dme00190,44046
dme00190,32439
dme00190,33852
dme00190,38154
dme00190,32565
dme00190,34747
dme00190,37385
dme00190,50002
dme00190,46260
dme00220,40812
dme00220,32292
dme00220,42730
dme00220,42729
dme00220,32087
dme00220,46717
dme00220,32640
dme00220,33172
dme00220,33373
dme00220,36396
dme00220,42756
dme00220,42832
dme00220,41274
dme00220,34495
dme00220,42728
dme00220,42731
dme00220,42732
dme00220,36782
dme00220,3771738
dme00230,38753
dme00230,36627
dme00230,36649
dme00230,40333
dme00230,40326
dme00230,42973
dme00230,39479
dme00230,39213
dme00230,36121
dme00230,43456
dme00230,43682
dme00230,42001
dme00230,42002
dme00230,35419
dme00230,43661
dme00230,38315
dme00230,39396
dme00230,53427
dme00230,53432
dme00230,53426
dme00230,42466
dme00230,43873
dme00230,37756
dme00230,40528
dme00230,48224
dme00230,44750
dme00230,41897
dme00230,41895
dme00230,41894
dme00230,43493
dme00230,43739
dme00230,40935
dme00230,246393
dme00230,36969
dme00230,246458
dme00230,33495
dme00230,41927
dme00230,37834
dme00230,33986
dme00230,318908
dme00230,37376
dme00230,64879
dme00230,38285
dme00230,317967
dme00230,31309
dme00230,32822
dme00230,32352
dme00230,34553
dme00230,35107
dme00230,5740349
dme00230,31194
dme00230,42051
dme00230,41476
dme00230,32228
dme00230,39854
dme00230,41825
dme00230,32233
dme00230,8674026
dme00230,40153
dme00230,34594
dme00230,37741
dme00230,36968
dme00230,44010
dme00230,41373
dme00230,32396
