display_column,component_group_order,component_group,fly_gene_count,source_human_symbols,rationale,reference
1,1,AMPK subunits,3,PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG2;PRKAG3,Catalytic alpha and regulatory beta/gamma subunits of the human AMPK complex.,https://www.kegg.jp/pathway/hsa04152
1,2,Upstream signalling,21,ADIPOR1;ADIPOR2;ADRA1A;AKT1;AKT2;AKT3;CAB39;CAB39L;CAMKK2;IGF1R;INS;INSR;IRS1;IRS2;IRS4;MAP3K7;P3R3URF-PIK3R3;PDPK1;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;STK11;STRADA;STRADB,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152
1,3,PP2A-related proteins,14,PPP2CA;PPP2CB;PPP2R1A;PPP2R1B;PPP2R2A;PPP2R2B;PPP2R2C;PPP2R2D;PPP2R3A;PPP2R3B;PPP2R5A;PPP2R5B;PPP2R5C;PPP2R5D;PPP2R5E,"Human PP2A catalytic, scaffold and regulatory subunits. DIOPT matches include related fly phosphatases; membership does not establish PP2A-complex membership in flies.",https://www.kegg.jp/pathway/hsa04152
2,1,Glucose metabolism,7,FBP1;FBP2;G6PC1;G6PC2;G6PC3;GYS1;GYS2;PCK1;PCK2;PFKFB1;PFKFB2;PFKFB3;PFKFB4;PFKL;PFKM;PFKP,"Human enzymes involved in glycolysis, gluconeogenesis or glycogen synthesis.",https://www.kegg.jp/pathway/hsa04152
2,2,GLUT / TBC1D1 / Rab-related,15,RAB10;RAB11B;RAB14;RAB2A;RAB8A;SLC2A4;TBC1D1,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152
2,3,CFTR-related proteins,11,CFTR,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152
3,1,Lipid metabolic enzymes,14,ACACA;ACACB;CPT1A;CPT1B;CPT1C;FASN;HMGCR;LIPE;SCD;SCD5,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152
3,2,CD36-related proteins,13,CD36,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152
3,3,CIDEA-related proteins,3,CIDEA,"Fly proteins mapped to human CIDEA, shown in the map as an AMPK-linked regulator; fly Drep family membership does not establish a lipid-storage function.",https://www.kegg.jp/pathway/hsa04152
4,1,mTOR / translation / autophagy,10,AKT1S1;EEF2;EIF4EBP1;MTOR;RHEB;RPS6KB1;RPS6KB2;RPTOR;TSC1;TSC2;ULK1,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152
4,2,Transcriptional regulators,11,CREB1;CREB3;CREB3L1;CREB3L2;CREB3L3;CREB3L4;CREB5;CRTC2;FOXO1;FOXO3;HNF4A;PPARG;PPARGC1A;SIRT1;SREBF1,"Human transcription factors, coactivators and the SIRT1 regulator represented in the pathway.",https://www.kegg.jp/pathway/hsa04152
4,3,RNA-binding proteins,6,ELAVL1,Fly proteins mapped to the human ELAVL1/HuR RNA-binding component.,https://www.kegg.jp/pathway/hsa04152
4,4,Cyclins,3,CCNA1;CCNA2;CCND1,Fly proteins mapped to the human cyclin A and D cell-cycle components.,https://www.kegg.jp/pathway/hsa04152
