module,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status,flybase_id,human_entrez_ids,human_symbols,diopt_confidence_levels,mapping_rule,source,display_column,component_group_order,component_group,subunit_display_order,grouping_rationale,grouping_reference,shown_in_focused_panel
Fly homologs of human AMPK-pathway genes,AMPKalpha,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0023169,5562;5563,PRKAA1;PRKAA2,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,1,AMPK subunits,1,Catalytic alpha and regulatory beta/gamma subunits of the human AMPK complex.,https://www.kegg.jp/pathway/hsa04152,true
Fly homologs of human AMPK-pathway genes,alc,225.455505852973,-0.249298892457399,0.194421102993808,-1.28226251481219,0.199750572845975,0.798736665859236,Below DE cutoffs,FBgn0260972,5564;5565,PRKAB1;PRKAB2,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,1,AMPK subunits,2,Catalytic alpha and regulatory beta/gamma subunits of the human AMPK complex.,https://www.kegg.jp/pathway/hsa04152,true
Fly homologs of human AMPK-pathway genes,SNF4Agamma,284.458773526672,-0.246505774840913,0.21987397134132,-1.1211230385167,0.262235493315963,0.867833039575598,Below DE cutoffs,FBgn0264357,51422;53632;5571,PRKAG1;PRKAG2;PRKAG3,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,1,AMPK subunits,3,Catalytic alpha and regulatory beta/gamma subunits of the human AMPK complex.,https://www.kegg.jp/pathway/hsa04152,true
Fly homologs of human AMPK-pathway genes,AdipoR,12.4970804582608,0.142999761634492,0.872420095194012,0.163911586198265,0.869800745997466,0.99686926944711,Below DE cutoffs,FBgn0038984,51094;79602,ADIPOR1;ADIPOR2,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Akt,92.8611896642959,0.311119951908669,0.262262897245284,1.1862903795259,0.235507644569697,0.839128128906271,Below DE cutoffs,FBgn0010379,10000;207;208,AKT1;AKT2;AKT3,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG10702,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0032752,3480;3643,IGF1R;INSR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG17698,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0040056,10645,CAMKK2,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,chico,2.91704269706679,1.35391929174069,1.52353466706928,0.888669828790392,0.374180550629458,NA,Adjusted P unavailable,FBgn0024248,3667;8471;8660,IRS1;IRS2;IRS4,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Dop1R2,0.159162035144805,-0.97963690398121,4.0804728567969,-0.240079260017479,0.810268812189505,NA,Adjusted P unavailable,FBgn0266137,148,ADRA1A,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Ilp1,2.44469030651201,0.168227039177457,1.65376731399985,0.101723524073394,0.918976129489527,NA,Adjusted P unavailable,FBgn0044051,3630,INS,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,false
