module,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status,flybase_id,human_entrez_ids,human_symbols,diopt_confidence_levels,mapping_rule,source,display_column,component_group_order,component_group,subunit_display_order,grouping_rationale,grouping_reference,in_full_orthology_survey,display_order,role,reference_key,reference,doi,source_url,evidence_location,published_fly_evidence,interpretation_limit
AMPK-associated genes,AMPKalpha,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0023169,5562;5563,PRKAA1;PRKAA2,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,1,AMPK subunits,1,Catalytic alpha and regulatory beta/gamma subunits of the human AMPK complex.,https://www.kegg.jp/pathway/hsa04152,true,1,AMPK alpha subunit,Pan2002,"Pan, D. A. and Hardie, D. G. (2002). A homologue of AMP-activated protein kinase in Drosophila melanogaster is sensitive to AMP and is activated by ATP depletion. Biochem. J. 367, 179–186.",10.1042/BJ20020703,https://pmc.ncbi.nlm.nih.gov/articles/PMC1222868/,Abstract and subunit-depletion experiments,Depleting the alpha subunit by dsRNA abolished AMPK activity in Drosophila cells.,Complex membership; transcript abundance does not measure kinase activity.
AMPK-associated genes,alc,225.455505852973,-0.249298892457399,0.194421102993808,-1.28226251481219,0.199750572845975,0.798736665859236,Below DE cutoffs,FBgn0260972,5564;5565,PRKAB1;PRKAB2,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,1,AMPK subunits,2,Catalytic alpha and regulatory beta/gamma subunits of the human AMPK complex.,https://www.kegg.jp/pathway/hsa04152,true,2,AMPK beta subunit,Pan2002,"Pan, D. A. and Hardie, D. G. (2002). A homologue of AMP-activated protein kinase in Drosophila melanogaster is sensitive to AMP and is activated by ATP depletion. Biochem. J. 367, 179–186.",10.1042/BJ20020703,https://pmc.ncbi.nlm.nih.gov/articles/PMC1222868/,Abstract and subunit-depletion experiments,Depleting the beta subunit by dsRNA abolished AMPK activity in Drosophila cells.,Complex membership; transcript abundance does not measure kinase activity.
AMPK-associated genes,SNF4Agamma,284.458773526672,-0.246505774840913,0.21987397134132,-1.1211230385167,0.262235493315963,0.867833039575598,Below DE cutoffs,FBgn0264357,51422;53632;5571,PRKAG1;PRKAG2;PRKAG3,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,1,AMPK subunits,3,Catalytic alpha and regulatory beta/gamma subunits of the human AMPK complex.,https://www.kegg.jp/pathway/hsa04152,true,3,AMPK gamma subunit,Pan2002,"Pan, D. A. and Hardie, D. G. (2002). A homologue of AMP-activated protein kinase in Drosophila melanogaster is sensitive to AMP and is activated by ATP depletion. Biochem. J. 367, 179–186.",10.1042/BJ20020703,https://pmc.ncbi.nlm.nih.gov/articles/PMC1222868/,Abstract and subunit-depletion experiments,Depleting the gamma subunit by dsRNA abolished AMPK activity in Drosophila cells.,Complex membership; transcript abundance does not measure kinase activity.
AMPK-associated genes,Lkb1,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0038167,6794,STK11,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,true,4,Upstream regulator,Castanieto2014,"Castanieto, A., Johnston, M. J. and Nystul, T. G. (2014). EGFR signaling promotes self-renewal through the establishment of cell polarity in Drosophila follicle stem cells. eLife 3, e04437.",10.7554/eLife.04437,https://pmc.ncbi.nlm.nih.gov/articles/PMC4298699/,Figure 7—figure supplement 1D–E and associated Results,Phospho-AMPK staining was absent from Lkb1-mutant follicle stem-cell clones while detectable in neighboring wild-type cells.,"Supports an upstream relationship in the tested tissue, not a universal transcriptional response."
AMPK-associated genes,Sesn,18.3803408344283,0.135302824013738,0.594207860074658,0.227702851316604,0.819877255636361,0.99686926944711,Not significant,,,,,,,,,,,,,false,5,Sestrin; AMPK–TOR feedback regulator,Lee2010,"Lee JH, Budanov AV, Park EJ, Birse R, Kim TE, Perkins GA, Ocorr K, Ellisman MH, Bodmer R, Bier E, Karin M. (2010). Sestrin as a feedback inhibitor of TOR that prevents age-related pathologies. Science (New York, N.Y.).",10.1126/science.1182228,https://pubmed.ncbi.nlm.nih.gov/20203043/,AMPK/TOR rescue and signaling experiments.,Fly Sestrin has experimental links to AMPK activation and TOR restraint. AMPK activation rescues dSesn phenotypes.,Sesn is a supported pathway-associated original member. It need not be removed merely because it is not an AMPK subunit.
AMPK-associated genes,ACC,27.1910724540328,-0.147792125552419,0.501618527502906,-0.294630515918419,0.768276148076344,0.99515271483221,Below DE cutoffs,FBgn0033246,31;32,ACACA;ACACB,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,true,6,Metabolic effector,Pan2002,"Pan, D. A. and Hardie, D. G. (2002). A homologue of AMP-activated protein kinase in Drosophila melanogaster is sensitive to AMP and is activated by ATP depletion. Biochem. J. 367, 179–186.",10.1042/BJ20020703,https://pmc.ncbi.nlm.nih.gov/articles/PMC1222868/,Abstract and ACC phosphorylation experiments,The conserved AMPK-regulated ACC site became phosphorylated during oligomycin treatment or hypoxia in fly cells.,Phosphorylation evidence; ACC mRNA is not an AMPK activity assay.
AMPK-associated genes,gig,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0005198,7249,TSC2,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,4,1,mTOR / translation / autophagy,0,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,true,7,TSC2 signaling mediator,Kim2015,"Kim, M. and Lee, J. H. (2015). Identification of an AMPK phosphorylation site in Drosophila TSC2 (gigas) that regulate cell growth. Int. J. Mol. Sci. 16, 7015–7026.",10.3390/ijms16047015,https://pmc.ncbi.nlm.nih.gov/articles/PMC4425001/,Figures 3 and 4; sections 2.4 and 2.5,Fly TSC2 was phosphorylated by AMPK at Ser1338 in vitro; site mutation weakened growth suppression in flies.,Direct substrate evidence; transcript abundance does not report phosphorylation.
AMPK-associated genes,S6k,420.141120123541,-0.64284633446694,0.257708757036854,-2.49446833649897,0.0126145980593078,0.201200210691208,Below DE cutoffs,FBgn0283472,6198;6199,RPS6KB1;RPS6KB2,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,4,1,mTOR / translation / autophagy,0,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,true,8,TOR-linked translation output,Kim2015,"Kim, M. and Lee, J. H. (2015). Identification of an AMPK phosphorylation site in Drosophila TSC2 (gigas) that regulate cell growth. Int. J. Mol. Sci. 16, 7015–7026.",10.3390/ijms16047015,https://pmc.ncbi.nlm.nih.gov/articles/PMC4425001/,Figure 1c; section 2.2,AMPK or TSC2 depletion increased S6K phosphorylation and weakened its inhibition during energy stress in S2 cells.,"Downstream TOR output, not asserted to be a direct AMPK substrate."
AMPK-associated genes,Thor,1.98313079629872,1.0673497011898,2.47485917822831,0.431276943181019,0.666267013211078,NA,Adjusted P unavailable,FBgn0261560,1978,EIF4EBP1,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,4,1,mTOR / translation / autophagy,0,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,true,9,TOR-linked translation output,Kim2015,"Kim, M. and Lee, J. H. (2015). Identification of an AMPK phosphorylation site in Drosophila TSC2 (gigas) that regulate cell growth. Int. J. Mol. Sci. 16, 7015–7026.",10.3390/ijms16047015,https://pmc.ncbi.nlm.nih.gov/articles/PMC4425001/,Figure 1b; section 2.1,Energy depletion induced AMPK phosphorylation and reduced 4E-BP phosphorylation in fly cells.,A downstream phosphoprotein readout; the experiment does not establish direct AMPK phosphorylation of Thor.
AMPK-associated genes,Atg1,214.640455728683,-0.0509857756289528,0.249326770151893,-0.204493787802616,0.837967646045869,0.99686926944711,Below DE cutoffs,FBgn0260945,8408,ULK1,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,4,1,mTOR / translation / autophagy,0,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,true,10,Autophagy mediator,Ulgherait2014,"Ulgherait, M., Rana, A., Rera, M., Graniel, J. and Walker, D. W. (2014). AMPK modulates tissue and organismal aging in a non-cell-autonomous manner. Cell Rep. 8, 1767–1780.",10.1016/j.celrep.2014.08.006,https://pmc.ncbi.nlm.nih.gov/articles/PMC4177313/,Results on neuronal Atg1 and AMPK-mediated lifespan extension,Neuronal Atg1 was required for AMPK-associated lifespan extension and mediated autophagy-related organismal effects.,Functional downstream connection; direct phosphorylation of fly Atg1 is not claimed.
