gene,in_previous_AMPK,in_documented_AMPK,change,reason
ACC,True,True,retained,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
AdipoR,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Akt,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
alc,True,True,retained,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
AMPKalpha,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Atf-2,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Atg1,True,True,retained,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Atg13,True,False,removed,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Atg8a,True,False,removed,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
bmm,True,False,removed,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Cftr,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG10345,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG10505,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG10702,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG11898,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG15531,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG17698,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG31741,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG31792,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG31793,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG32568,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG3829,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG40006,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG4733,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG7227,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG7627,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG7882,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG8630,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG9270,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG9743,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CG9747,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
chico,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CrebA,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CrebB,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
crq,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Crtc,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CycA,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CycB,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
CycD,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Desat1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Desat2,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Dop1R2,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Drep1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Drep2,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Drep3,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
dsb,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
eEF2,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Eip75B,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
elav,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
emp,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Fad2,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
FASN1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
FASN2,True,True,retained,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
FASN3,True,True,retained,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
fbp,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
flw,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
fne,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
foxo,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
G6P,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
gig,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Glut1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Glys,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Hmgcr,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Hnf4,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Hr83,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Hsl,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Ilp1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Ilp3,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Ilp5,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
InR,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
l(2)03659,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Lkb1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
maca,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Mo25,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Mrp4,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Mrp5,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
mTor,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
mts,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
ninaD,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Oamb,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pdk1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pepck1,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pepck2,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
pes,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pfk,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pfrx,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pi3K21B,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pi3K92E,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
plx,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pp1-13C,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pp1-87B,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pp1-Y2,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pp1alpha-96A,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pp2A-29B,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Pp4-19C,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
PpV,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
PRAS40,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Rab10,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Rab11,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Rab14,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Rab2,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Rab8,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Rab9D,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Rab9Db,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Rab9E,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
Rab9Fb,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
raptor,False,True,added,Membership determined solely by KEGG hsa04152 and high/moderate DIOPT mapping
