display_order,gene,role,reference_key,reference,doi,source_url,evidence_location,published_fly_evidence,interpretation_limit
1,AMPKalpha,AMPK alpha subunit,Pan2002,"Pan, D. A. and Hardie, D. G. (2002). A homologue of AMP-activated protein kinase in Drosophila melanogaster is sensitive to AMP and is activated by ATP depletion. Biochem. J. 367, 179–186.",10.1042/BJ20020703,https://pmc.ncbi.nlm.nih.gov/articles/PMC1222868/,Abstract and subunit-depletion experiments,Depleting the alpha subunit by dsRNA abolished AMPK activity in Drosophila cells.,Complex membership; transcript abundance does not measure kinase activity.
2,alc,AMPK beta subunit,Pan2002,"Pan, D. A. and Hardie, D. G. (2002). A homologue of AMP-activated protein kinase in Drosophila melanogaster is sensitive to AMP and is activated by ATP depletion. Biochem. J. 367, 179–186.",10.1042/BJ20020703,https://pmc.ncbi.nlm.nih.gov/articles/PMC1222868/,Abstract and subunit-depletion experiments,Depleting the beta subunit by dsRNA abolished AMPK activity in Drosophila cells.,Complex membership; transcript abundance does not measure kinase activity.
3,SNF4Agamma,AMPK gamma subunit,Pan2002,"Pan, D. A. and Hardie, D. G. (2002). A homologue of AMP-activated protein kinase in Drosophila melanogaster is sensitive to AMP and is activated by ATP depletion. Biochem. J. 367, 179–186.",10.1042/BJ20020703,https://pmc.ncbi.nlm.nih.gov/articles/PMC1222868/,Abstract and subunit-depletion experiments,Depleting the gamma subunit by dsRNA abolished AMPK activity in Drosophila cells.,Complex membership; transcript abundance does not measure kinase activity.
4,Lkb1,Upstream regulator,Castanieto2014,"Castanieto, A., Johnston, M. J. and Nystul, T. G. (2014). EGFR signaling promotes self-renewal through the establishment of cell polarity in Drosophila follicle stem cells. eLife 3, e04437.",10.7554/eLife.04437,https://pmc.ncbi.nlm.nih.gov/articles/PMC4298699/,Figure 7—figure supplement 1D–E and associated Results,Phospho-AMPK staining was absent from Lkb1-mutant follicle stem-cell clones while detectable in neighboring wild-type cells.,"Supports an upstream relationship in the tested tissue, not a universal transcriptional response."
5,Sesn,Sestrin; AMPK–TOR feedback regulator,Lee2010,"Lee JH, Budanov AV, Park EJ, Birse R, Kim TE, Perkins GA, Ocorr K, Ellisman MH, Bodmer R, Bier E, Karin M. (2010). Sestrin as a feedback inhibitor of TOR that prevents age-related pathologies. Science (New York, N.Y.).",10.1126/science.1182228,https://pubmed.ncbi.nlm.nih.gov/20203043/,AMPK/TOR rescue and signaling experiments.,Fly Sestrin has experimental links to AMPK activation and TOR restraint. AMPK activation rescues dSesn phenotypes.,Sesn is a supported pathway-associated original member. It need not be removed merely because it is not an AMPK subunit.
6,ACC,Metabolic effector,Pan2002,"Pan, D. A. and Hardie, D. G. (2002). A homologue of AMP-activated protein kinase in Drosophila melanogaster is sensitive to AMP and is activated by ATP depletion. Biochem. J. 367, 179–186.",10.1042/BJ20020703,https://pmc.ncbi.nlm.nih.gov/articles/PMC1222868/,Abstract and ACC phosphorylation experiments,The conserved AMPK-regulated ACC site became phosphorylated during oligomycin treatment or hypoxia in fly cells.,Phosphorylation evidence; ACC mRNA is not an AMPK activity assay.
7,gig,TSC2 signaling mediator,Kim2015,"Kim, M. and Lee, J. H. (2015). Identification of an AMPK phosphorylation site in Drosophila TSC2 (gigas) that regulate cell growth. Int. J. Mol. Sci. 16, 7015–7026.",10.3390/ijms16047015,https://pmc.ncbi.nlm.nih.gov/articles/PMC4425001/,Figures 3 and 4; sections 2.4 and 2.5,Fly TSC2 was phosphorylated by AMPK at Ser1338 in vitro; site mutation weakened growth suppression in flies.,Direct substrate evidence; transcript abundance does not report phosphorylation.
8,S6k,TOR-linked translation output,Kim2015,"Kim, M. and Lee, J. H. (2015). Identification of an AMPK phosphorylation site in Drosophila TSC2 (gigas) that regulate cell growth. Int. J. Mol. Sci. 16, 7015–7026.",10.3390/ijms16047015,https://pmc.ncbi.nlm.nih.gov/articles/PMC4425001/,Figure 1c; section 2.2,AMPK or TSC2 depletion increased S6K phosphorylation and weakened its inhibition during energy stress in S2 cells.,"Downstream TOR output, not asserted to be a direct AMPK substrate."
9,Thor,TOR-linked translation output,Kim2015,"Kim, M. and Lee, J. H. (2015). Identification of an AMPK phosphorylation site in Drosophila TSC2 (gigas) that regulate cell growth. Int. J. Mol. Sci. 16, 7015–7026.",10.3390/ijms16047015,https://pmc.ncbi.nlm.nih.gov/articles/PMC4425001/,Figure 1b; section 2.1,Energy depletion induced AMPK phosphorylation and reduced 4E-BP phosphorylation in fly cells.,A downstream phosphoprotein readout; the experiment does not establish direct AMPK phosphorylation of Thor.
10,Atg1,Autophagy mediator,Ulgherait2014,"Ulgherait, M., Rana, A., Rera, M., Graniel, J. and Walker, D. W. (2014). AMPK modulates tissue and organismal aging in a non-cell-autonomous manner. Cell Rep. 8, 1767–1780.",10.1016/j.celrep.2014.08.006,https://pmc.ncbi.nlm.nih.gov/articles/PMC4177313/,Results on neuronal Atg1 and AMPK-mediated lifespan extension,Neuronal Atg1 was required for AMPK-associated lifespan extension and mediated autophagy-related organismal effects.,Functional downstream connection; direct phosphorylation of fly Atg1 is not claimed.
11,Atg8a,Autophagy protein and reporter,Ulgherait2014,"Ulgherait M, Rana A, Rera M, Graniel J, Walker DW. (2014). AMPK modulates tissue and organismal aging in a non-cell-autonomous manner. Cell reports.",10.1016/j.celrep.2014.08.006,https://pubmed.ncbi.nlm.nih.gov/25199830/,"Intestinal autophagy-gene expression panel, 10-day-old flies.",Neuronal AMPK upregulation increases intestinal Atg8a transcript abundance.,Supports a downstream response in that context. It is neither an AMPK subunit nor proof of direct phosphorylation.
