"FLYBASE","SYMBOL","ALIAS"
"FBgn0000404","CycA","0033/02"
"FBgn0000404","CycA","0040/24"
"FBgn0000404","CycA","0046/23"
"FBgn0000404","CycA","0104/07"
"FBgn0000404","CycA","0245/34"
"FBgn0000404","CycA","0521/06"
"FBgn0000404","CycA","0545/13"
"FBgn0000404","CycA","1329/16"
"FBgn0000404","CycA","1449/05"
"FBgn0000404","CycA","CG5940"
"FBgn0000404","CycA","CLD3"
"FBgn0000404","CycA","CYCA"
"FBgn0000404","CycA","CYCLIN A"
"FBgn0000404","CycA","Cyc A"
"FBgn0000404","CycA","CyclinA"
"FBgn0000404","CycA","DmcycA"
"FBgn0000404","CycA","Dmel\CG5940"
"FBgn0000404","CycA","S(rux)3B"
"FBgn0000404","CycA","anon-WO0140519.128"
"FBgn0000404","CycA","cycA"
"FBgn0000404","CycA","cyclin A"
"FBgn0000404","CycA","dCycA"
"FBgn0000404","CycA","hari"
"FBgn0000404","CycA","l(3)03946"
"FBgn0000404","CycA","l(3)183"
"FBgn0000404","CycA","l(3)68Ea"
"FBgn0000404","CycA","l(3)j3C8"
"FBgn0000404","CycA","l(3)neo114"
"FBgn0000404","CycA","l(3)rsg11"
"FBgn0000404","CycA","rsg11"
"FBgn0000404","CycA","CycA"
"FBgn0000405","CycB","2g"
"FBgn0000405","CycB","3510"
"FBgn0000405","CycB","CG3510"
"FBgn0000405","CycB","CYC-B"
"FBgn0000405","CycB","CYCB"
"FBgn0000405","CycB","CYCLIN B"
"FBgn0000405","CycB","Cyc B"
"FBgn0000405","CycB","Cycb"
"FBgn0000405","CycB","Cyclin B1"
"FBgn0000405","CycB","DmcycB"
"FBgn0000405","CycB","Dmel\CG3510"
"FBgn0000405","CycB","chr2R:18312808..18312907"
"FBgn0000405","CycB","cyc B"
"FBgn0000405","CycB","cyc-B"
"FBgn0000405","CycB","cycB"
"FBgn0000405","CycB","cycb"
"FBgn0000405","CycB","cyclin B"
"FBgn0000405","CycB","cyclinB"
"FBgn0000405","CycB","cyclinB1"
"FBgn0000405","CycB","mAbF2F4"
"FBgn0000405","CycB","CycB"
"FBgn0000559","eEF2","CG2238"
"FBgn0000559","eEF2","Dmel\CG2238"
"FBgn0000559","eEF2","EF-2"
"FBgn0000559","eEF2","EF-2b"
"FBgn0000559","eEF2","EF2"
"FBgn0000559","eEF2","EF2B"
"FBgn0000559","eEF2","EF2b"
"FBgn0000559","eEF2","Ef2"
"FBgn0000559","eEF2","Ef2B"
"FBgn0000559","eEF2","Ef2b"
"FBgn0000559","eEF2","anon-EST:Liang-1.44"
"FBgn0000559","eEF2","chr2L:21668915..21669164"
"FBgn0000559","eEF2","clone 1.44"
"FBgn0000559","eEF2","eF2"
"FBgn0000559","eEF2","ef2b"
"FBgn0000559","eEF2","eEF2"
"FBgn0000568","Eip75B","57B"
"FBgn0000568","Eip75B","75B"
"FBgn0000568","Eip75B","BcDNA:GM02640"
"FBgn0000568","Eip75B","CG8127"
"FBgn0000568","Eip75B","DmE75"
"FBgn0000568","Eip75B","DmE75A"
"FBgn0000568","Eip75B","DmE75B"
"FBgn0000568","Eip75B","Dmel\CG8127"
"FBgn0000568","Eip75B","E75"
"FBgn0000568","Eip75B","E75-C"
"FBgn0000568","Eip75B","E75A"
"FBgn0000568","Eip75B","E75B"
"FBgn0000568","Eip75B","E75C"
"FBgn0000568","Eip75B","EP1121b"
"FBgn0000568","Eip75B","EiP75"
"FBgn0000568","Eip75B","Eip75"
"FBgn0000568","Eip75B","Eip75 A"
"FBgn0000568","Eip75B","Eip75A"
"FBgn0000568","Eip75B","Mgn00274"
"FBgn0000568","Eip75B","NR1D3"
"FBgn0000568","Eip75B","REV-ERB&agr"
"FBgn0000568","Eip75B","Rev-Erb"
"FBgn0000568","Eip75B","anon-WO0172774.31"
"FBgn0000568","Eip75B","anon-WO0172774.32"
"FBgn0000568","Eip75B","dE75"
"FBgn0000568","Eip75B","eip75B"
"FBgn0000568","Eip75B","eip75a"
"FBgn0000568","Eip75B","l(3)07041"
"FBgn0000568","Eip75B","l(3)j11A6"
"FBgn0000568","Eip75B","l(3)j12E8"
"FBgn0000568","Eip75B","l(3)j3A6"
"FBgn0000568","Eip75B","l(3)j5E1"
"FBgn0000568","Eip75B","l(3)neo25"
"FBgn0000568","Eip75B","Eip75B"
"FBgn0000711","flw","CG15305"
"FBgn0000711","flw","CG2096"
"FBgn0000711","flw","DmPp1-9C"
