module,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status,original_module,shown_in_revised_figure,audit_assessment,decision_reason,biological_role,published_evidence,experimental_context,interpretation_limit,evidence_location,citation,source_urls,flybase_id,human_entrez_ids,human_symbols,diopt_confidence_levels,mapping_rule,source,display_column,component_group_order,component_group,subunit_display_order,grouping_rationale,grouping_reference,in_full_orthology_survey,display_order,role,reference_key,reference,doi,source_url,published_fly_evidence
FOXO-associated genes,ImpL2,897.934924194773,0.948456418174197,0.163715812558672,5.79330978083925,6.9012641722806705e-9,1.09480480145797e-6,Up in CS,FOXO,true,Context-dependent,Retained as an association; the caption and evidence table qualify the mechanism.,Secreted insulin-signaling antagonist,ImpL2 expression changes after dfoxo deletion. The adult study does not detect nearby dFOXO binding.,Adult female D. melanogaster; transcriptomics and ChIP-chip.,"Supports an IIS/FOXO-associated gene, not a universally activated direct FOXO target.","Results and Discussion, Imp-L2 and extracellular IIS components.",Alic N et al. (2011),https://pubmed.ncbi.nlm.nih.gov/21694719/,,,,,,,,,,,,,,,,,,,,
FOXO-associated genes,GstE1,1205.19223529725,0.196240964862774,0.172905026549951,1.13496390925386,0.256390440414966,0.863826083928599,Not significant,FOXO,true,Supported,Retained with individual experimental publication support.,Glutathione S-transferase; stress response,"GstE1 mRNA decreases in two foxo-mutant larval genotypes, shown individually in Fig. 3A.",D. melanogaster whole third-instar larvae; qPCR.,Expression dependence supports inclusion. The six promoters tested by ChIP in Fig. 4 do not include GstE1.,"Fig. 3A visually checked; Results, Foxo-dependent expression.",Liu X et al. (2014),https://pubmed.ncbi.nlm.nih.gov/25329053/,,,,,,,,,,,,,,,,,,,,
FOXO-associated genes,Atg6,344.685225796534,0.194568887651398,0.167988240766312,1.15822921154381,0.246770510432438,0.854057962544853,Not significant,FOXO,true,Context-dependent,Retained as an association; the caption and evidence table qualify the mechanism.,Autophagy component,FOXO represses the Activin ligand daw. Inhibiting daw/Smox increases Atg6 expression in muscle.,D. melanogaster adult muscle.,Supports an indirect FOXO–Activin–autophagy relationship rather than verified direct FOXO binding at Atg6.,"Results, Activin suppression and autophagy-gene expression.",Bai H et al. (2013),https://pubmed.ncbi.nlm.nih.gov/24244197/,,,,,,,,,,,,,,,,,,,,
FOXO-associated genes,Ilp6,1022.04102563083,0.192525692463826,0.157485311817522,1.22249935719024,0.221518846826132,0.826306514442164,Not significant,FOXO,true,Supported,Retained with individual experimental publication support.,Insulin-like peptide 6 (dilp6),Fat-body dFOXO increases dilp6 expression. dilp6 knockdown blocks effects of fat-body dFOXO.,Adult D. melanogaster fat body and endocrine signaling.,Tissue-specific functional evidence. It does not establish direct promoter binding in the manuscript samples.,Abstract and results on dFOXO-dependent dilp6 expression.,Bai H et al. (2012),https://pubmed.ncbi.nlm.nih.gov/22935001/,,,,,,,,,,,,,,,,,,,,
FOXO-associated genes,puc,92.8845043036689,0.111232390832187,0.315553940822509,0.352498816976438,0.72446420552341,0.993770176584022,Not significant,FOXO,true,Supported,Retained with individual experimental publication support.,Puckered; JNK-feedback phosphatase,dFOXO binding at puc is reported in two longevity genotypes. A second study uses puc as a Foxo-bound promoter.,D. melanogaster adult ChIP-seq and larval ChIP.,Binding supports association but does not specify the direction of regulation in dMIC60 samples.,"Bai et al., Results and Table S1; Liu et al., Fig. 6A.",Bai H et al. (2013); Liu X et al. (2014),"https://pubmed.ncbi.nlm.nih.gov/24244197/
https://pubmed.ncbi.nlm.nih.gov/25329053/",,,,,,,,,,,,,,,,,,,,
FOXO-associated genes,Rbf,251.685152922361,-0.07651931511896,0.228722309119603,-0.334551165618684,0.73796368817579,0.99417184827796,Not significant,FOXO,true,Context-dependent,Retained as an association; the caption and evidence table qualify the mechanism.,Retinoblastoma-family cell-cycle regulator,A primary research note reports that Rbf knockdown modifies the eye phenotype caused by foxo overexpression.,D. melanogaster eye; genetic interaction.,A brief Research Notes report supports a genetic association. It does not establish Rbf as a direct FOXO target.,"Research Notes pp. 65–68, Fig. 2 and Results.",Hasan A et al. (2019),https://www.ou.edu/journals/dis/DIS102/DIS102.pdf#page=71,,,,,,,,,,,,,,,,,,,,
FOXO-associated genes,Cat,9816.339828261,-0.101689783406426,0.148786927467805,-0.683459125993647,0.494316769718095,0.981088878936134,Not significant,FOXO,true,Context-dependent,Retained as an association; the caption and evidence table qualify the mechanism.,Catalase; peroxide detoxification,Catalase and Foxo each suppress ROS-associated hemocyte expansion in a fly AML1-ETO model.,D. melanogaster hemocytes; genetic suppression.,Shared antioxidant phenotypes support context. Direct dFOXO regulation of the Cat locus was not established from these experiments.,Fig. 4 and section on Foxo/SOD2 and ROS-positive precursors.,Sinenko SA et al. (2010),https://pubmed.ncbi.nlm.nih.gov/20688956/,,,,,,,,,,,,,,,,,,,,
FOXO-associated genes,Sesn,18.3803408344283,0.135302824013738,0.594207860074658,0.227702851316604,0.819877255636361,0.99686926944711,Not significant,FOXO,true,Supported,Retained with individual experimental publication support.,Sestrin; stress and nutrient feedback,"Chronic TOR activation induces dSesn through ROS, JNK and FoxO.",D. melanogaster; genetic and signaling experiments.,"A feedback-regulated gene, not a specific readout of FOXO activity from RNA abundance alone.","Abstract and Results, ROS/JNK/FoxO-dependent dSesn induction.",Lee JH et al. (2010),https://pubmed.ncbi.nlm.nih.gov/20203043/,,,,,,,,,,,,,,,,,,,,
FOXO-associated genes,bmm,9.17574001125166,-0.0560663210166242,0.899072812535546,-0.0623601561908064,0.950276023928612,0.997029291296654,Not significant,FOXO,true,Supported,Retained with individual experimental publication support.,Brummer; triglyceride lipase,The SIK3–HDAC4 study links FOXO to bmm promoter regulation and lipolysis.,D. melanogaster fat body; feeding and fasting.,The studied upstream kinase is SIK3. Membership in the AMPK kinase family is not the same as canonical AMPK.,"Results, FOXO-dependent bmm expression and promoter association.",Wang B et al. (2011),https://pubmed.ncbi.nlm.nih.gov/21565616/,,,,,,,,,,,,,,,,,,,,
FOXO-associated genes,Atg8a,1084.02343688805,-0.0978500482060776,0.179519046548487,-0.545067780201524,0.585706901425795,0.985837710662917,Not significant,FOXO,true,Context-dependent,Retained as an association; the caption and evidence table qualify the mechanism.,Autophagy protein,"FOXO–Activin signaling affects Atg8a expression. Smox binds its promoter, while dFOXO binding is not detected in that assay.",D. melanogaster adult muscle.,Supports an indirect relationship. Do not describe the cited study as proving direct dFOXO binding to Atg8a.,Autophagy results and Fig. S6E.,Bai H et al. (2013),https://pubmed.ncbi.nlm.nih.gov/24244197/,,,,,,,,,,,,,,,,,,,,
