experiment,dose_mM,genotype,mean_pct,technical_n
7.15.26,0,CS,100.0,3
7.15.26,0,WT,100.0,3
7.15.26,20,CS,42.90188091342751,3
7.15.26,20,WT,24.73212778776519,3
7.15.26,40,CS,13.435640262233639,3
7.15.26,40,WT,8.439747137290203,3
7.28.26,0,CS,100.0,6
7.28.26,0,WT,100.00000000000001,6
7.28.26,5,CS,61.89519592482534,6
7.28.26,5,WT,48.23510936214185,6
7.28.26,10,CS,59.41858496630462,6
7.28.26,10,WT,45.29362418300536,6
7.28.26,20,CS,43.20725483937937,6
7.28.26,20,WT,31.568442173671027,6
7.28.26,40,CS,24.665671927421702,6
7.28.26,40,WT,17.908919825161586,6
