"value","genotype","treatment"
0.4473389,"WT","Vehicle"
0.45565189,"WT","Vehicle"
0.99846407,"WT","Vehicle"
0.38749664,"WT","Vehicle"
0.20114778,"WT","Vehicle"
0.16495405,"WT","Vehicle"
0.29654247,"WT","Vehicle"
0.2199158,"WT","Vehicle"
0.26262401,"WT","Vehicle"
0.20205214,"WT","Vehicle"
0.1608873,"WT","Vehicle"
0.22910678,"WT","Vehicle"
0.2612368,"WT","Vehicle"
0.2283014,"WT","Vehicle"
0.32247744,"WT","Vehicle"
0.4061772,"WT","Vehicle"
0.23757649,"CS","Vehicle"
0.25376107,"CS","Vehicle"
0.24223687,"CS","Vehicle"
0.18886326,"CS","Vehicle"
0.60204206,"CS","Vehicle"
0.297239,"CS","Vehicle"
0.36872824,"CS","Vehicle"
0.52767622,"CS","Vehicle"
0.8495919,"CS","Vehicle"
0.58992584,"CS","Vehicle"
0.40601091,"CS","Vehicle"
0.89487882,"CS","Vehicle"
1.08033126,"CS","Vehicle"
0.53094542,"CS","Vehicle"
1.14329337,"CS","Vehicle"
0.70871911,"CS","Vehicle"
0.16248447,"WT","H2O2"
0.14620943,"WT","H2O2"
0.25233913,"WT","H2O2"
0.32012627,"WT","H2O2"
0.4059782,"WT","H2O2"
0.25167899,"WT","H2O2"
0.42788096,"WT","H2O2"
0.23933347,"WT","H2O2"
0.72082628,"WT","H2O2"
0.64102397,"WT","H2O2"
0.26393971,"WT","H2O2"
0.27955717,"WT","H2O2"
0.17988471,"WT","H2O2"
0.24928765,"WT","H2O2"
0.15292028,"WT","H2O2"
0.9560703,"WT","H2O2"
0.45049808,"CS","H2O2"
0.778668,"CS","H2O2"
0.66299081,"CS","H2O2"
0.89889875,"CS","H2O2"
0.80554364,"CS","H2O2"
0.38901083,"CS","H2O2"
0.79410908,"CS","H2O2"
0.88849809,"CS","H2O2"
0.68000869,"CS","H2O2"
0.26938287,"CS","H2O2"
0.96526042,"CS","H2O2"
0.41981026,"CS","H2O2"
0.37044487,"CS","H2O2"
0.55980678,"CS","H2O2"
0.41023498,"CS","H2O2"
0.40548635,"CS","H2O2"
