"","CSF1","CSF2","CSF3","CSM1","CSM2","CSM3","WRF1","WRF2","WRF3","WRM1","WRM2","WRM3"
"128up",9.00941491240278,8.93566741407754,8.88441451707592,9.33354420209537,9.38800635500428,9.14535031234062,8.88910535143341,8.98960764293992,9.23627613971209,9.24715374842563,9.19750420174611,9.17947745135655
"14-3-3epsilon",5.63947426977502,5.14814676339013,5.71914216450441,5.75328239172959,5.6133150834006,5.57897575404386,5.73730654888169,5.64365987509215,5.78291861843985,6.31939274735741,5.9109003784586,5.96851258737158
"14-3-3zeta",1.83446757017794,0.36811152858435,-0.557793164684676,2.30010335316268,0.394832879991272,0.283747775182405,-0.594153112656647,0.995306466717369,2.03947985614716,0.412863870751612,1.45835537289381,1.33916688553056
"140up",-2.24399285460931,-2.25406124859994,-1.89982807641124,-2.24918659337996,-2.24806129331614,-2.27314366054774,-2.24857692207787,-2.2362109283528,-2.24154061156571,-2.24402405419704,-2.27014447757272,-2.24159378253593
"18SrRNA:CR41548",0,0,0,0,0,0,0,0,0,0,0,0
"18SrRNA:CR45838",0,0,0,0,0,0,0,0,0,0,0,0
"18SrRNA:CR45841",0,0,0,0,0,0,0,0,0,0,0,0
"18w",8.89455464328029,8.92786718562387,9.02023623985463,8.46297649142276,8.76911596027863,8.83800866238156,8.97648889584683,8.826202086662,8.76544401323931,8.8920366287978,8.80116217699909,8.67824204800877
"28SrRNA:CR45837",0,0,0,0,0,0,0,0,0,0,0,0
"28SrRNA:CR45844",0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45836",0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45840",0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45843",0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45864",0,0,0,0,0,0,0,0,0,0,0,0
"2mit",0,0,0,0,0,0,0,0,0,0,0,0
"4E-T",-1.05867580068559,-1.83049793024347,-1.78811319074479,-1.81960317125022,-1.81708814763578,-0.666854752129417,-1.0689211017428,-1.79060281391852,-1.80251455156862,-1.80806499723523,-1.86644363216176,-1.80263338764623
"5-HT1A",0,0,0,0,0,0,0,0,0,0,0,0
"5-HT1B",0,0,0,0,0,0,0,0,0,0,0,0
"5-HT2A",3.91858113266071,4.10662165057261,4.8379184170526,3.65314746864066,3.47399187352893,3.10400873668677,4.44035211249805,4.52120828597975,3.40760296500997,4.51332036258547,2.4971222557297,4.18650238952273
"5-HT2B",4.670935083706,4.30965911783348,5.10275712118113,4.91135392388184,4.64523106024929,5.05969965577795,5.27264898292472,4.84598868918174,4.20216162617729,5.16633038364764,5.05226481849684,4.96025388522859
"5-HT7",4.34569807595126,3.23788021839574,4.09884024389407,4.55187414215726,4.20849101768385,4.44034722440254,4.7902081829683,4.09190477724652,4.30674919014093,5.12992003453,4.18051081374458,4.79980235002238
"5.8SrRNA:CR40454",0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR45839",0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR45842",0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR45852",0,0,0,0,0,0,0,0,0,0,0,0
"5PtaseI",6.82882363203494,6.81696572348061,6.43959089233103,6.09830043252835,6.49697437690624,6.60106838062044,6.49363481167833,6.56175894269835,6.51482527322359,6.61607600821226,6.57204498648747,6.56289606784822
"5SrRNA:CR33353",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33354",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33355",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33357",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33358",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33359",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33360",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33361",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33362",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33364",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33365",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33366",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33367",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33368",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33369",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33370",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33372",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33373",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33374",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33375",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33376",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33377",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33378",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33379",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33380",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33381",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33382",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33383",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33384",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33385",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33386",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33387",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33388",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33389",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33390",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33391",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33392",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33393",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33394",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33395",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33396",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33397",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33398",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33399",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33400",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33401",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33402",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33403",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33404",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33405",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33406",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33407",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33408",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33409",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33410",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33411",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33412",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33413",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33414",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33415",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33417",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33418",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33419",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33420",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33421",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33422",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33423",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33424",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33425",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33426",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33427",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33428",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33429",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33430",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33431",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33432",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33433",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33434",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33435",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33436",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33437",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33438",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33439",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33440",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33441",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33442",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33443",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33444",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33445",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33446",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33447",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33448",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33449",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33450",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33451",0,0,0,0,0,0,0,0,0,0,0,0
"5SrRNA:CR33452",0,0,0,0,0,0,0,0,0,0,0,0
"7B2",0,0,0,0,0,0,0,0,0,0,0,0
"7SLRNA:CR32864",1.07372712706338,2.09626544381755,2.41895680905258,3.14538309378672,2.52321578995401,1.98904653801284,2.81337580668317,1.592305258002,3.37434473487563,2.54724053120047,3.01392686330253,2.38095575443293
"7SLRNA:CR42652",1.55203128654008,2.48481987092705,1.59708761488815,3.23588596886476,2.93688036534057,1.7315709061611,2.12438848818046,2.40960454397173,3.52721210572127,2.54448379959601,2.00304037404194,2.71551626433434
"825-Oak",8.90215477720385,9.24968449207459,8.00417359928987,6.56407916109893,7.05624098327773,7.3257653893402,8.79385058754549,6.5789697161136,8.99140548151732,8.7236527798588,7.23473656687811,8.31912509813314
"AANATL2",-1.71286404696058,-0.361333844579604,-1.689390537483,-1.72656876550115,-1.72359943621266,-0.0973318628360218,-1.72496002583088,-1.6923298780779,-1.70639331321949,-1.71294637331299,-0.948346265218555,-1.70653361545909
"AANATL3",5.06415226482325,4.42977533566474,4.55331014664378,2.44863105477221,2.45453507108463,1.64456637447271,6.25466923332464,5.75908567180495,4.7942984712005,4.05777454940999,3.8257943682151,4.59891170827371
"AANATL4",2.26997568862439,2.02217417747075,1.26588830086441,1.82796100527855,0.67792782921283,2.39399122070959,2.78783088052244,2.75113595235759,2.28484872398027,-0.233063739977945,0.577282533926012,-0.225721033001383
"AANATL5",0,0,0,0,0,0,0,0,0,0,0,0
"AANATL6",-1.8018848922494,0.54371468711882,-1.77657339437869,-1.81666269760865,-1.81346086824288,-0.431828929885828,-1.81492799275859,-1.77974288692007,-1.79490749658276,-1.8019736647994,-1.8762944093714,-1.79505878456304
"AANATL7",-1.10895485105643,-1.14890132673422,-1.07366041281777,2.41661840402981,2.19484728136075,-1.22352362282174,-1.12714219452041,0.0539078924431896,1.33916818918935,-1.10907863580039,-0.102182463942484,1.03689552011801
"ABCB7",3.07772149090684,1.83342169034184,1.59393587017628,2.51618705703725,1.04866851475881,2.78558129709203,2.6761576165393,1.58817955863595,3.53374607259239,2.36588627691771,2.54601427260097,3.37629290644097
"ACC",4.51868832185886,4.77691170774525,4.66571008591514,3.81027753541689,4.04360846246265,4.37847375406129,4.73977425900998,5.11844349054407,4.33085862796352,4.13530716453066,4.67265576447547,4.08357554051469
"ACOX1",10.239650197561,10.3632160521678,10.2317254541743,10.2512093510056,10.3395525643771,10.1362871367188,10.1957618954821,10.2746216631977,10.4143969836255,10.2468534873457,10.479672894734,10.2175444028218
"ACXA",0,0,0,0,0,0,0,0,0,0,0,0
"ACXB",0.811876928162017,1.4817368048179,1.5706166383482,6.57267477594378,6.19084632233193,6.78795316919775,0.795575247580345,0.839660741353643,0.82061744598571,6.20910824317507,5.98105462873929,6.42965057038673
"ACXC",0,0,0,0,0,0,0,0,0,0,0,0
"ACXD",0,0,0,0,0,0,0,0,0,0,0,0
"ACXE",1.30490426159045,0.489525868868447,2.42384885847326,5.51495161094835,5.45485191234524,5.62488652571649,0.509137756174872,0.55355174421581,0.53437781993361,5.35421852731956,4.98356182655525,5.22693053691164
"ADD1",7.25195374039862,7.07001095557098,7.16690739971444,7.57401012730625,7.46639634114672,7.65197753718981,7.22966842425744,6.92732243995245,6.88343954745968,7.8370132038299,7.65844040232908,7.76879352997683
"AGBE",9.69462706833151,10.5491964037955,9.78983492967285,9.11735155168669,9.26708188546628,8.93176198095371,10.3248635725238,9.96846077832966,9.57494724837187,9.27237321243738,9.22630703957572,9.24542078488317
"AGO1",7.27968457407338,6.8717154351004,7.18247607367211,7.00016585809489,6.9728301924385,7.2610053434451,7.38575396250019,7.21422398152174,6.69670040591964,7.31345793215879,7.03052109550541,7.02335927127646
"AGO2",0,0,0,0,0,0,0,0,0,0,0,0
