"","CSF1","CSF2","CSF3","CSM1","CSM2","CSM3","WRF1","WRF2","WRF3","WRM1","WRM2","WRM3"
"timeout",1.03000118817634,1.04232376134695,0.967287009244418,0.860081948727993,0.94600685971647,0.851618462810405,-0.861697051938124,-1.0422383803722,-1.24722672116208,-0.76200928979801,-0.876522973294699,-0.907624813457461
"Nmdar1",0.985764876462909,0.973991044000246,1.23355350582793,0.169193110378293,0.474095878203317,1.48858044197375,-0.755382386018029,-1.18084682543232,-1.23704930932478,-0.759745791469552,-0.849596467548958,-0.54255807705279
"AsnS",1.59809858654652,1.5269949692897,1.37266143701993,0.230114708866034,-0.195587815392425,-0.176701045160987,-0.667515873743841,-0.464974468722068,-0.781504128590058,-0.517687971881163,-1.56049596327741,-0.363402434954222
"CG1304",1.47002177116666,1.62050717605752,1.57366053915015,0.214729763495149,-0.10513246721068,-0.913293984177832,-0.87889015907621,-0.322425443804868,-0.333589101398279,-0.872502322214297,-0.583994326048136,-0.869091445939172
"CG31436",1.15999999515921,1.39356914479533,1.32314352743175,0.321652573250301,0.681314018538093,0.447083971510208,-0.959926588426035,-0.609208094404125,-0.552482430885503,-0.886664366304819,-0.911814015477042,-1.40666773518734
"dbf",0.0498843584012686,-0.0618488764818693,0.182505101375653,0.844843023146795,0.862461168770578,0.899053809817599,-1.47878813647156,-1.61848358835681,-1.6212142160881,0.674522197508894,0.600858924837547,0.666206233540002
"CG9360",1.55101938703027,1.39266432871136,1.66225935506638,-0.535783702121631,-0.752513492292625,-1.07693987088824,-0.0681509065609234,0.0743486290014779,0.0539601481401328,-0.989417637874819,-0.771052442677673,-0.54039379553371
"CG13367",1.85493379024564,1.4699588023252,1.57569127702116,-0.42380133859466,-0.487950368548288,-0.628416484296617,-0.886349334903541,-0.305296168014082,-0.556352648449454,-0.559182559722522,-0.372763507063786,-0.680471459999029
"lncRNA:CR46123",1.07129328351291,1.08303795094474,1.05297700225491,1.0131237788642,0.581451898744404,0.893585103699392,-0.951301974326677,-0.935252844126114,-0.942179876716338,-0.945402555870911,-0.979082857784021,-0.942248909196495
"CG11893",0.959433168821227,0.955692213823355,0.731475674066308,1.05473396333469,1.11513259092811,0.802386054981871,-0.895353497091813,-1.43007108418831,-0.600628932911458,-0.894110929787059,-0.841535458460009,-0.957153763516911
