"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","sex","direction"
"BP","GO:0044419","biological process involved in interspecies interaction between organisms","30/88","333/5982",0.0900900900900901,6.12407862407862,11.7564252231258,1.02734314587362e-16,6.9859333919406e-14,6.65069510223447e-14,"TotZ/LysP/LysX/AttD/sau/TotA/LysD/CG12780/LysE/Nazo/DptA/CG14499/TotX/Sting/Drs/Spn88Eb/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/IBIN/BomS1/BomBc1/CRIF/Tep2/AttC",30,"female","down"
"BP","GO:0009607","response to biotic stimulus","28/88","302/5982",0.0927152317880795,6.30252859723058,11.5540833067827,6.77752103090247e-16,1.15217857525342e-13,1.09688827210658e-13,"TotZ/LysP/LysX/AttD/TotA/LysD/CG12780/LysE/Nazo/DptA/TotX/Sting/Drs/Spn88Eb/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/IBIN/BomS1/BomBc1/CRIF/Tep2/AttC",28,"female","down"
"BP","GO:0043207","response to external biotic stimulus","28/88","302/5982",0.0927152317880795,6.30252859723058,11.5540833067827,6.77752103090247e-16,1.15217857525342e-13,1.09688827210658e-13,"TotZ/LysP/LysX/AttD/TotA/LysD/CG12780/LysE/Nazo/DptA/TotX/Sting/Drs/Spn88Eb/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/IBIN/BomS1/BomBc1/CRIF/Tep2/AttC",28,"female","down"
"BP","GO:0051707","response to other organism","28/88","302/5982",0.0927152317880795,6.30252859723058,11.5540833067827,6.77752103090247e-16,1.15217857525342e-13,1.09688827210658e-13,"TotZ/LysP/LysX/AttD/TotA/LysD/CG12780/LysE/Nazo/DptA/TotX/Sting/Drs/Spn88Eb/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/IBIN/BomS1/BomBc1/CRIF/Tep2/AttC",28,"female","down"
"BP","GO:0009617","response to bacterium","21/88","176/5982",0.119318181818182,8.11092458677686,11.699493555759,3.81761370248529e-14,5.19195463537999e-12,4.94280510953358e-12,"TotZ/LysP/LysX/AttD/TotA/LysD/LysE/DptA/TotX/Sting/Drs/edin/PPO1/Uev1A/PGRP-SC2/TotC/Mtk/BomS1/BomBc1/Tep2/AttC",21,"female","down"
"BP","GO:0098542","defense response to other organism","22/88","274/5982",0.0802919708029197,5.45802919708029,9.22995065473542,2.99213209615853e-11,3.391083042313e-09,3.22835305111842e-09,"LysP/LysX/AttD/LysD/CG12780/LysE/Nazo/DptA/Sting/Drs/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/Mtk/BomS1/BomBc1/CRIF/Tep2/AttC",22,"female","down"
"BP","GO:0006952","defense response","22/88","281/5982",0.0782918149466192,5.3220640569395,9.06759282626079,4.93261019886758e-11,4.79167847889993e-09,4.5617372515843e-09,"LysP/LysX/AttD/LysD/CG12780/LysE/Nazo/DptA/Sting/Drs/Srg2/Tep1/edin/PPO1/Uev1A/PGRP-SC2/Mtk/BomS1/BomBc1/CRIF/Tep2/AttC",22,"female","down"
"BP","GO:0042742","defense response to bacterium","16/88","157/5982",0.101910828025478,6.92762015055009,9.19613628059772,6.6919319359195e-10,5.68814214553157e-08,5.41518176393486e-08,"LysP/LysX/AttD/LysD/LysE/DptA/Sting/Drs/edin/PPO1/Uev1A/PGRP-SC2/Mtk/BomBc1/Tep2/AttC",16,"female","down"
"CC","GO:0005615","extracellular space","17/80","347/5833",0.0489913544668588,3.57208213256484,5.82543327806117,3.19049410729326e-06,0.000417954728055417,0.000396292952274321,"TotZ/LysP/LysX/TotA/LysD/LysE/TotX/Drs/Spn88Eb/Tep1/edin/TotC/IBIN/Tep2/AttC/CG10031/Ance-2",17,"female","down"
"CC","GO:0000314","organellar small ribosomal subunit","4/80","23/5833",0.173913043478261,12.6804347826087,6.61822343100805,0.000238279437901432,0.0104048687883625,0.00986560479732245,"mRpS33/mRpS18C/mRpS18A/mRpS17",4,"female","down"
"CC","GO:0005763","mitochondrial small ribosomal subunit","4/80","23/5833",0.173913043478261,12.6804347826087,6.61822343100805,0.000238279437901432,0.0104048687883625,0.00986560479732245,"mRpS33/mRpS18C/mRpS18A/mRpS17",4,"female","down"
"CC","GO:0000313","organellar ribosome","5/80","63/5833",0.0793650793650794,5.78670634920635,4.50428350644013,0.00161470994162747,0.0423054004706398,0.0401127943393773,"mRpS33/mRpL51/mRpS18C/mRpS18A/mRpS17",5,"female","down"
"CC","GO:0005761","mitochondrial ribosome","5/80","63/5833",0.0793650793650794,5.78670634920635,4.50428350644013,0.00161470994162747,0.0423054004706398,0.0401127943393773,"mRpS33/mRpL51/mRpS18C/mRpS18A/mRpS17",5,"female","down"
"MF","GO:0061783","peptidoglycan muralytic activity","5/77","16/5814",0.3125,23.5957792207792,10.4845865132599,1.39319950131001e-06,0.000197834329186021,0.000180382672274875,"LysP/LysX/LysD/LysE/PGRP-SC2",5,"female","down"
"MF","GO:0003796","lysozyme activity","4/77","13/5814",0.307692307692308,23.2327672327672,9.29644413165254,1.85784416397509e-05,0.00131906935642232,0.0012027096429944,"LysP/LysX/LysD/LysE",4,"female","down"
"MF","GO:0004866","endopeptidase inhibitor activity","5/77","34/5814",0.147058823529412,11.1038961038961,6.84490634417291,7.36656632232622e-05,0.00301962170043499,0.00275325032730544,"Spn88Eb/Tep1/Tep2/CG16713/CG10031",5,"female","down"
"MF","GO:0061135","endopeptidase regulator activity","5/77","35/5814",0.142857142857143,10.7866419294991,6.72735696732729,8.50597662094364e-05,0.00301962170043499,0.00275325032730544,"Spn88Eb/Tep1/Tep2/CG16713/CG10031",5,"female","down"
"MF","GO:0030414","peptidase inhibitor activity","5/77","37/5814",0.135135135135135,10.2035802035802,6.50593288298467,0.00011187774586707,0.0031773279826248,0.00289704478771572,"Spn88Eb/Tep1/Tep2/CG16713/CG10031",5,"female","down"
"MF","GO:0061134","peptidase regulator activity","5/77","47/5814",0.106382978723404,8.03260569218016,5.60781038082963,0.000355100700243959,0.0084040499057737,0.00766269932105386,"Spn88Eb/Tep1/Tep2/CG16713/CG10031",5,"female","down"
"MF","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","5/77","51/5814",0.0980392156862745,7.4025974025974,5.32010337900963,0.00052183637363867,0.0105858235795273,0.00965201112143706,"LysP/LysX/LysD/LysE/tobi",5,"female","down"
"MF","GO:0004857","enzyme inhibitor activity","5/77","59/5814",0.0847457627118644,6.39885538190623,4.82845441055707,0.00102423504731444,0.0174488728942818,0.0159096468939708,"Spn88Eb/Tep1/Tep2/CG16713/CG10031",5,"female","down"
