"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","sex","direction"
"BP","GO:0015986","proton motive force-driven ATP synthesis","3/70","10/5982",0.3,25.6371428571429,8.48397051956678,0.000173656693181052,0.054498991467928,0.0520059239782491,"knon/ATPsynG/ATP8",3,"female","up"
"BP","GO:0006754","ATP biosynthetic process","3/70","11/5982",0.272727272727273,23.3064935064935,8.05698994708157,0.000236777286044987,0.054498991467928,0.0520059239782491,"knon/ATPsynG/ATP8",3,"female","up"
"BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","3/70","13/5982",0.230769230769231,19.7208791208791,7.35217497496366,0.000403569776011106,0.054498991467928,0.0520059239782491,"knon/ATPsynG/ATP8",3,"female","up"
"BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","3/70","13/5982",0.230769230769231,19.7208791208791,7.35217497496366,0.000403569776011106,0.054498991467928,0.0520059239782491,"knon/ATPsynG/ATP8",3,"female","up"
"BP","GO:0009142","nucleoside triphosphate biosynthetic process","3/70","14/5982",0.214285714285714,18.3122448979592,7.05621339146554,0.00050933636885914,0.054498991467928,0.0520059239782491,"knon/ATPsynG/ATP8",3,"female","up"
"BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","3/70","14/5982",0.214285714285714,18.3122448979592,7.05621339146554,0.00050933636885914,0.054498991467928,0.0520059239782491,"knon/ATPsynG/ATP8",3,"female","up"
"BP","GO:0044281","small molecule metabolic process","14/70","454/5982",0.0308370044052863,2.6352422907489,3.94361698213155,0.000638914488095948,0.0585975859082284,0.0559170273792243,"AsnS/Adk3/CG14893/CG9577/Bcat/knon/Faa/Cyp6a8/CG32026/ATPsynG/ATP8/CG9521/CG5265/Galk",14,"female","up"
"BP","GO:0009060","aerobic respiration","5/70","84/5982",0.0595238095238095,5.08673469387755,4.10423681968335,0.00286709017639962,0.21841005111684,0.208418838744058,"ND2/ND4L/ND6/CG32026/mAcon2",5,"female","up"
"BP","GO:0045333","cellular respiration","5/70","87/5982",0.0574712643678161,4.91133004926108,3.99862700433339,0.0033401486351046,0.21841005111684,0.208418838744058,"ND2/ND4L/ND6/CG32026/mAcon2",5,"female","up"
"BP","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","3/70","27/5982",0.111111111111111,9.4952380952381,4.81376919061058,0.003670620634055,0.21841005111684,0.208418838744058,"ND2/ND4L/ND6",3,"female","up"
"BP","GO:0009636","response to toxic substance","4/70","55/5982",0.0727272727272727,6.21506493506493,4.22758462750979,0.00374222829016392,0.21841005111684,0.208418838744058,"CG11893/Mdr65/ort/Cyp6a8",4,"female","up"
"BP","GO:0072522","purine-containing compound biosynthetic process","4/70","60/5982",0.0666666666666667,5.69714285714286,3.97872480079289,0.00512153450943861,0.268318082071809,0.256043816635174,"Adk3/knon/ATPsynG/ATP8",4,"female","up"
"BP","GO:0006575","cellular modified amino acid metabolic process","4/70","61/5982",0.0655737704918033,5.60374707259953,3.93230822061275,0.00543323219148522,0.268318082071809,0.256043816635174,"GstD3/CG5122/CG5265/GstO1",4,"female","up"
"BP","GO:0046034","ATP metabolic process","3/70","33/5982",0.0909090909090909,7.76883116883117,4.24245628399061,0.00651266407379297,0.296228665110192,0.282677624355028,"knon/ATPsynG/ATP8",3,"female","up"
"BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","3/70","35/5982",0.0857142857142857,7.32489795918367,4.08326235479518,0.00768359962931874,0.296228665110192,0.282677624355028,"knon/ATPsynG/ATP8",3,"female","up"
"BP","GO:0009144","purine nucleoside triphosphate metabolic process","3/70","36/5982",0.0833333333333333,7.12142857142857,4.0083006829728,0.00831268438047126,0.296228665110192,0.282677624355028,"knon/ATPsynG/ATP8",3,"female","up"
"BP","GO:0009199","ribonucleoside triphosphate metabolic process","3/70","36/5982",0.0833333333333333,7.12142857142857,4.0083006829728,0.00831268438047126,0.296228665110192,0.282677624355028,"knon/ATPsynG/ATP8",3,"female","up"
"BP","GO:0009141","nucleoside triphosphate metabolic process","3/70","38/5982",0.0789473684210526,6.74661654135338,3.86663631144263,0.0096596397770114,0.296228665110192,0.282677624355028,"knon/ATPsynG/ATP8",3,"female","up"
"BP","GO:0006805","xenobiotic metabolic process","2/70","13/5982",0.153846153846154,13.1472527472527,4.77054133442406,0.00968769908056877,0.296228665110192,0.282677624355028,"CG11893/Cyp6a8",2,"female","up"
"BP","GO:0071466","cellular response to xenobiotic stimulus","2/70","13/5982",0.153846153846154,13.1472527472527,4.77054133442406,0.00968769908056877,0.296228665110192,0.282677624355028,"CG11893/Cyp6a8",2,"female","up"
"BP","GO:0015980","energy derivation by oxidation of organic compounds","5/70","112/5982",0.0446428571428571,3.81505102040816,3.27223842177267,0.00968972269052029,0.296228665110192,0.282677624355028,"ND2/ND4L/ND6/CG32026/mAcon2",5,"female","up"
"BP","GO:0017085","response to insecticide","2/70","14/5982",0.142857142857143,12.2081632653061,4.56828055474817,0.011217426199187,0.32734489181264,0.312370432915161,"Mdr65/Cyp6a8",2,"female","up"
"BP","GO:0019752","carboxylic acid metabolic process","7/70","221/5982",0.0316742081447964,2.70678733031674,2.81316572956848,0.0141980582765171,0.36692177881162,0.35013686713947,"AsnS/CG9577/Bcat/Faa/Cyp6a8/CG32026/CG5265",7,"female","up"
"BP","GO:0043436","oxoacid metabolic process","7/70","221/5982",0.0316742081447964,2.70678733031674,2.81316572956848,0.0141980582765171,0.36692177881162,0.35013686713947,"AsnS/CG9577/Bcat/Faa/Cyp6a8/CG32026/CG5265",7,"female","up"
"BP","GO:0009410","response to xenobiotic stimulus","2/70","16/5982",0.125,10.6821428571429,4.21947639419571,0.0145711268112489,0.36692177881162,0.35013686713947,"CG11893/Cyp6a8",2,"female","up"
"BP","GO:0006082","organic acid metabolic process","7/70","223/5982",0.031390134529148,2.68251121076233,2.78615688553697,0.0148597605126201,0.36692177881162,0.35013686713947,"AsnS/CG9577/Bcat/Faa/Cyp6a8/CG32026/CG5265",7,"female","up"
"BP","GO:1901137","carbohydrate derivative biosynthetic process","6/70","175/5982",0.0342857142857143,2.92995918367347,2.81942109057643,0.0160561582238392,0.368193800161255,0.351350699612806,"Adk3/C1GalTA/knon/CG6790/ATPsynG/ATP8",6,"female","up"
"BP","GO:0072521","purine-containing compound metabolic process","5/70","127/5982",0.0393700787401575,3.3644544431946,2.9304753324295,0.0160582965802416,0.368193800161255,0.351350699612806,"Adk3/CG14893/knon/ATPsynG/ATP8",5,"female","up"
"BP","GO:0009152","purine ribonucleotide biosynthetic process","3/70","48/5982",0.0625,5.34107142857143,3.28558334266863,0.0182298582289723,0.390118966100008,0.372272894360067,"knon/ATPsynG/ATP8",3,"female","up"
