"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
482.093681765863,-0.135620498367298,0.194842657112867,-0.696051369740542,0.486396659821367,0.980954182142257,"128up"
46.8418561002596,-0.261984686322316,0.392042080264645,-0.668256545688834,0.50396984628173,0.981949904176841,"14-3-3epsilon"
2.33341912403604,-0.450720877655511,2.07744557054383,-0.216959175270966,0.828240160534296,NA,"14-3-3zeta"
0.171822853571501,0.943883520001871,4.0804728567969,0.231317191199944,0.817068392170902,NA,"140up"
0,NA,NA,NA,NA,NA,"18SrRNA:CR41548"
0,NA,NA,NA,NA,NA,"18SrRNA:CR45838"
0,NA,NA,NA,NA,NA,"18SrRNA:CR45841"
473.111983575612,0.118221180213663,0.163507340272531,0.723032862112579,0.469659694904361,0.978000849127982,"18w"
0,NA,NA,NA,NA,NA,"28SrRNA:CR45837"
0,NA,NA,NA,NA,NA,"28SrRNA:CR45844"
0,NA,NA,NA,NA,NA,"2SrRNA:CR45836"
0,NA,NA,NA,NA,NA,"2SrRNA:CR45840"
0,NA,NA,NA,NA,NA,"2SrRNA:CR45843"
0,NA,NA,NA,NA,NA,"2SrRNA:CR45864"
0,NA,NA,NA,NA,NA,"2mit"
0.325364854145805,-0.0178891522117592,4.0804728567969,-0.00438408803086655,0.996502015052319,NA,"4E-T"
0,NA,NA,NA,NA,NA,"5-HT1A"
0,NA,NA,NA,NA,NA,"5-HT1B"
20.8516051287711,0.181103033760667,0.664705312879688,0.272456124919596,0.785271322802283,0.995420125112646,"5-HT2A"
26.5785849417435,-0.153723200334091,0.593016137954846,-0.259222625651033,0.795463474855114,0.995420125112646,"5-HT2B"
17.6648943983338,-0.62067175175067,0.675743056829,-0.918502595739928,0.358355800617134,0.936195111913579,"5-HT7"
0,NA,NA,NA,NA,NA,"5.8SrRNA:CR40454"
0,NA,NA,NA,NA,NA,"5.8SrRNA:CR45839"
0,NA,NA,NA,NA,NA,"5.8SrRNA:CR45842"
0,NA,NA,NA,NA,NA,"5.8SrRNA:CR45852"
96.9026296318473,0.249113667892914,0.286336289679368,0.870003827219612,0.384298312677985,0.940050699772007,"5PtaseI"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33353"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33354"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33355"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33357"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33358"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33359"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33360"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33361"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33362"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33364"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33365"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33366"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33367"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33368"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33369"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33370"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33372"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33373"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33374"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33375"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33376"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33377"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33378"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33379"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33380"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33381"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33382"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33383"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33384"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33385"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33386"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33387"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33388"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33389"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33390"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33391"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33392"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33393"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33394"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33395"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33396"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33397"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33398"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33399"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33400"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33401"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33402"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33403"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33404"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33405"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33406"
