"","CSF1","CSF2","CSF3","WRF1","WRF2","WRF3"
"128up",493.622372432968,453.669377890851,430.931716757324,434.512355945319,475.916841914538,603.90942565418
"14-3-3epsilon",47.8664118722878,29.5670470315829,50.5159189500212,51.568499386917,47.1814110518723,54.3518483088762
"14-3-3zeta",4.98608457002998,0.923970219736966,0,0,2.05136569790749,6.0390942565418
"140up",0,0,1.030937121429,0,0,0
"18SrRNA:CR41548",0,0,0,0,0,0
"18SrRNA:CR45838",0,0,0,0,0,0
"18SrRNA:CR45841",0,0,0,0,0,0
"18w",474.675251066854,481.38848448296,521.654183443076,503.270355127875,437.96657650325,419.717050829655
"28SrRNA:CR45837",0,0,0,0,0,0
"28SrRNA:CR45844",0,0,0,0,0,0
"2SrRNA:CR45836",0,0,0,0,0,0
"2SrRNA:CR45840",0,0,0,0,0,0
"2SrRNA:CR45843",0,0,0,0,0,0
"2SrRNA:CR45864",0,0,0,0,0,0
"2mit",0,0,0,0,0,0
"4E-T",0.997216914005997,0,0,0.954972210868833,0,0
"5-HT1A",0,0,0,0,0,0
"5-HT1B",0,0,0,0,0,0
"5-HT2A",14.95825371009,17.5554341750024,34.0209250071572,23.8743052717208,25.6420712238437,9.05864138481271
"5-HT2B",23.9332059361439,16.6314639552654,35.0518621285862,41.0638050673598,27.6934369217512,15.0977356413545
"5-HT7",19.9443382801199,6.46779153815877,15.4640568214351,29.6041385369338,15.3852427343062,19.123798479049
"5.8SrRNA:CR40454",0,0,0,0,0,0
"5.8SrRNA:CR45839",0,0,0,0,0,0
"5.8SrRNA:CR45842",0,0,0,0,0,0
"5.8SrRNA:CR45852",0,0,0,0,0,0
"5PtaseI",118.668812766714,115.496277467121,81.4440325928914,85.947498978195,91.2857735568834,88.5733824292798
"5SrRNA:CR33353",0,0,0,0,0,0
"5SrRNA:CR33354",0,0,0,0,0,0
"5SrRNA:CR33355",0,0,0,0,0,0
"5SrRNA:CR33357",0,0,0,0,0,0
"5SrRNA:CR33358",0,0,0,0,0,0
"5SrRNA:CR33359",0,0,0,0,0,0
"5SrRNA:CR33360",0,0,0,0,0,0
"5SrRNA:CR33361",0,0,0,0,0,0
"5SrRNA:CR33362",0,0,0,0,0,0
"5SrRNA:CR33364",0,0,0,0,0,0
"5SrRNA:CR33365",0,0,0,0,0,0
"5SrRNA:CR33366",0,0,0,0,0,0
"5SrRNA:CR33367",0,0,0,0,0,0
"5SrRNA:CR33368",0,0,0,0,0,0
"5SrRNA:CR33369",0,0,0,0,0,0
"5SrRNA:CR33370",0,0,0,0,0,0
"5SrRNA:CR33372",0,0,0,0,0,0
"5SrRNA:CR33373",0,0,0,0,0,0
"5SrRNA:CR33374",0,0,0,0,0,0
"5SrRNA:CR33375",0,0,0,0,0,0
"5SrRNA:CR33376",0,0,0,0,0,0
"5SrRNA:CR33377",0,0,0,0,0,0
"5SrRNA:CR33378",0,0,0,0,0,0
"5SrRNA:CR33379",0,0,0,0,0,0
"5SrRNA:CR33380",0,0,0,0,0,0
"5SrRNA:CR33381",0,0,0,0,0,0
"5SrRNA:CR33382",0,0,0,0,0,0
"5SrRNA:CR33383",0,0,0,0,0,0
"5SrRNA:CR33384",0,0,0,0,0,0
"5SrRNA:CR33385",0,0,0,0,0,0
"5SrRNA:CR33386",0,0,0,0,0,0
"5SrRNA:CR33387",0,0,0,0,0,0
"5SrRNA:CR33388",0,0,0,0,0,0
"5SrRNA:CR33389",0,0,0,0,0,0
"5SrRNA:CR33390",0,0,0,0,0,0
"5SrRNA:CR33391",0,0,0,0,0,0
"5SrRNA:CR33392",0,0,0,0,0,0
"5SrRNA:CR33393",0,0,0,0,0,0
"5SrRNA:CR33394",0,0,0,0,0,0
"5SrRNA:CR33395",0,0,0,0,0,0
"5SrRNA:CR33396",0,0,0,0,0,0
"5SrRNA:CR33397",0,0,0,0,0,0
"5SrRNA:CR33398",0,0,0,0,0,0
"5SrRNA:CR33399",0,0,0,0,0,0
"5SrRNA:CR33400",0,0,0,0,0,0
"5SrRNA:CR33401",0,0,0,0,0,0
"5SrRNA:CR33402",0,0,0,0,0,0
"5SrRNA:CR33403",0,0,0,0,0,0
"5SrRNA:CR33404",0,0,0,0,0,0
"5SrRNA:CR33405",0,0,0,0,0,0
"5SrRNA:CR33406",0,0,0,0,0,0
"5SrRNA:CR33407",0,0,0,0,0,0
"5SrRNA:CR33408",0,0,0,0,0,0
"5SrRNA:CR33409",0,0,0,0,0,0
"5SrRNA:CR33410",0,0,0,0,0,0
"5SrRNA:CR33411",0,0,0,0,0,0
"5SrRNA:CR33412",0,0,0,0,0,0
"5SrRNA:CR33413",0,0,0,0,0,0
"5SrRNA:CR33414",0,0,0,0,0,0
"5SrRNA:CR33415",0,0,0,0,0,0
"5SrRNA:CR33417",0,0,0,0,0,0
"5SrRNA:CR33418",0,0,0,0,0,0
"5SrRNA:CR33419",0,0,0,0,0,0
"5SrRNA:CR33420",0,0,0,0,0,0
"5SrRNA:CR33421",0,0,0,0,0,0
"5SrRNA:CR33422",0,0,0,0,0,0
"5SrRNA:CR33423",0,0,0,0,0,0
"5SrRNA:CR33424",0,0,0,0,0,0
"5SrRNA:CR33425",0,0,0,0,0,0
"5SrRNA:CR33426",0,0,0,0,0,0
"5SrRNA:CR33427",0,0,0,0,0,0
"5SrRNA:CR33428",0,0,0,0,0,0
"5SrRNA:CR33429",0,0,0,0,0,0
"5SrRNA:CR33430",0,0,0,0,0,0
"5SrRNA:CR33431",0,0,0,0,0,0
"5SrRNA:CR33432",0,0,0,0,0,0
"5SrRNA:CR33433",0,0,0,0,0,0
"5SrRNA:CR33434",0,0,0,0,0,0
"5SrRNA:CR33435",0,0,0,0,0,0
"5SrRNA:CR33436",0,0,0,0,0,0
"5SrRNA:CR33437",0,0,0,0,0,0
"5SrRNA:CR33438",0,0,0,0,0,0
"5SrRNA:CR33439",0,0,0,0,0,0
