"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
649.42504871254,-0.0310667824528315,0.156100999670301,-0.199017190911316,0.84224929717309,0.942178230122449,"128up"
63.8507846822861,-0.704009906043103,0.307897751048746,-2.2865055156952,0.0222247018151401,0.11748554203805,"14-3-3epsilon"
2.98387879350073,0.182682597812452,1.36420368504148,0.133911526420556,0.893472535616988,NA,"14-3-3zeta"
0,NA,NA,NA,NA,NA,"140up"
0,NA,NA,NA,NA,NA,"18SrRNA:CR41548"
0,NA,NA,NA,NA,NA,"18SrRNA:CR45838"
0,NA,NA,NA,NA,NA,"18SrRNA:CR45841"
439.56796384678,-0.264453152674167,0.183826073867575,-1.43860523760451,0.150262401560718,0.403544039648521,"18w"
0,NA,NA,NA,NA,NA,"28SrRNA:CR45837"
0,NA,NA,NA,NA,NA,"28SrRNA:CR45844"
0,NA,NA,NA,NA,NA,"2SrRNA:CR45836"
0,NA,NA,NA,NA,NA,"2SrRNA:CR45840"
0,NA,NA,NA,NA,NA,"2SrRNA:CR45843"
0,NA,NA,NA,NA,NA,"2SrRNA:CR45864"
0,NA,NA,NA,NA,NA,"2mit"
0.280101497642426,1.54974537601592,4.049495089302,0.382700890318412,0.70194155424531,NA,"4E-T"
0,NA,NA,NA,NA,NA,"5-HT1A"
0,NA,NA,NA,NA,NA,"5-HT1B"
13.5274496697002,-0.911052260507015,0.715825351250186,-1.27272980611243,0.203113937056897,0.476570575935774,"5-HT2A"
33.7572648141855,-0.376695816637953,0.398674167747999,-0.944871394015329,0.34472453736176,0.636106659634995,"5-HT2B"
26.791799282998,-0.602061668954035,0.470497947776262,-1.27962655692674,0.200676505310676,0.473602414553799,"5-HT7"
0,NA,NA,NA,NA,NA,"5.8SrRNA:CR40454"
0,NA,NA,NA,NA,NA,"5.8SrRNA:CR45839"
0,NA,NA,NA,NA,NA,"5.8SrRNA:CR45842"
0,NA,NA,NA,NA,NA,"5.8SrRNA:CR45852"
93.4371221224105,-0.362336122522386,0.273756677793693,-1.32356998719661,0.185645898306714,0.455692843082059,"5PtaseI"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33353"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33354"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33355"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33357"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33358"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33359"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33360"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33361"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33362"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33364"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33365"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33366"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33367"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33368"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33369"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33370"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33372"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33373"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33374"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33375"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33376"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33377"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33378"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33379"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33380"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33381"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33382"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33383"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33384"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33385"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33386"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33387"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33388"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33389"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33390"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33391"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33392"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33393"
