cohort_start,WT_n,CS_n,WT_mean,CS_mean,centered,variance,weight,metric,phase
2026-05-11T22:00:00Z,15,36,67.7097296965026,74.8314753410755,88,2340,0.0192307692307692,sleep,Total
2026-05-16T22:00:00Z,10,10,80.1742831034467,69.6931229621391,-29,175,0.0476190476190476,sleep,Total
2026-05-21T22:00:00Z,11,40,83.0334784855845,77.0697389413691,-58,1906.58039215686,0.0192307692307692,sleep,Total
2026-05-31T22:00:00Z,15,40,75.4981497297495,77.6616204591456,7,2800,0.0178571428571429,sleep,Total
2026-05-11T22:00:00Z,15,31,57.1145815365509,64.8068806811143,55,1820.80072463768,0.0212765957446809,sleep,Day
2026-05-16T22:00:00Z,9,10,82.5231481481482,56.6369613434728,-27,150,0.05,sleep,Day
2026-05-21T22:00:00Z,9,37,84.8913386709042,67.6368195886368,-90,1304.08913043478,0.0212765957446809,sleep,Day
2026-05-31T22:00:00Z,15,35,77.7628246488379,72.0252510497623,-64,2230.39285714286,0.0196078431372549,sleep,Day
2026-05-11T22:00:00Z,15,31,79.4492082580089,86.4557128434187,71,1821.02536231884,0.0212765957446809,sleep,Night
2026-05-16T22:00:00Z,9,10,73.8633689025029,83.7783186172772,24,150,0.05,sleep,Night
2026-05-21T22:00:00Z,9,37,81.1112838438866,86.6295279368283,43.5,1304.08913043478,0.0212765957446809,sleep,Night
2026-05-31T22:00:00Z,15,35,72.2782293002982,81.7392345217176,92.5,2231.25,0.0196078431372549,sleep,Night
2026-05-11T22:00:00Z,14,36,0.295842261629828,0.265513215942155,-49.5,2141.89714285714,0.0196078431372549,activity,Total
2026-05-16T22:00:00Z,10,9,0.303797399726195,0.290381463292599,-1,150,0.05,activity,Total
2026-05-21T22:00:00Z,10,40,0.240962499214305,0.29389399891205,30,1700,0.0196078431372549,activity,Total
2026-05-31T22:00:00Z,14,37,0.358431146584022,0.331049516367182,-19,2244.66666666667,0.0192307692307692,activity,Total
2026-05-11T22:00:00Z,14,32,0.36506752137384,0.351885659136916,-39,1754.66666666667,0.0212765957446809,activity,Day
2026-05-16T22:00:00Z,9,8,0.29537037037037,0.349564651985636,9,108,0.0555555555555556,activity,Day
2026-05-21T22:00:00Z,8,37,0.199720102218555,0.375172075758227,81,1134.66666666667,0.0217391304347826,activity,Day
2026-05-31T22:00:00Z,14,30,0.362059451500531,0.329774680892566,-1,1575,0.0222222222222222,activity,Day
2026-05-11T22:00:00Z,14,32,0.220265010108554,0.180337476994365,-42,1754.66666666667,0.0212765957446809,activity,Night
2026-05-16T22:00:00Z,9,8,0.374993420227629,0.181500609476087,-25,108,0.0555555555555556,activity,Night
2026-05-21T22:00:00Z,8,37,0.272561937778648,0.213810854427393,-32,1134.59191919192,0.0217391304347826,activity,Night
2026-05-31T22:00:00Z,14,30,0.359079741114325,0.272888990433347,-60,1575,0.0222222222222222,activity,Night
