"path","parsed","error"
"panels/Fig3N/Code/figure_style.R",TRUE,""
"panels/Fig3N/Code/generate_Fig3N.R",TRUE,""
"panels/Fig3N/Code/label_layout.R",TRUE,""
"panels/Fig4AB/Sources/Figure_4A_TIMELESS/Code/generate_timeless_vector.R",TRUE,""
"panels/Fig4AB/Sources/Figure_4B_MTT/Code/generate_mtt_vector.R",TRUE,""
"panels/layout_2026-09-23/Fig3_Sleep_Rebuild/code/02_sleep_activity.R",TRUE,""
"panels/layout_2026-09-23/Fig3_Sleep_Rebuild/code/figure_style.R",TRUE,""
"panels/layout_2026-09-23/Fig3_Sleep_Rebuild/code/generate_sleep_activity_figures.R",TRUE,""
"panels/layout_2026-09-23/Fig3_Sleep_Rebuild/code/label_layout.R",TRUE,""
"panels/layout_2026-09-23/Fig3_Sleep_Rebuild/code/sleep_cohort_sensitivity.R",TRUE,""
"panels/layout_2026-09-23/GO_Rebuild/code/05_go_pathways.R",TRUE,""
"panels/layout_2026-09-23/GO_Rebuild/code/figure_style.R",TRUE,""
"panels/layout_2026-09-23/GO_Rebuild/code/go_analysis_config.R",TRUE,""
"panels/layout_2026-09-23/GO_Rebuild/code/go_highlight_config.R",TRUE,""
"panels/layout_2026-09-23/GO_Rebuild/code/label_layout.R",TRUE,""
"provenance/survival_legacy/survival_curve.R",TRUE,""
"reviewed_analysis/code/01_rnaseq.R",TRUE,""
"reviewed_analysis/code/02_sleep_activity.R",TRUE,""
"reviewed_analysis/code/04_review_panels.R",TRUE,""
"reviewed_analysis/code/05_go_pathways.R",TRUE,""
"reviewed_analysis/code/06_additional_assays.R",TRUE,""
"reviewed_analysis/code/07_rnaseq_displays.R",TRUE,""
"reviewed_analysis/code/09_schematics.R",TRUE,""
"reviewed_analysis/code/figure_style.R",TRUE,""
"reviewed_analysis/code/generate_fig3_tem_field_means.R",TRUE,""
"reviewed_analysis/code/generate_mtt_figure.R",TRUE,""
"reviewed_analysis/code/generate_sleep_activity_figures.R",TRUE,""
"reviewed_analysis/code/go_analysis_config.R",TRUE,""
"reviewed_analysis/code/go_highlight_config.R",TRUE,""
"reviewed_analysis/code/label_layout.R",TRUE,""
"reviewed_analysis/code/sleep_cohort_sensitivity.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_1B_PCA/Code/generate_compact_pca.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_1C_Female_Volcano/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_1C_Female_Volcano/Code/generate_consistent_female_male_volcano_plots.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_1D_Heatmap/Code/generate_female_heatmap.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_2C_Program_Ring/Code/plot_expanded_paper_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_2D_STRING_Network/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_2D_STRING_Network/Code/plot_compact_landscape.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_2E_Individual_Genes/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_2E_Individual_Genes/Code/generate_figure2E.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_3H_Locomotion/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_3H_Locomotion/Code/generate_fig3h_locomotion.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_3K_Mitochondrial_Area/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_3K_Mitochondrial_Area/Code/generate_tem_figures_2026_08_04.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_3O_TMRM/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_3O_TMRM/Code/generate_tmrm_image_means_only_figure.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_4B_MTT/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_4B_MTT/Code/generate_mtt_figure.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_4C_TIMELESS/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_4C_TIMELESS/Code/generate_Fig4A_compact.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_S1B_Western_Blot/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_S1B_Western_Blot/Code/generate_MIC60_WB_anti_myc_quantification.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_S2_KEGG_GSEA/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_S2_KEGG_GSEA/Code/plot_FigS2_KEGG_GSEA.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_S3_Selected_Gene_Modules/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_S3_Selected_Gene_Modules/Code/generate_FigS3_selected_modules.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_S4_Stress/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_S4_Stress/Code/generate_FigS4A_stress.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_S4B_Transfection_Efficiency/Code/figure_style.R",TRUE,""
"reviewed_analysis/figure_sources/Figure_S4B_Transfection_Efficiency/Code/generate_transfection_efficiency.R",TRUE,""
"tables/Table_S1_Code/Code/prepare_table_s1_inputs.R",TRUE,""
