"pathway","human","fly","diopt","rank","best","detected_symbol","pass_rank","detected","is_cg","in_set"
"Control","ANAPC5","ida",13,"high","Yes","ida",TRUE,TRUE,FALSE,TRUE
"Control","B2M","Sas-6",1,"low","Yes","Sas-6",FALSE,TRUE,FALSE,FALSE
"Control","B2M","RPA2",1,"low","Yes",NA,FALSE,FALSE,FALSE,FALSE
"Control","CHMP4B","shrb",13,"high","Yes","shrb",TRUE,TRUE,FALSE,TRUE
"Control","EIF4H","eIF4H1",11,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"Control","EIF4H","eIF4H2",10,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"Control","EIF4H","eIF4B",4,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"Control","EIF4H","CG3594",2,"low","No","CG3594",FALSE,TRUE,TRUE,FALSE
"Control","EIF4H","CG11726",2,"low","No","CG11726",FALSE,TRUE,TRUE,FALSE
"Control","GUSB","CG15117",13,"high","Yes","CG15117",TRUE,TRUE,TRUE,FALSE
"Control","GUSB","betaGlu",13,"high","Yes","betaGlu",TRUE,TRUE,FALSE,TRUE
"Control","HNRNPK","HnRNP-K",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"Control","MRPL9","mRpL9",13,"high","Yes","mRpL9",TRUE,TRUE,FALSE,TRUE
"Control","PIGT","PIG-T",13,"high","Yes","PIG-T",TRUE,TRUE,FALSE,TRUE
"Control","PSMB1","Prosbeta6",12,"high","Yes","Prosbeta6",TRUE,TRUE,FALSE,TRUE
"Control","PSMB1","Prosalpha3T",2,"low","No","Prosalpha3T",FALSE,TRUE,FALSE,FALSE
"Control","RBM42","CG2931",8,"high","Yes","CG2931",TRUE,TRUE,TRUE,FALSE
"Control","RNF181","CG7694",11,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"Control","RNF181","Iru",2,"low","No","Iru",FALSE,TRUE,FALSE,FALSE
"Control","RPL13","RpL13",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"Control","RPLP0","RpLP0",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"Control","SSBP1","mtSSB",13,"high","Yes","mtSSB",TRUE,TRUE,FALSE,TRUE
"Control","SUMO1","Sumo",4,"moderate","Yes",NA,TRUE,FALSE,FALSE,FALSE
"Control","SUPT6H","Spt6",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"Control","THRAP3","ens",1,"low","Yes","ens",FALSE,TRUE,FALSE,FALSE
"Control","UBE2D3","eff",11,"high","Yes","eff",TRUE,TRUE,FALSE,TRUE
"Control","UBE2D3","CG5440",4,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"Control","UBE2D3","Ubc2",4,"moderate","No","Ubc2",TRUE,TRUE,FALSE,TRUE
"Control","UBE2D3","CG2574",4,"moderate","No","CG2574",TRUE,TRUE,TRUE,FALSE
"Control","UBE2D3","morgue",2,"moderate","No","morgue",TRUE,TRUE,FALSE,TRUE
"Control","UBE2D3","CG3473",3,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"Control","UBE2D3","ben",3,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"Control","UBE2D3","CG10862",3,"low","No","CG10862",FALSE,TRUE,TRUE,FALSE
"Control","UFC1","Ufc1",13,"high","Yes","Ufc1",TRUE,TRUE,FALSE,TRUE
"HSR","BAG3","stv",7,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","BAG3","Nedd4",2,"low","No","Nedd4",FALSE,TRUE,FALSE,FALSE
"HSR","DNAJB1","CG5001",12,"moderate","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","DNAJB1","DnaJ-1",12,"moderate","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","DNAJB1","CG2887",7,"moderate","No","CG2887",TRUE,TRUE,TRUE,FALSE
"HSR","DNAJB1","CG7130",3,"low","No","CG7130",FALSE,TRUE,TRUE,FALSE
"HSR","DNAJB1","CG12020",3,"low","No","CG12020",FALSE,TRUE,TRUE,FALSE
"HSR","DNAJB1","CG30156",2,"low","No","CG30156",FALSE,TRUE,TRUE,FALSE
"HSR","DNAJB4","CG5001",11,"moderate","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","DNAJB4","DnaJ-1",11,"moderate","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","DNAJB4","CG2887",6,"moderate","No","CG2887",TRUE,TRUE,TRUE,FALSE
"HSR","DNAJB4","CG7130",4,"moderate","No","CG7130",TRUE,TRUE,TRUE,FALSE
"HSR","DNAJB4","CG12020",3,"low","No","CG12020",FALSE,TRUE,TRUE,FALSE
"HSR","HSP90AA1","Hsp83",13,"high","Yes","Hsp83",TRUE,TRUE,FALSE,TRUE
"HSR","HSP90AA1","Gp93",5,"moderate","No","Gp93",TRUE,TRUE,FALSE,TRUE
"HSR","HSP90AA1","Trap1",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"HSR","HSPA1A","Hsc70-1",9,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","HSPA1A","Hsc70-4",9,"moderate","Yes","Hsc70-4",TRUE,TRUE,FALSE,TRUE
"HSR","HSPA1A","Hsp70Bc",4,"moderate","No","Hsp70Bc",TRUE,TRUE,FALSE,TRUE
"HSR","HSPA1A","Hsp70Bb",3,"low","No","Hsp70Bb",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1A","Hsp70Bbb",3,"low","No","Hsp70Bbb",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1A","Hsp70Aa",3,"low","No","Hsp70Aa",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1A","Hsp68",3,"low","No","Hsp68",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1A","Hsc70-2",3,"low","No","Hsc70-2",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1A","Hsp70Ab",2,"low","No","Hsp70Ab",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1A","Hsc70-3",2,"low","No","Hsc70-3",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1A","Hsp70Ba",2,"low","No","Hsp70Ba",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1A","Hsp110",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"HSR","HSPA1B","Hsc70-1",9,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","HSPA1B","Hsc70-4",9,"moderate","Yes","Hsc70-4",TRUE,TRUE,FALSE,TRUE
"HSR","HSPA1B","Hsp70Bc",4,"moderate","No","Hsp70Bc",TRUE,TRUE,FALSE,TRUE
"HSR","HSPA1B","Hsp70Bb",3,"low","No","Hsp70Bb",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1B","Hsp68",3,"low","No","Hsp68",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1B","Hsp70Aa",3,"low","No","Hsp70Aa",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1B","Hsp70Bbb",3,"low","No","Hsp70Bbb",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1B","Hsc70-2",3,"low","No","Hsc70-2",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1B","Hsc70-3",2,"low","No","Hsc70-3",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1B","Hsp70Ab",2,"low","No","Hsp70Ab",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1B","Hsp70Ba",2,"low","No","Hsp70Ba",FALSE,TRUE,FALSE,FALSE
"HSR","HSPA1B","Hsp110",2,"low","No",NA,FALSE,FALSE,FALSE,FALSE
"HSR","HSPA4L","Hsp110",13,"high","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","HSPB1","CG14207",6,"high","Yes","CG14207",TRUE,TRUE,TRUE,FALSE
"HSR","HSPB1","l(2)efl",6,"moderate","Yes",NA,TRUE,FALSE,FALSE,FALSE
"HSR","HSPB1","Hsp23",5,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"HSR","HSPB1","Hsp27",5,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"HSR","HSPB1","Hsp26",5,"moderate","No",NA,TRUE,FALSE,FALSE,FALSE
"HSR","HSPB1","Hsp67Bc",5,"moderate","No","Hsp67Bc",TRUE,TRUE,FALSE,TRUE
"HSR","HSPB1","CG13133",5,"moderate","No","CG13133",TRUE,TRUE,TRUE,FALSE
"HSR","HSPB1","CG4461",5,"moderate","No","CG4461",TRUE,TRUE,TRUE,FALSE
