human_entrez,human_symbol,fly_entrez,flybase_id,fly_symbol,diopt_score,max_score,best_forward,best_reverse,confidence,retained,methods
10000,AKT3,41957,FBgn0010379,Akt,12,13,True,True,high,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL
10000,AKT3,38654,FBgn0283472,S6k,2,13,False,False,low,False,OrthoDB;orthoMCL
10000,AKT3,43643,FBgn0039796,CG12069,1,13,False,False,low,False,orthoMCL
10000,AKT3,43644,FBgn0000274,Pka-C2,1,13,False,False,low,False,orthoMCL
10000,AKT3,34284,FBgn0000273,Pka-C1,1,13,False,False,low,False,orthoMCL
10000,AKT3,34348,FBgn0032187,CG4839,1,13,False,False,low,False,orthoMCL
10000,AKT3,44817,FBgn0000721,for,1,13,False,False,low,False,orthoMCL
10000,AKT3,33253,FBgn0000442,Pkg21D,1,13,False,False,low,False,orthoMCL
10000,AKT3,35950,FBgn0020621,Pkn,1,13,False,False,low,False,orthoMCL
10000,AKT3,47594,FBgn0261854,aPKC,1,13,False,False,low,False,orthoMCL
10000,AKT3,32191,FBgn0287828,Pkcdelta,1,13,False,False,low,False,orthoMCL
10000,AKT3,43428,FBgn0003093,Pkc98E,1,13,False,False,low,False,orthoMCL
10000,AKT3,36897,FBgn0004784,inaC,1,13,False,False,low,False,orthoMCL
10000,AKT3,39241,FBgn0020412,JIL-1,1,13,False,False,low,False,orthoMCL
10000,AKT3,48311,FBgn0003091,Pkc53E,1,13,False,False,low,False,orthoMCL
10000,AKT3,33139,FBgn0262866,S6kII,1,13,False,False,low,False,orthoMCL
10000,AKT3,40560,FBgn0052944,CG32944,1,13,False,False,low,False,orthoMCL
10000,AKT3,38017,FBgn0020386,Pdk1,1,13,False,False,low,False,orthoMCL
10000,AKT3,45969,FBgn0260399,gwl,1,13,False,False,low,False,orthoMCL
10000,AKT3,40165,FBgn0003744,trc,1,13,False,False,low,False,orthoMCL
10000,AKT3,43651,FBgn0011739,wts,1,13,False,False,low,False,orthoMCL
10000,AKT3,39429,FBgn0002466,sti,1,13,False,False,low,False,orthoMCL
10000,AKT3,42187,FBgn0038588,CG7156,1,13,False,False,low,False,orthoMCL
10000,AKT3,41446,FBgn0000147,aurA,1,13,False,False,low,False,orthoMCL
10000,AKT3,34504,FBgn0024227,aurB,1,13,False,False,low,False,orthoMCL
10000,AKT3,45970,FBgn0283473,S6KL,1,13,False,False,low,False,orthoMCL
10000,AKT3,39733,FBgn0000489,Pka-C3,1,13,False,False,low,False,orthoMCL
10488,CREB3,39682,FBgn0004396,CrebA,4,13,True,False,moderate,True,Compara;eggNOG;OrthoDB;orthoMCL
10488,CREB3,35480,FBgn0033010,Atf6,1,13,False,False,low,False,Compara
10488,CREB3,32817,FBgn0265784,CrebB,1,13,False,False,low,False,Compara
10645,CAMKK2,4379919,FBgn0040056,CG17698,9,13,True,False,moderate,True,Domainoid;eggNOG;Inparanoid;OrthoDB;OrthoFinder;OrthoInspector;Phylome;SonicParanoid;orthoMCL
10645,CAMKK2,41673,FBgn0038167,Lkb1,2,13,False,False,low,False,OrthoDB;orthoMCL
1080,CFTR,37428,FBgn0034612,CG10505,5,13,True,False,moderate,True,Compara;Domainoid;eggNOG;Panther;orthoMCL
1080,CFTR,43450,FBgn0039644,rdog,5,13,True,False,moderate,True,Compara;Domainoid;eggNOG;Panther;orthoMCL
1080,CFTR,43451,FBgn0039645,CG11898,5,13,True,False,moderate,True,Compara;Domainoid;eggNOG;Panther;orthoMCL
1080,CFTR,41387,FBgn0263316,Mrp4,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL
1080,CFTR,34148,FBgn0032026,CG7627,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL
1080,CFTR,42362,FBgn0038740,Mrp5,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL
1080,CFTR,47905,FBgn0010549,l(2)03659,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL
1080,CFTR,35366,FBgn0032908,CG9270,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL
1080,CFTR,35163,FBgn0051792,CG31792,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL
1080,CFTR,326161,FBgn0051793,CG31793,4,13,False,False,moderate,True,eggNOG;Compara;Panther;orthoMCL
1080,CFTR,42928,FBgn0039207,Cftr,4,13,False,False,moderate,True,eggNOG;Compara;Panther;orthoMCL
1080,CFTR,34686,FBgn0032456,MRP,3,13,False,False,low,False,Compara;eggNOG;orthoMCL
1080,CFTR,34350,FBgn0028675,Sur,3,13,False,False,low,False,eggNOG;Compara;orthoMCL
1080,CFTR,34140,FBgn0032018,CG7806,2,13,False,False,low,False,eggNOG;orthoMCL
10890,RAB10,33025,FBgn0015789,Rab10,10,13,True,True,high,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoFinder;OrthoInspector;Panther;Phylome;SonicParanoid;orthoMCL
10890,RAB10,40168,FBgn0262518,Rab8,4,13,False,False,moderate,True,eggNOG;OrthoFinder;orthoMCL;SonicParanoid
