human_entrez,human_symbol,fly_entrez,flybase_id,fly_symbol,diopt_score,max_score,best_forward,best_reverse,confidence,retained,methods
10000,AKT3,41957,FBgn0010379,Akt,12,13,True,True,high,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL
10488,CREB3,39682,FBgn0004396,CrebA,4,13,True,False,moderate,True,Compara;eggNOG;OrthoDB;orthoMCL
10645,CAMKK2,4379919,FBgn0040056,CG17698,9,13,True,False,moderate,True,Domainoid;eggNOG;Inparanoid;OrthoDB;OrthoFinder;OrthoInspector;Phylome;SonicParanoid;orthoMCL
1080,CFTR,37428,FBgn0034612,CG10505,5,13,True,False,moderate,True,Compara;Domainoid;eggNOG;Panther;orthoMCL
1080,CFTR,43450,FBgn0039644,rdog,5,13,True,False,moderate,True,Compara;Domainoid;eggNOG;Panther;orthoMCL
1080,CFTR,43451,FBgn0039645,CG11898,5,13,True,False,moderate,True,Compara;Domainoid;eggNOG;Panther;orthoMCL
1080,CFTR,41387,FBgn0263316,Mrp4,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL
1080,CFTR,34148,FBgn0032026,CG7627,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL
1080,CFTR,42362,FBgn0038740,Mrp5,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL
1080,CFTR,47905,FBgn0010549,l(2)03659,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL
1080,CFTR,35366,FBgn0032908,CG9270,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL
1080,CFTR,35163,FBgn0051792,CG31792,4,13,False,False,moderate,True,Compara;eggNOG;Panther;orthoMCL
1080,CFTR,326161,FBgn0051793,CG31793,4,13,False,False,moderate,True,eggNOG;Compara;Panther;orthoMCL
1080,CFTR,42928,FBgn0039207,Cftr,4,13,False,False,moderate,True,eggNOG;Compara;Panther;orthoMCL
10890,RAB10,33025,FBgn0015789,Rab10,10,13,True,True,high,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoFinder;OrthoInspector;Panther;Phylome;SonicParanoid;orthoMCL
10890,RAB10,40168,FBgn0262518,Rab8,4,13,False,False,moderate,True,eggNOG;OrthoFinder;orthoMCL;SonicParanoid
10890,RAB10,318148,FBgn0052673,Rab9E,3,13,False,True,moderate,True,eggNOG;Panther;orthoMCL
10890,RAB10,31993,FBgn0030221,Rab9Db,3,13,False,True,moderate,True,eggNOG;Panther;orthoMCL
10890,RAB10,32029,FBgn0052670,Rab9Fb,3,13,False,True,moderate,True,eggNOG;Panther;orthoMCL
10890,RAB10,318149,FBgn0067052,Rab9D,3,13,False,True,moderate,True,eggNOG;Panther;orthoMCL
10891,PPARGC1A,40562,FBgn0037248,srl,8,13,True,True,high,True,Compara;Domainoid;eggNOG;OrthoDB;OrthoFinder;OrthoInspector;Panther;orthoMCL
110117499,P3R3URF-PIK3R3,33203,FBgn0020622,Pi3K21B,8,13,True,False,moderate,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;orthoMCL;SonicParanoid
1149,CIDEA,36292,FBgn0028407,Drep3,9,13,True,True,high,True,Domainoid;eggNOG;OrthoDB;Hieranoid;OrthoFinder;Panther;Phylome;SonicParanoid;orthoMCL
1149,CIDEA,35955,FBgn0028408,Drep2,7,13,False,True,moderate,True,Compara;eggNOG;OrthoDB;OrthoInspector;OrthoFinder;Panther;Phylome
1149,CIDEA,36290,FBgn0024732,Drep1,7,13,False,True,moderate,True,Domainoid;eggNOG;OrthoDB;OrthoFinder;Panther;SonicParanoid;orthoMCL
126129,CPT1C,36109,FBgn0261862,whd,12,13,True,False,moderate,True,Compara;Domainoid;eggNOG;Inparanoid;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL
1374,CPT1A,36109,FBgn0261862,whd,13,13,True,True,high,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Compara;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL
1375,CPT1B,36109,FBgn0261862,whd,12,13,True,False,moderate,True,Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL
1385,CREB1,32817,FBgn0265784,CrebB,11,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;orthoMCL;SonicParanoid
148,ADRA1A,43484,FBgn0266137,Dop1R2,5,13,True,True,high,True,eggNOG;OrthoFinder;Inparanoid;SonicParanoid;orthoMCL
148,ADRA1A,43982,FBgn0024944,Oamb,4,13,False,True,moderate,True,eggNOG;OrthoDB;OrthoFinder;orthoMCL
148327,CREB3L4,39682,FBgn0004396,CrebA,5,13,True,False,moderate,True,Compara;eggNOG;OrthoDB;OrthoInspector;orthoMCL
1938,EEF2,35422,FBgn0000559,eEF2,13,13,True,True,high,True,Compara;Domainoid;eggNOG;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Hieranoid;Panther;Phylome;SonicParanoid;orthoMCL
1978,EIF4EBP1,33569,FBgn0261560,Thor,11,13,True,False,moderate,True,Compara;Domainoid;Inparanoid;OMA;OrthoDB;OrthoFinder;OrthoInspector;Panther;Phylome;SonicParanoid;orthoMCL
