human_entrez,human_symbol,retained_flybase_ids,mapping_status,all_candidate_match_count
10000,AKT3,FBgn0010379,mapped,27
10488,CREB3,FBgn0004396,mapped,3
10645,CAMKK2,FBgn0040056,mapped,2
1080,CFTR,FBgn0010549;FBgn0032026;FBgn0032908;FBgn0034612;FBgn0038740;FBgn0039207;FBgn0039644;FBgn0039645;FBgn0051792;FBgn0051793;FBgn0263316,mapped,14
10890,RAB10,FBgn0015789;FBgn0030221;FBgn0052670;FBgn0052673;FBgn0067052;FBgn0262518,mapped,37
10891,PPARGC1A,FBgn0037248,mapped,2
110117499,P3R3URF-PIK3R3,FBgn0020622,mapped,1
1149,CIDEA,FBgn0024732;FBgn0028407;FBgn0028408,mapped,3
126129,CPT1C,FBgn0261862,mapped,7
1374,CPT1A,FBgn0261862,mapped,7
1375,CPT1B,FBgn0261862,mapped,7
1385,CREB1,FBgn0265784,mapped,2
148,ADRA1A,FBgn0024944;FBgn0266137,mapped,18
148327,CREB3L4,FBgn0004396,mapped,3
1938,EEF2,FBgn0000559,mapped,4
1978,EIF4EBP1,FBgn0261560,mapped,1
1994,ELAVL1,FBgn0010263;FBgn0024987;FBgn0038345;FBgn0086675;FBgn0260400;FBgn0264270,mapped,11
200186,CRTC2,FBgn0036746,mapped,2
207,AKT1,FBgn0010379,mapped,27
208,AKT2,FBgn0010379,mapped,27
2194,FASN,FBgn0042627;FBgn0283427;FBgn0287184,mapped,4
2203,FBP1,FBgn0032820,mapped,1
2308,FOXO1,FBgn0038197,mapped,18
2309,FOXO3,FBgn0038197,mapped,18
23216,TBC1D1,FBgn0261261,mapped,6
23411,SIRT1,FBgn0024291,mapped,5
23417,MLYCD,,no_high_or_moderate_confidence_fly_match,0
2475,MTOR,FBgn0021796,mapped,5
2538,G6PC1,FBgn0031463,mapped,1
28227,PPP2R3B,FBgn0038744,mapped,1
29904,EEF2K,,no_high_or_moderate_confidence_fly_match,3
2997,GYS1,FBgn0266064,mapped,5
2998,GYS2,FBgn0266064,mapped,5
31,ACACA,FBgn0033246,mapped,1
3156,HMGCR,FBgn0263782,mapped,1
3172,HNF4A,FBgn0004914;FBgn0037436,mapped,6
32,ACACB,FBgn0033246,mapped,1
3479,IGF1,,no_high_or_moderate_confidence_fly_match,5
3480,IGF1R,FBgn0032752;FBgn0038279;FBgn0283499,mapped,15
3630,INS,FBgn0044048;FBgn0044050;FBgn0044051,mapped,5
3643,INSR,FBgn0032752;FBgn0038279;FBgn0283499,mapped,5
3667,IRS1,FBgn0024248,mapped,1
3952,LEP,,no_high_or_moderate_confidence_fly_match,1
3953,LEPR,,no_high_or_moderate_confidence_fly_match,0
3991,LIPE,FBgn0034491,mapped,3
4218,RAB8A,FBgn0015789;FBgn0030221;FBgn0052670;FBgn0052673;FBgn0067052;FBgn0262518,mapped,36
5105,PCK1,FBgn0003067;FBgn0034356,mapped,2
5106,PCK2,FBgn0003067;FBgn0034356,mapped,2
51094,ADIPOR1,FBgn0038984,mapped,4
51422,PRKAG2,FBgn0264357,mapped,1
51552,RAB14,FBgn0015791,mapped,32
5170,PDPK1,FBgn0020386,mapped,27
51719,CAB39,FBgn0017572,mapped,1
5207,PFKFB1,FBgn0027621,mapped,2
5208,PFKFB2,FBgn0027621,mapped,2
5209,PFKFB3,FBgn0027621,mapped,2
5210,PFKFB4,FBgn0027621,mapped,2
5211,PFKL,FBgn0003071,mapped,1
5213,PFKM,FBgn0003071,mapped,1
5214,PFKP,FBgn0003071,mapped,1
5290,PIK3CA,FBgn0015279,mapped,3
5291,PIK3CB,FBgn0015279,mapped,3
5293,PIK3CD,FBgn0015279,mapped,3
5295,PIK3R1,FBgn0020622,mapped,1
5296,PIK3R2,FBgn0020622,mapped,1
53632,PRKAG3,FBgn0264357,mapped,1
5468,PPARG,FBgn0000568,mapped,5
55012,PPP2R3C,,no_high_or_moderate_confidence_fly_match,1
5515,PPP2CA,FBgn0000711;FBgn0003132;FBgn0003134;FBgn0003139;FBgn0004103;FBgn0004177;FBgn0023177;FBgn0046698,mapped,20
5516,PPP2CB,FBgn0004177,mapped,20
5518,PPP2R1A,FBgn0260439,mapped,1
5519,PPP2R1B,FBgn0260439,mapped,1
5520,PPP2R2A,FBgn0004889,mapped,1
5521,PPP2R2B,FBgn0004889,mapped,1
5522,PPP2R2C,FBgn0004889,mapped,1
5523,PPP2R3A,FBgn0038744,mapped,1
5525,PPP2R5A,FBgn0027492;FBgn0042693,mapped,3
5526,PPP2R5B,FBgn0027492;FBgn0042693,mapped,3
5527,PPP2R5C,FBgn0027492;FBgn0042693;FBgn0052568,mapped,3
5528,PPP2R5D,FBgn0027492;FBgn0042693;FBgn0052568,mapped,3
5529,PPP2R5E,FBgn0027492;FBgn0042693,mapped,3
55437,STRADB,FBgn0046692,mapped,6
5562,PRKAA1,FBgn0023169,mapped,16
5563,PRKAA2,FBgn0023169,mapped,16
5564,PRKAB1,FBgn0260972,mapped,1
5565,PRKAB2,FBgn0260972,mapped,1
5571,PRKAG1,FBgn0264357,mapped,1
55844,PPP2R2D,FBgn0004889,mapped,1
57521,RPTOR,FBgn0029840,mapped,1
57818,G6PC2,FBgn0031463,mapped,1
5862,RAB2A,FBgn0014009,mapped,32
595,CCND1,FBgn0010315,mapped,7
6009,RHEB,FBgn0041191,mapped,11
6198,RPS6KB1,FBgn0283472,mapped,29
6199,RPS6KB2,FBgn0283472,mapped,29
6319,SCD,FBgn0029172;FBgn0038130;FBgn0039754;FBgn0039755;FBgn0039756;FBgn0043043;FBgn0086687,mapped,7
64764,CREB3L2,FBgn0004396,mapped,3
6517,SLC2A4,FBgn0028561;FBgn0028562;FBgn0028563;FBgn0033047;FBgn0264574,mapped,39
6720,SREBF1,FBgn0261283,mapped,2
6794,STK11,FBgn0038167,mapped,2
6885,MAP3K7,FBgn0026323;FBgn0039015;FBgn0046689,mapped,25
7248,TSC1,FBgn0026317,mapped,4
7249,TSC2,FBgn0005198,mapped,1
79602,ADIPOR2,FBgn0038984,mapped,4
79966,SCD5,FBgn0029172;FBgn0038130;FBgn0039754;FBgn0039755;FBgn0039756;FBgn0043043;FBgn0086687,mapped,7
81617,CAB39L,FBgn0017572,mapped,1
8408,ULK1,FBgn0260945,mapped,11
84335,AKT1S1,FBgn0267824,mapped,3
84699,CREB3L3,FBgn0004396,mapped,3
8471,IRS4,FBgn0024248,mapped,1
8503,PIK3R3,FBgn0020622,mapped,1
8660,IRS2,FBgn0024248,mapped,1
8789,FBP2,FBgn0032820,mapped,1
890,CCNA2,FBgn0000404;FBgn0000405,mapped,7
8900,CCNA1,FBgn0000404;FBgn0000405,mapped,7
90993,CREB3L1,FBgn0004396,mapped,3
9230,RAB11B,FBgn0015790,mapped,32
92335,STRADA,FBgn0046692,mapped,6
92579,G6PC3,FBgn0031463,mapped,1
9370,ADIPOQ,,no_high_or_moderate_confidence_fly_match,0
948,CD36,FBgn0002939;FBgn0010435;FBgn0015924;FBgn0025697;FBgn0027562;FBgn0031969;FBgn0031970;FBgn0035091;FBgn0035290;FBgn0035815;FBgn0051741;FBgn0058006;FBgn0260004,mapped,24
9586,CREB5,FBgn0265193,mapped,3
